Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS.1,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,yr1.Team,yr1.Pos,yr1.G,yr1.GS,yr1.MP,yr1.FG,yr1.FGA,yr1.FG%,yr1.3P,yr1.3PA,yr1.3P%,yr1.2P,yr1.2PA,yr1.2P%,yr1.eFG%,yr1.FT,yr1.FTA,yr1.FT%,yr1.ORB,yr1.DRB,yr1.TRB,yr1.AST,yr1.STL,yr1.BLK,yr1.TOV,yr1.PF,yr1.PTS,yr2.Team,yr2.Pos,yr2.G,yr2.GS,yr2.MP,yr2.FG,yr2.FGA,yr2.FG%,yr2.3P,yr2.3PA,yr2.3P%,yr2.2P,yr2.2PA,yr2.2P%,yr2.eFG%,yr2.FT,yr2.FTA,yr2.FT%,yr2.ORB,yr2.DRB,yr2.TRB,yr2.AST,yr2.STL,yr2.BLK,yr2.TOV,yr2.PF,yr2.PTS,yr3.Team,yr3.Pos,yr3.G,yr3.GS,yr3.MP,yr3.FG,yr3.FGA,yr3.FG%,yr3.3P,yr3.3PA,yr3.3P%,yr3.2P,yr3.2PA,yr3.2P%,yr3.eFG%,yr3.FT,yr3.FTA,yr3.FT%,yr3.ORB,yr3.DRB,yr3.TRB,yr3.AST,yr3.STL,yr3.BLK,yr3.TOV,yr3.PF,yr3.PTS
Jalen Brunson,756,DAL,2,33,2018,Villanova,2017-18,Villanova,40,40,31.8,6.8,13.0,4.6,7.7,2.2,5.3,3.3,4.1,0.3,2.8,3.1,4.6,0.9,0.0,1.8,2.0,18.9,0.521,0.599,0.408,0.802,0.635,0.604,G,JR,DAL,PG,73.0,38.0,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3,DAL,PG,57.0,16.0,17.9,3.2,6.8,0.466,0.8,2.1,0.358,2.4,4.7,0.515,0.522,1.1,1.3,0.813,0.4,2.0,2.4,3.3,0.4,0.1,1.2,1.3,8.2,DAL,PG,68.0,12.0,25.0,4.8,9.2,0.523,1.2,2.9,0.405,3.6,6.3,0.578,0.588,1.8,2.2,0.795,0.4,3.0,3.4,3.5,0.5,0.0,1.2,1.6,12.6
Jerome Robinson,725,LAC,1,13,2018,Boston College,2017-18,Boston College,35,35,36.0,7.1,14.7,4.8,9.0,2.3,5.7,4.2,5.0,0.5,3.1,3.6,3.3,0.9,0.1,2.7,2.5,20.7,0.485,0.533,0.409,0.83,0.608,0.564,F,JR,LAC,SG,33.0,0.0,9.7,1.3,3.3,0.4,0.5,1.7,0.316,0.8,1.6,0.491,0.482,0.2,0.3,0.667,0.1,1.2,1.2,0.6,0.3,0.1,0.4,1.4,3.4,2TM,SG,63.0,6.0,15.5,1.8,4.9,0.371,0.8,2.4,0.32,1.0,2.5,0.42,0.45,0.6,0.9,0.702,0.2,1.8,2.0,1.4,0.4,0.3,0.8,1.8,5.1,WAS,SG,17.0,6.0,17.9,1.6,5.6,0.295,0.6,2.5,0.262,1.0,3.1,0.321,0.353,0.9,1.2,0.8,0.2,2.0,2.2,1.5,0.7,0.4,1.1,1.8,4.9
Tony Carr,725,NOH,2,51,2018,Penn State,2017-18,Penn State,37,37,35.4,6.6,16.2,4.2,10.7,2.4,5.5,4.0,5.0,0.9,4.1,4.9,5.0,0.8,0.3,2.3,1.8,19.6,0.408,0.395,0.433,0.799,0.527,0.482,G,SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikal Bridges,706,PHI,1,10,2018,Villanova,2017-18,Villanova,40,40,32.1,6.1,11.9,3.5,5.9,2.6,6.0,2.9,3.4,1.4,4.0,5.3,1.9,1.5,1.1,1.4,2.2,17.7,0.514,0.593,0.435,0.851,0.655,0.623,F,JR,PHO,SF,82.0,56.0,29.5,3.0,6.9,0.43,1.3,3.8,0.335,1.7,3.0,0.548,0.523,1.2,1.4,0.805,0.7,2.5,3.2,2.1,1.6,0.5,0.9,2.5,8.3,PHO,SF,73.0,32.0,28.0,3.4,6.6,0.51,1.0,2.7,0.361,2.4,4.0,0.61,0.583,1.4,1.7,0.844,0.9,3.1,4.0,1.8,1.4,0.6,1.0,2.2,9.1,PHO,SF,72.0,72.0,32.6,5.0,9.3,0.543,1.9,4.4,0.425,3.2,4.9,0.647,0.643,1.5,1.8,0.84,1.1,3.2,4.3,2.1,1.1,0.9,0.8,1.6,13.5
Deandre Ayton,704,PHO,1,1,2018,Arizona,2017-18,Arizona,35,35,33.5,7.9,12.9,7.5,11.9,0.3,1.0,4.0,5.5,3.4,8.2,11.6,1.6,0.6,1.9,2.0,2.3,20.1,0.612,0.635,0.343,0.733,0.65,0.625,F,FR,PHO,C,71.0,70.0,30.7,7.2,12.3,0.585,0.0,0.1,0.0,7.2,12.2,0.588,0.585,2.0,2.7,0.746,3.1,7.1,10.3,1.8,0.9,0.9,1.8,2.9,16.3,PHO,C,38.0,32.0,32.5,8.2,14.9,0.546,0.1,0.3,0.231,8.1,14.6,0.553,0.548,1.8,2.3,0.753,3.9,7.6,11.5,1.9,0.7,1.5,2.1,3.1,18.2,PHO,C,69.0,69.0,30.7,6.2,10.0,0.626,0.1,0.3,0.2,6.2,9.7,0.639,0.629,1.9,2.5,0.769,3.3,7.2,10.5,1.4,0.6,1.2,1.5,2.8,14.4
Marvin Bagley III,694,SAC,1,2,2018,Duke,2017-18,Duke,33,32,33.9,8.2,13.3,7.5,11.6,0.7,1.8,4.0,6.3,4.0,7.1,11.1,1.5,0.8,0.9,2.3,1.8,21.0,0.614,0.647,0.397,0.627,0.643,0.64,F,FR,SAC,PF,62.0,4.0,25.3,5.7,11.4,0.504,0.5,1.5,0.313,5.3,9.8,0.534,0.525,2.9,4.2,0.691,2.6,5.0,7.6,1.0,0.5,1.0,1.6,1.9,14.9,SAC,C,13.0,6.0,25.7,6.0,12.8,0.467,0.3,1.7,0.182,5.7,11.2,0.51,0.479,1.9,2.4,0.806,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2,SAC,PF,43.0,42.0,25.9,5.7,11.4,0.504,0.9,2.5,0.343,4.9,8.9,0.55,0.542,1.8,3.1,0.575,2.5,4.9,7.4,1.0,0.5,0.5,1.4,2.3,14.1
Kevin Hervey,676,OKC,2,57,2018,UT Arlington,2017-18,UT Arlington,33,25,32.2,7.4,16.5,5.0,9.6,2.3,6.9,3.4,4.2,2.3,6.2,8.5,2.2,1.2,0.6,2.7,1.8,20.5,0.446,0.522,0.339,0.807,0.553,0.517,F,SR,OKC,PF,10.0,0.0,5.2,0.7,2.7,0.259,0.3,2.0,0.15,0.4,0.7,0.571,0.315,0.0,0.0,,0.1,1.1,1.2,0.5,0.1,0.1,0.0,0.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devonte' Graham,675,ATL,2,34,2018,Kansas,2017-18,Kansas,39,39,37.8,5.1,12.8,2.3,5.8,2.8,6.9,4.3,5.2,0.6,3.4,4.0,7.2,1.6,0.1,2.8,1.4,17.3,0.4,0.392,0.406,0.827,0.568,0.51,G,SR,CHO,PG,46.0,3.0,14.7,1.6,4.7,0.343,0.7,2.6,0.281,0.9,2.1,0.421,0.421,0.8,1.0,0.761,0.2,1.2,1.4,2.6,0.5,0.0,0.7,1.0,4.7,CHO,PG,63.0,53.0,35.1,5.8,15.3,0.382,3.5,9.3,0.373,2.4,6.0,0.397,0.495,3.0,3.7,0.82,0.7,2.7,3.4,7.5,1.0,0.2,2.9,1.8,18.2,CHO,PG,55.0,44.0,30.2,4.6,12.2,0.377,3.3,8.7,0.375,1.3,3.5,0.38,0.51,2.4,2.9,0.842,0.4,2.3,2.7,5.4,0.9,0.1,1.5,1.4,14.8
Keita Bates-Diop,672,MIN,2,48,2018,Ohio State,2017-18,Ohio State,34,34,33.1,7.3,15.1,5.3,9.7,1.9,5.4,3.3,4.1,1.5,7.2,8.7,1.6,0.9,1.6,1.8,1.7,19.8,0.48,0.547,0.359,0.794,0.577,0.544,F,JR,MIN,SF,30.0,3.0,16.8,2.0,4.7,0.423,0.4,1.7,0.25,1.6,3.0,0.522,0.468,0.6,0.9,0.643,0.5,2.2,2.8,0.6,0.6,0.5,0.5,1.0,5.0,2TM,SF,44.0,0.0,16.9,2.3,5.3,0.427,0.8,2.3,0.33,1.5,3.0,0.504,0.5,1.2,1.7,0.72,0.6,2.3,2.9,0.7,0.4,0.5,0.4,1.0,6.5,SAS,SF,30.0,0.0,8.2,1.0,2.2,0.448,0.2,0.6,0.294,0.8,1.7,0.5,0.485,0.5,0.7,0.667,0.3,1.3,1.6,0.4,0.4,0.2,0.2,0.4,2.6
Aaron Holiday,671,IND,1,23,2018,UCLA,2017-18,UCLA,33,33,37.7,6.4,13.9,3.8,7.7,2.7,6.2,4.8,5.8,0.5,3.2,3.7,5.8,1.3,0.2,3.8,2.6,20.3,0.461,0.486,0.429,0.828,0.609,0.557,G,JR,IND,PG,50.0,0.0,12.9,2.1,5.2,0.401,0.9,2.5,0.339,1.2,2.7,0.459,0.483,0.8,1.0,0.82,0.1,1.2,1.3,1.7,0.4,0.3,0.8,1.4,5.9,IND,PG,66.0,33.0,24.5,3.5,8.5,0.414,1.3,3.3,0.394,2.2,5.2,0.427,0.491,1.1,1.3,0.851,0.3,2.0,2.4,3.4,0.8,0.2,1.3,1.8,9.5,IND,PG,66.0,8.0,17.8,2.6,6.6,0.39,1.0,2.8,0.368,1.6,3.8,0.406,0.467,1.0,1.3,0.819,0.2,1.1,1.3,1.9,0.7,0.2,1.0,1.4,7.2
Jevon Carter,640,MEM,2,32,2018,West Virginia,2017-18,West Virginia,37,37,35.5,5.8,13.8,3.7,8.5,2.1,5.3,3.6,4.2,0.8,3.9,4.6,6.6,3.0,0.4,2.6,3.0,17.3,0.422,0.441,0.393,0.858,0.549,0.498,G,SR,MEM,PG,39.0,3.0,14.8,1.4,4.7,0.303,0.9,2.6,0.333,0.6,2.1,0.265,0.395,0.7,0.8,0.813,0.4,1.3,1.7,1.8,0.7,0.3,0.8,1.4,4.4,PHO,PG,58.0,2.0,16.3,1.7,4.2,0.416,1.1,2.5,0.425,0.7,1.7,0.402,0.543,0.4,0.5,0.852,0.5,1.5,2.0,1.4,0.8,0.3,0.6,1.5,4.9,PHO,PG,60.0,1.0,12.0,1.6,3.7,0.422,0.9,2.5,0.371,0.6,1.2,0.528,0.547,0.1,0.1,0.571,0.3,1.3,1.5,1.2,0.5,0.2,0.3,0.9,4.1
Collin Sexton,632,CLE,1,8,2018,Alabama,2017-18,Alabama,33,32,29.9,5.9,13.3,4.6,9.3,1.3,4.0,5.9,7.6,1.0,2.7,3.8,3.6,0.8,0.1,2.8,2.5,19.2,0.447,0.495,0.336,0.778,0.567,0.498,G,FR,CLE,PG,82.0,72.0,31.8,6.3,14.7,0.43,1.5,3.6,0.402,4.9,11.1,0.44,0.48,2.6,3.1,0.839,0.7,2.2,2.9,3.0,0.5,0.1,2.3,2.3,16.7,CLE,PG,65.0,65.0,33.0,7.9,16.7,0.472,1.5,3.9,0.38,6.4,12.8,0.501,0.517,3.5,4.1,0.846,0.9,2.2,3.1,3.0,1.0,0.1,2.4,2.2,20.8,CLE,SG,60.0,60.0,35.3,8.8,18.4,0.475,1.6,4.4,0.371,7.1,14.0,0.508,0.519,5.2,6.4,0.815,1.0,2.2,3.1,4.4,1.0,0.2,2.8,2.6,24.3
Chandler Hutchison,619,CHI,1,22,2018,Boise State,2017-18,Boise State,31,31,31.0,6.6,13.9,5.1,9.8,1.5,4.1,5.3,7.2,0.9,6.8,7.7,3.5,1.5,0.3,3.4,2.4,20.0,0.475,0.523,0.359,0.728,0.575,0.528,G,SR,CHI,SF,44.0,14.0,20.3,2.2,4.8,0.459,0.3,1.1,0.28,1.9,3.6,0.516,0.493,0.5,0.9,0.605,0.7,3.5,4.2,0.8,0.5,0.1,0.6,1.3,5.2,CHI,SF,28.0,10.0,18.8,2.9,6.3,0.457,0.4,1.4,0.316,2.4,4.9,0.496,0.491,1.6,2.8,0.59,0.6,3.2,3.9,0.9,1.0,0.3,1.0,1.7,7.8,2TM,SF,25.0,1.0,13.8,1.6,4.1,0.379,0.3,0.9,0.364,1.2,3.2,0.383,0.417,0.8,1.0,0.84,0.2,2.9,3.1,0.7,0.5,0.2,0.8,1.3,4.3
Miles Bridges,582,LAC,1,12,2018,Michigan State,2017-18,Michigan State,34,33,31.4,6.1,13.4,4.1,7.7,2.1,5.7,2.7,3.2,1.3,5.7,7.0,2.7,0.6,0.8,2.0,1.6,17.1,0.457,0.527,0.364,0.853,0.572,0.535,F,SO,CHO,SF,80.0,25.0,21.2,3.0,6.4,0.464,0.8,2.5,0.325,2.2,3.9,0.553,0.527,0.7,1.0,0.753,0.8,3.2,4.0,1.2,0.7,0.6,0.6,1.4,7.5,CHO,SF,65.0,64.0,30.7,4.9,11.6,0.424,1.5,4.6,0.33,3.4,7.0,0.486,0.489,1.6,2.0,0.809,1.4,4.2,5.6,1.8,0.6,0.7,1.5,2.0,13.0,CHO,PF,66.0,19.0,29.3,4.7,9.4,0.503,1.8,4.4,0.4,3.0,5.0,0.593,0.596,1.5,1.7,0.867,1.2,4.8,6.0,2.2,0.7,0.8,1.6,2.2,12.7
Kevin Knox,576,NYK,1,9,2018,Kentucky,2017-18,Kentucky,37,37,32.4,5.3,11.9,3.8,7.4,1.5,4.5,3.4,4.4,0.9,4.5,5.4,1.4,0.8,0.3,2.3,2.2,15.6,0.445,0.509,0.341,0.774,0.556,0.51,F,FR,NYK,PF,75.0,57.0,28.8,4.5,12.2,0.37,1.7,4.9,0.343,2.8,7.3,0.387,0.438,2.2,3.0,0.717,0.8,3.7,4.5,1.1,0.6,0.3,1.5,2.3,12.8,NYK,SF,65.0,4.0,17.9,2.2,6.2,0.359,1.0,3.1,0.327,1.2,3.1,0.391,0.44,1.0,1.6,0.653,0.4,2.4,2.8,0.9,0.4,0.4,0.7,1.6,6.4,NYK,SF,42.0,0.0,11.0,1.3,3.4,0.392,0.8,2.1,0.393,0.5,1.3,0.389,0.514,0.4,0.5,0.8,0.2,1.2,1.5,0.5,0.3,0.1,0.4,0.9,3.9
Grayson Allen,572,UTA,1,21,2018,Duke,2017-18,Duke,37,37,35.6,4.9,11.7,2.1,4.2,2.8,7.5,2.9,3.4,0.5,2.8,3.3,4.6,1.7,0.1,2.1,2.1,15.5,0.418,0.503,0.37,0.85,0.58,0.536,G,SR,UTA,SG,38.0,2.0,10.9,1.8,4.7,0.376,0.8,2.6,0.323,0.9,2.1,0.443,0.466,1.2,1.6,0.75,0.1,0.5,0.6,0.7,0.2,0.2,0.9,1.2,5.6,MEM,SG,38.0,0.0,18.9,3.1,6.6,0.466,1.5,3.7,0.404,1.6,2.9,0.545,0.58,1.0,1.2,0.867,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,8.7,MEM,SG,50.0,38.0,25.2,3.5,8.3,0.418,2.1,5.5,0.391,1.3,2.8,0.471,0.547,1.6,1.8,0.868,0.4,2.8,3.2,2.2,0.9,0.2,1.0,1.4,10.6
Moritz Wagner,570,LAL,1,25,2018,Michigan,2017-18,Michigan,39,39,27.6,5.5,10.5,3.9,6.4,1.6,4.1,1.9,2.8,1.5,5.7,7.1,0.8,1.0,0.5,1.4,3.1,14.6,0.528,0.614,0.394,0.694,0.619,0.605,F,JR,LAL,C,43.0,5.0,10.4,1.7,4.0,0.415,0.5,1.8,0.286,1.1,2.2,0.521,0.48,1.0,1.2,0.811,0.4,1.6,2.0,0.6,0.3,0.3,0.9,1.3,4.8,WAS,C,45.0,5.0,18.6,3.2,5.9,0.545,0.6,1.8,0.313,2.7,4.1,0.645,0.592,1.7,2.1,0.821,1.2,3.6,4.9,1.2,0.6,0.4,1.5,3.4,8.7,3TM,C,45.0,24.0,16.0,2.3,5.1,0.454,0.7,2.0,0.341,1.6,3.1,0.529,0.522,1.6,1.9,0.816,0.6,2.6,3.2,1.1,0.6,0.4,1.0,2.4,6.9
Sviatoslav Mykhailiuk,570,LAL,2,47,2018,Kansas,2017-18,Kansas,39,39,34.5,5.3,12.1,2.3,5.5,2.9,6.6,1.2,1.4,1.1,2.8,3.9,2.7,1.2,0.3,1.7,2.5,14.6,0.434,0.423,0.444,0.804,0.572,0.556,G,SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donte DiVincenzo,537,MIL,1,17,2018,Villanova,2017-18,Villanova,40,10,29.3,4.7,9.8,2.6,4.5,2.1,5.3,1.9,2.7,1.2,3.6,4.8,3.5,1.1,0.2,2.0,2.1,13.4,0.481,0.575,0.401,0.71,0.608,0.59,G,SO,MIL,SG,27.0,0.0,15.2,1.9,4.6,0.403,0.8,3.1,0.265,1.0,1.5,0.683,0.492,0.3,0.4,0.75,0.6,1.8,2.4,1.1,0.5,0.2,0.7,1.4,4.9,MIL,SG,66.0,24.0,23.0,3.5,7.7,0.455,1.3,3.7,0.336,2.3,4.0,0.567,0.536,1.0,1.3,0.733,1.0,3.8,4.8,2.3,1.3,0.3,1.4,1.7,9.2,MIL,SG,66.0,66.0,27.5,3.8,9.1,0.42,2.0,5.2,0.379,1.8,3.9,0.475,0.528,0.8,1.1,0.718,1.2,4.5,5.8,3.1,1.1,0.2,1.4,1.7,10.4
Gary Trent Jr.,536,SAC,2,37,2018,Duke,2017-18,Duke,37,37,33.9,4.8,11.5,2.2,5.0,2.6,6.5,2.3,2.6,0.8,3.4,4.2,1.4,1.2,0.1,1.0,1.7,14.5,0.415,0.43,0.402,0.876,0.567,0.528,G,FR,POR,SG,15.0,1.0,7.4,1.1,3.3,0.32,0.3,1.4,0.238,0.7,1.9,0.379,0.37,0.2,0.5,0.429,0.1,0.7,0.7,0.3,0.1,0.1,0.3,0.3,2.7,POR,SF,61.0,8.0,21.8,3.2,7.2,0.444,1.8,4.4,0.418,1.4,2.8,0.486,0.571,0.6,0.7,0.822,0.4,1.2,1.6,1.0,0.8,0.3,0.3,1.5,8.9,2TM,SG,58.0,38.0,31.1,5.5,13.5,0.408,2.8,7.4,0.385,2.7,6.1,0.435,0.513,1.4,1.8,0.783,0.5,2.2,2.6,1.4,1.0,0.2,0.7,1.6,15.3
Chimezie Metu,533,SAS,2,49,2018,Southern California,2017-18,Southern California,34,33,31.0,6.0,11.5,5.7,10.4,0.4,1.2,3.3,4.5,1.9,5.6,7.4,1.6,0.8,1.7,2.0,2.6,15.7,0.523,0.548,0.3,0.73,0.574,0.538,F,JR,SAS,PF,29.0,0.0,5.0,0.7,2.0,0.328,0.0,0.1,0.0,0.7,1.9,0.339,0.328,0.4,0.6,0.765,0.3,0.9,1.2,0.4,0.2,0.1,0.5,0.5,1.8,SAS,C,18.0,0.0,5.8,1.3,2.3,0.571,0.0,0.1,0.0,1.3,2.2,0.6,0.571,0.6,0.7,0.769,0.7,1.2,1.8,0.6,0.2,0.3,0.6,0.4,3.2,SAC,C,36.0,6.0,13.6,2.5,5.0,0.508,0.4,1.0,0.351,2.2,3.9,0.549,0.545,0.9,1.2,0.721,0.9,2.3,3.1,0.8,0.4,0.5,0.8,1.6,6.3
Shai Gilgeous-Alexander,532,CHA,1,11,2018,Kentucky,2017-18,Kentucky,37,24,33.7,4.9,10.2,4.3,8.6,0.6,1.5,3.9,4.7,0.9,3.2,4.1,5.1,1.6,0.5,2.7,1.7,14.4,0.485,0.5,0.404,0.817,0.578,0.516,G,FR,LAC,PG,82.0,73.0,26.5,4.2,8.7,0.476,0.6,1.7,0.367,3.5,7.0,0.503,0.512,1.9,2.4,0.8,0.7,2.1,2.8,3.3,1.2,0.5,1.7,2.1,10.8,OKC,SG,70.0,70.0,34.7,6.8,14.5,0.471,1.2,3.6,0.347,5.6,10.9,0.512,0.514,4.1,5.1,0.807,0.7,5.2,5.9,3.3,1.1,0.7,1.9,1.7,19.0,OKC,SG,35.0,35.0,33.7,8.2,16.1,0.508,2.0,4.9,0.418,6.2,11.3,0.547,0.571,5.3,6.5,0.808,0.5,4.2,4.7,5.9,0.8,0.7,3.0,2.0,23.7
Vince Edwards,511,UTA,2,52,2018,Purdue,2017-18,Purdue,35,35,31.6,5.1,10.8,3.7,7.1,1.5,3.7,2.9,3.4,2.0,5.4,7.4,2.9,0.5,0.6,2.0,1.8,14.6,0.476,0.516,0.398,0.833,0.587,0.544,F,SR,HOU,SF,2.0,0.0,8.0,0.5,2.0,0.25,0.5,2.0,0.25,0.0,0.0,,0.375,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendell Carter Jr.,501,CHI,1,7,2018,Duke,2017-18,Duke,37,37,26.9,4.8,8.6,4.3,7.4,0.5,1.2,3.4,4.5,2.9,6.1,9.1,2.0,0.8,2.1,2.0,2.8,13.5,0.561,0.586,0.413,0.738,0.628,0.591,F,FR,CHI,C,44.0,44.0,25.2,4.1,8.4,0.485,0.1,0.7,0.188,4.0,7.7,0.513,0.493,2.0,2.5,0.795,2.0,5.0,7.0,1.8,0.6,1.3,1.5,3.5,10.3,CHI,C,43.0,43.0,29.2,4.3,8.0,0.534,0.1,0.7,0.207,4.1,7.3,0.564,0.542,2.6,3.5,0.737,3.2,6.2,9.4,1.2,0.8,0.8,1.7,3.8,11.3,2TM,C,54.0,44.0,25.5,4.3,8.5,0.503,0.3,0.9,0.294,4.0,7.5,0.53,0.52,2.4,3.3,0.732,2.4,5.8,8.2,1.9,0.6,0.8,1.4,2.7,11.2
Khyri Thomas,497,PHI,2,38,2018,Creighton,2017-18,Creighton,33,33,31.7,5.6,10.4,3.7,5.8,1.9,4.6,2.0,2.6,1.1,3.3,4.4,2.8,1.7,0.2,1.8,1.9,15.1,0.538,0.639,0.411,0.788,0.65,0.629,G,JR,DET,SG,26.0,0.0,7.5,0.8,2.7,0.319,0.4,1.3,0.286,0.5,1.3,0.353,0.391,0.3,0.4,0.636,0.2,0.6,0.8,0.3,0.3,0.2,0.2,0.8,2.3,DET,SG,8.0,0.0,7.6,0.6,2.1,0.294,0.6,1.8,0.357,0.0,0.4,0.0,0.441,0.3,0.5,0.5,0.1,0.0,0.1,0.4,0.4,0.0,0.4,1.1,2.1,HOU,SG,5.0,2.0,30.6,6.4,13.2,0.485,1.8,5.4,0.333,4.6,7.8,0.59,0.553,1.8,1.8,1.0,1.4,2.2,3.6,5.0,1.8,1.2,1.2,1.6,16.4
Alize Johnson,495,IND,2,50,2018,Missouri State,2017-18,Missouri State,33,33,31.2,5.2,12.1,4.0,7.7,1.2,4.4,3.3,4.4,3.2,8.5,11.6,2.8,0.5,0.4,2.2,2.1,15.0,0.43,0.516,0.281,0.759,0.528,0.481,F,SR,IND,PF,14.0,0.0,4.6,0.3,1.1,0.25,0.1,0.1,0.5,0.2,1.0,0.214,0.281,0.3,0.6,0.5,0.3,1.1,1.4,0.1,0.1,0.2,0.0,0.5,0.9,IND,PF,17.0,1.0,6.9,0.7,1.7,0.414,0.2,0.5,0.375,0.5,1.2,0.429,0.466,0.4,0.6,0.7,0.9,1.9,2.8,0.4,0.2,0.1,0.4,0.7,2.0,BRK,PF,18.0,0.0,10.5,2.2,3.8,0.588,0.1,0.3,0.167,2.2,3.4,0.629,0.596,0.7,0.7,1.0,1.5,3.5,5.0,0.8,0.3,0.3,0.5,0.9,5.2
Landry Shamet,477,PHI,1,26,2018,Wichita State,2017-18,Wichita State,32,32,31.7,4.8,9.8,2.2,3.9,2.6,5.9,2.7,3.2,0.4,2.8,3.2,5.2,0.7,0.2,2.1,1.9,14.9,0.489,0.56,0.442,0.825,0.655,0.622,G,SO,2TM,SG,79.0,27.0,22.8,3.0,7.1,0.431,2.1,5.0,0.422,0.9,2.0,0.453,0.581,0.9,1.2,0.806,0.3,1.4,1.7,1.5,0.5,0.1,0.6,2.0,9.1,LAC,SG,53.0,30.0,27.4,3.0,7.4,0.404,2.1,5.6,0.375,0.9,1.8,0.495,0.546,1.2,1.4,0.855,0.1,1.8,1.9,1.9,0.4,0.2,0.8,2.7,9.3,BRK,SG,61.0,12.0,23.0,3.0,7.5,0.408,2.1,5.5,0.387,0.9,2.0,0.463,0.549,1.1,1.3,0.846,0.2,1.7,1.8,1.6,0.5,0.2,0.8,1.5,9.3
Melvin Frazier,477,ORL,2,35,2018,Tulane,2017-18,Tulane,30,30,34.4,6.0,10.7,4.8,7.7,1.2,3.0,2.8,3.9,1.2,4.4,5.6,2.9,2.2,0.7,2.6,2.0,15.9,0.556,0.623,0.385,0.712,0.631,0.61,G,JR,ORL,SG,10.0,0.0,4.4,0.7,2.1,0.333,0.0,0.6,0.0,0.7,1.5,0.467,0.333,0.1,0.4,0.25,0.3,0.2,0.5,0.1,0.1,0.0,0.1,0.6,1.5,ORL,SG,19.0,0.0,6.6,0.8,1.8,0.441,0.4,0.8,0.5,0.4,0.9,0.389,0.559,0.1,0.2,0.5,0.1,0.4,0.5,0.2,0.5,0.1,0.3,0.6,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Huerter,472,ATL,1,19,2018,Maryland,2017-18,Maryland,32,32,34.4,5.1,10.1,2.8,4.6,2.3,5.5,2.3,3.1,1.0,4.1,5.0,3.4,0.6,0.7,2.5,2.4,14.8,0.503,0.605,0.417,0.758,0.64,0.616,G,SO,ATL,SG,75.0,59.0,27.3,3.7,8.8,0.419,1.8,4.7,0.385,1.9,4.1,0.457,0.522,0.5,0.7,0.732,0.8,2.5,3.3,2.9,0.9,0.3,1.5,2.1,9.7,ATL,SG,56.0,48.0,31.4,4.5,10.9,0.413,2.3,6.0,0.38,2.2,4.9,0.453,0.517,0.9,1.1,0.828,0.6,3.4,4.1,3.8,0.9,0.5,1.6,2.5,12.2,ATL,SG,69.0,49.0,30.8,4.6,10.6,0.432,2.0,5.6,0.363,2.6,5.0,0.51,0.528,0.7,0.9,0.781,0.6,2.8,3.3,3.5,1.2,0.3,1.1,2.4,11.9
Jacob Evans,468,GSW,1,28,2018,Cincinnati,2017-18,Cincinnati,36,36,30.8,4.5,10.5,2.8,6.0,1.7,4.5,2.4,3.2,1.4,3.3,4.7,3.1,1.3,1.0,1.8,2.0,13.0,0.427,0.47,0.37,0.754,0.543,0.507,G,JR,GSW,SG,30.0,1.0,6.8,0.6,1.8,0.34,0.1,0.5,0.267,0.5,1.3,0.368,0.377,0.0,0.0,0.0,0.2,0.6,0.8,0.8,0.2,0.1,0.4,0.9,1.3,2TM,SG,29.0,1.0,14.4,1.6,4.6,0.336,0.4,1.3,0.333,1.1,3.3,0.337,0.384,0.9,1.0,0.862,0.3,1.1,1.4,1.1,0.4,0.4,0.9,1.4,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Spalding,444,PHI,2,56,2018,Louisville,2017-18,Louisville,36,34,27.6,5.1,9.4,4.9,8.8,0.1,0.5,2.0,3.2,3.1,5.5,8.7,1.3,1.5,1.7,1.7,3.0,12.3,0.543,0.56,0.263,0.64,0.568,0.55,F,JR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
