Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS.1,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,yr1.Team,yr1.Pos,yr1.G,yr1.GS,yr1.MP,yr1.FG,yr1.FGA,yr1.FG%,yr1.3P,yr1.3PA,yr1.3P%,yr1.2P,yr1.2PA,yr1.2P%,yr1.eFG%,yr1.FT,yr1.FTA,yr1.FT%,yr1.ORB,yr1.DRB,yr1.TRB,yr1.AST,yr1.STL,yr1.BLK,yr1.TOV,yr1.PF,yr1.PTS,yr2.Team,yr2.Pos,yr2.G,yr2.GS,yr2.MP,yr2.FG,yr2.FGA,yr2.FG%,yr2.3P,yr2.3PA,yr2.3P%,yr2.2P,yr2.2PA,yr2.2P%,yr2.eFG%,yr2.FT,yr2.FTA,yr2.FT%,yr2.ORB,yr2.DRB,yr2.TRB,yr2.AST,yr2.STL,yr2.BLK,yr2.TOV,yr2.PF,yr2.PTS,yr3.Team,yr3.Pos,yr3.G,yr3.GS,yr3.MP,yr3.FG,yr3.FGA,yr3.FG%,yr3.3P,yr3.3PA,yr3.3P%,yr3.2P,yr3.2PA,yr3.2P%,yr3.eFG%,yr3.FT,yr3.FTA,yr3.FT%,yr3.ORB,yr3.DRB,yr3.TRB,yr3.AST,yr3.STL,yr3.BLK,yr3.TOV,yr3.PF,yr3.PTS
John Collins,632,ATL,1,19,2017,Wake Forest,2016-17,Wake Forest,33,33,26.6,7.1,11.4,7.1,11.4,0.0,0.0,5.0,6.7,3.8,6.1,9.8,0.5,0.6,1.6,1.8,3.0,19.2,0.622,0.624,0.0,0.745,0.658,0.622,F,SO,ATL,PF,74.0,26.0,24.1,4.2,7.4,0.576,0.2,0.6,0.34,4.0,6.7,0.598,0.591,1.8,2.5,0.715,2.4,4.9,7.3,1.3,0.6,1.1,1.4,2.9,10.5,ATL,PF,61.0,59.0,30.0,7.6,13.6,0.56,0.9,2.6,0.348,6.7,11.0,0.609,0.593,3.3,4.4,0.763,3.6,6.2,9.8,2.0,0.4,0.6,2.0,3.3,19.5,ATL,PF,41.0,41.0,33.2,8.6,14.8,0.583,1.4,3.6,0.401,7.2,11.2,0.642,0.632,2.9,3.7,0.8,2.8,7.3,10.1,1.5,0.8,1.6,1.8,3.4,21.6
Derrick White,615,SAS,1,29,2017,Colorado,2016-17,Colorado,34,32,32.8,6.0,11.9,4.4,7.6,1.7,4.2,4.4,5.4,1.0,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,0.507,0.569,0.396,0.813,0.627,0.578,G,SR,SAS,PG,17.0,0.0,8.2,0.9,1.9,0.485,0.5,0.8,0.615,0.5,1.2,0.4,0.606,0.8,1.2,0.7,0.3,1.2,1.5,0.5,0.2,0.2,0.4,0.5,3.2,SAS,PG,67.0,55.0,25.8,3.9,8.1,0.479,0.7,2.1,0.338,3.2,6.0,0.529,0.523,1.4,1.8,0.772,0.5,3.2,3.7,3.9,1.0,0.7,1.4,2.2,9.9,SAS,SG,68.0,20.0,24.7,3.7,8.1,0.458,1.2,3.2,0.366,2.6,4.9,0.518,0.53,2.6,3.1,0.853,0.5,2.8,3.3,3.5,0.6,0.9,1.3,2.2,11.3
Jawun Evans,613,PHI,2,39,2017,Oklahoma State,2016-17,Oklahoma State,32,32,29.3,6.6,15.1,5.5,12.1,1.1,3.0,4.8,6.0,0.8,2.7,3.4,6.4,1.8,0.1,2.8,2.3,19.2,0.438,0.452,0.379,0.812,0.535,0.475,G,SO,LAC,PG,48.0,4.0,16.2,1.9,5.3,0.352,0.3,1.1,0.278,1.5,4.1,0.372,0.381,0.8,1.0,0.776,0.2,1.6,1.8,2.1,0.8,0.1,0.9,2.0,4.8,2TM,PG,8.0,0.0,8.1,0.4,1.8,0.214,0.0,0.4,0.0,0.4,1.4,0.273,0.214,0.0,0.0,,0.1,1.4,1.5,1.3,0.4,0.0,0.8,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwayne Bacon,603,NOH,2,40,2017,Florida State,2016-17,Florida State,35,35,28.8,6.3,14.0,4.7,9.1,1.6,4.9,3.0,3.9,1.0,3.2,4.2,1.7,1.0,0.1,2.0,1.6,17.2,0.452,0.516,0.333,0.754,0.544,0.51,G,SO,CHO,SG,53.0,6.0,13.5,1.4,3.6,0.375,0.2,0.8,0.256,1.2,2.8,0.409,0.404,0.4,0.5,0.8,0.1,2.3,2.3,0.7,0.3,0.0,0.4,0.9,3.3,CHO,SG,43.0,13.0,17.7,2.8,6.0,0.475,0.9,2.0,0.437,2.0,4.0,0.494,0.549,0.8,1.1,0.739,0.2,1.9,2.1,1.1,0.3,0.1,0.4,1.7,7.3,CHO,SG,39.0,11.0,17.6,2.2,6.3,0.348,0.5,1.7,0.284,1.7,4.5,0.373,0.387,0.9,1.4,0.66,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,5.7
De'Aaron Fox,601,SAC,1,5,2017,Kentucky,2016-17,Kentucky,36,34,29.6,5.9,12.4,5.5,10.5,0.5,1.9,4.3,5.9,0.6,3.4,4.0,4.6,1.5,0.2,2.4,2.5,16.7,0.479,0.521,0.246,0.736,0.549,0.498,G,FR,SAC,PG,73.0,61.0,27.8,4.5,10.9,0.412,0.6,2.1,0.307,3.8,8.8,0.436,0.441,1.9,2.7,0.723,0.5,2.3,2.8,4.4,1.0,0.3,2.4,2.2,11.6,SAC,PG,81.0,81.0,31.4,6.2,13.6,0.458,1.1,2.9,0.371,5.2,10.7,0.482,0.497,3.7,5.1,0.727,0.5,3.2,3.8,7.3,1.6,0.6,2.8,2.5,17.3,SAC,PG,51.0,49.0,32.0,7.7,16.0,0.48,1.1,3.6,0.292,6.6,12.4,0.535,0.513,4.7,6.7,0.705,0.7,3.2,3.8,6.8,1.5,0.5,3.1,2.8,21.1
Jaron Blossomgame,584,SAS,2,59,2017,Clemson,2016-17,Clemson,33,33,34.3,6.7,13.4,5.9,10.5,0.7,2.8,3.6,5.1,1.8,4.5,6.3,1.5,0.8,0.9,1.7,1.6,17.7,0.499,0.565,0.255,0.714,0.561,0.526,F,SR,CLE,SF,27.0,4.0,16.3,1.7,3.9,0.443,0.4,1.4,0.256,1.4,2.5,0.552,0.491,0.4,0.5,0.769,1.0,2.7,3.6,0.5,0.3,0.3,0.4,0.7,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Smith Jr.,580,DAL,1,9,2017,NC State,2016-17,NC State,32,32,34.8,6.0,13.1,4.3,8.3,1.7,4.8,4.5,6.3,0.8,3.8,4.6,6.2,1.9,0.4,3.4,2.1,18.1,0.455,0.509,0.359,0.715,0.563,0.52,G,FR,DAL,PG,69.0,69.0,29.7,5.9,14.8,0.395,1.5,4.9,0.313,4.3,9.9,0.435,0.446,1.9,2.8,0.694,0.7,3.0,3.8,5.2,1.0,0.3,2.8,2.2,15.2,2TM,PG,53.0,50.0,28.5,5.2,12.3,0.428,1.3,3.9,0.322,4.0,8.3,0.477,0.479,1.9,2.9,0.635,0.6,2.3,2.9,4.8,1.3,0.4,2.9,2.4,13.6,NYK,PG,34.0,3.0,15.8,2.1,6.2,0.341,0.5,1.6,0.296,1.6,4.6,0.357,0.379,0.8,1.6,0.509,0.6,1.7,2.3,2.9,0.8,0.2,1.7,1.9,5.5
Markelle Fultz,579,PHI,1,1,2017,Washington,2016-17,Washington,25,25,35.7,8.4,17.6,6.3,12.5,2.1,5.0,4.4,6.7,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2,0.476,0.502,0.413,0.649,0.558,0.535,G,FR,PHI,SG,14.0,0.0,18.1,3.2,7.9,0.405,0.0,0.1,0.0,3.2,7.9,0.409,0.405,0.7,1.5,0.476,0.8,2.3,3.1,3.8,0.9,0.3,1.2,1.6,7.1,PHI,SG,19.0,15.0,22.5,3.4,8.2,0.419,0.2,0.7,0.286,3.2,7.4,0.433,0.432,1.1,1.9,0.568,1.4,2.3,3.7,3.1,0.9,0.3,1.3,2.7,8.2,ORL,PG,72.0,60.0,27.7,5.0,10.7,0.465,0.5,1.9,0.267,4.5,8.8,0.507,0.488,1.6,2.2,0.73,0.6,2.7,3.3,5.1,1.3,0.2,2.0,2.0,12.1
Lauri Markkanen,576,MIN,1,7,2017,Arizona,2016-17,Arizona,37,37,30.8,5.0,10.2,3.1,5.8,1.9,4.4,3.7,4.4,2.4,4.8,7.2,0.9,0.4,0.5,1.1,2.0,15.6,0.492,0.545,0.423,0.835,0.635,0.584,F,FR,CHI,PF,68.0,68.0,29.7,5.5,12.7,0.434,2.1,5.9,0.362,3.4,6.8,0.497,0.518,2.1,2.4,0.843,1.2,6.3,7.5,1.2,0.6,0.6,1.2,1.5,15.2,CHI,PF,52.0,51.0,32.3,6.6,15.3,0.43,2.3,6.4,0.361,4.3,8.9,0.479,0.506,3.3,3.8,0.872,1.4,7.6,9.0,1.4,0.7,0.6,1.6,2.3,18.7,CHI,PF,50.0,50.0,29.8,5.0,11.8,0.425,2.2,6.3,0.344,2.8,5.5,0.518,0.517,2.5,3.1,0.824,1.2,5.1,6.3,1.5,0.8,0.5,1.6,1.9,14.7
Monte Morris,575,DEN,2,51,2017,Iowa State,2016-17,Iowa State,35,35,35.3,6.2,13.3,4.6,9.2,1.5,4.1,2.5,3.2,1.1,3.7,4.8,6.2,1.5,0.3,1.2,1.5,16.4,0.465,0.503,0.378,0.802,0.555,0.523,G,SR,DEN,PG,3.0,0.0,8.3,1.3,2.0,0.667,0.0,0.3,0.0,1.3,1.7,0.8,0.667,0.7,0.7,1.0,0.0,0.7,0.7,2.3,1.0,0.0,0.3,0.3,3.3,DEN,PG,82.0,6.0,24.0,4.2,8.6,0.493,1.1,2.8,0.414,3.1,5.8,0.531,0.56,0.8,1.0,0.802,0.4,1.9,2.4,3.6,0.9,0.0,0.6,1.2,10.4,DEN,PG,73.0,12.0,22.4,3.6,7.8,0.459,0.9,2.4,0.378,2.7,5.4,0.495,0.517,1.0,1.2,0.843,0.3,1.5,1.9,3.5,0.8,0.2,0.7,1.0,9.0
