Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
43,43,HOU,Isaiah Hartenstein,,7,347,6531,2243,2116,643,.592,.276,.684,18.8,6.5,6.1,1.9,24.4,.180,2.0,6.6
44,44,NYK,Damyean Dotson,Oregon,5,213,4242,1594,532,315,.417,.345,.711,19.9,7.5,2.5,1.5,3.0,.034,-2.8,-0.9
45,45,HOU,Dillon Brooks,Oregon,8,458,13426,6442,1474,919,.417,.347,.806,29.3,14.1,3.2,2.0,12.2,.043,-3.6,-5.5
46,46,PHI,Sterling Brown,SMU,6,268,4458,1431,891,268,.419,.363,.796,16.6,5.3,3.3,1.0,6.6,.071,-2.1,-0.1
47,47,IND,Ike Anigbogu,UCLA,2,14,36,13,12,1,.333,,.833,2.6,0.9,0.9,0.1,0.0,.057,-1.1,0.0
48,48,MIL,Sindarius Thornwell,South Carolina,4,160,1721,401,206,111,.407,.340,.672,10.8,2.5,1.3,0.7,1.1,.032,-3.1,-0.5
49,49,DEN,Vlatko Čančar,,5,134,1425,470,227,114,.481,.363,.847,10.6,3.5,1.7,0.9,2.5,.086,-2.2,-0.1
50,50,PHI,Mathias Lessort,,,,,,,,,,,,,,,,,,
51,51,DEN,Monte Morris,Iowa State,8,411,9720,3933,977,1499,.474,.386,.826,23.6,9.6,2.4,3.6,24.7,.122,0.3,5.6
52,52,NOP,Edmond Sumner,Xavier,5,161,2256,997,244,182,.470,.341,.811,14.0,6.2,1.5,1.1,3.2,.069,-3.0,-0.6
53,53,BOS,Kadeem Allen,Arizona,3,47,640,258,71,109,.435,.349,.757,13.6,5.5,1.5,2.3,1.0,.075,-1.2,0.1
54,54,PHO,Alec Peters,Valparaiso,1,20,225,82,37,12,.378,.310,.800,11.3,4.1,1.9,0.6,0.3,.055,-2.8,0.0
55,55,UTA,Nigel Williams-Goss,Gonzaga,1,10,50,14,6,6,.313,.286,1.000,5.0,1.4,0.6,0.6,0.0,.017,-3.9,0.0
56,56,BOS,Jabari Bird,California,1,13,115,39,19,8,.577,.429,.462,8.8,3.0,1.5,0.6,0.2,.098,-3.1,0.0
57,57,BRK,Sasha Vezenkov,,1,42,511,225,96,19,.440,.375,.800,12.2,5.4,2.3,0.5,1.0,.098,-0.9,0.1
58,58,NYK,Ognjen Jaramaz,,,,,,,,,,,,,,,,,,
59,59,SAS,Jaron Blossomgame,Clemson,1,27,439,114,98,13,.443,.256,.769,16.3,4.2,3.6,0.5,0.3,.030,-3.8,-0.2
60,60,ATL,Alpha Kaba,,,,,,,,,,,,,,,,,,
