Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
14,14,DEN,Michael Porter Jr.,Missouri,6,313,8939,5014,1957,422,.501,.411,.789,28.6,16.0,6.3,1.3,24.0,.129,0.9,6.4
15,15,WAS,Troy Brown Jr.,Oregon,6,356,6778,2196,1288,508,.423,.351,.783,19.0,6.2,3.6,1.4,8.6,.061,-1.8,0.4
16,16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,.378,.316,.667,11.0,3.7,1.2,0.9,0.0,.011,-6.1,-0.1
17,17,MIL,Donte DiVincenzo,Villanova,7,394,10061,4186,1702,1118,.424,.375,.776,25.5,10.6,4.3,2.8,22.0,.105,0.9,7.5
18,18,SAS,Lonnie Walker IV,Miami (FL),6,322,6548,3171,728,468,.422,.356,.795,20.3,9.8,2.3,1.5,4.6,.033,-2.5,-0.9
19,19,ATL,Kevin Huerter,Maryland,7,454,12769,5250,1551,1329,.441,.375,.762,28.1,11.6,3.4,2.9,18.1,.068,-0.9,3.5
20,20,MIN,Josh Okogie,Georgia Tech,7,405,7761,2542,1207,467,.407,.299,.746,19.2,6.3,3.0,1.2,11.3,.070,-1.9,0.2
21,21,UTA,Grayson Allen,Duke,7,374,9535,3951,1132,740,.451,.413,.864,25.5,10.6,3.0,2.0,21.8,.110,0.0,4.9
22,22,CHI,Chandler Hutchison,Boise State,4,103,1790,558,376,79,.442,.309,.643,17.4,5.4,3.7,0.8,1.1,.030,-3.9,-0.9
23,23,IND,Aaron Holiday,UCLA,7,417,6908,2678,662,851,.419,.379,.855,16.6,6.4,1.6,2.0,8.9,.062,-2.1,-0.1
24,24,POR,Anfernee Simons,,7,361,9480,5260,900,1127,.431,.384,.877,26.3,14.6,2.5,3.1,10.4,.052,-1.4,1.5
25,25,LAL,Moritz Wagner,Michigan,7,363,6051,3328,1436,439,.525,.324,.807,16.7,9.2,4.0,1.2,17.0,.135,0.3,3.5
26,26,PHI,Landry Shamet,Wichita State,7,363,7794,3073,614,577,.409,.382,.838,21.5,8.5,1.7,1.6,12.2,.075,-2.0,0.0
27,27,BOS,Robert Williams,Texas A&M,7,232,4697,1673,1582,321,.725,.143,.674,20.2,7.2,6.8,1.4,23.6,.241,4.7,7.8
28,28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,.337,.315,.833,10.5,2.8,1.1,0.9,-0.6,-.047,-7.4,-0.8
29,29,BRK,Džanan Musa,,2,49,526,211,91,45,.376,.227,.726,10.7,4.3,1.9,0.9,0.0,.003,-4.6,-0.4
30,30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,.417,.366,.766,17.8,6.8,4.3,1.0,2.4,.068,-1.5,0.2
31,31,PHO,Elie Okobo,,2,108,1677,523,188,242,.395,.315,.737,15.5,4.8,1.7,2.2,0.5,.014,-4.1,-0.9
32,32,MEM,Jevon Carter,West Virginia,7,396,6086,2062,664,625,.397,.385,.796,15.4,5.2,1.7,1.6,8.4,.066,-1.4,0.9
33,33,DAL,Jalen Brunson,Villanova,7,467,13530,8298,1493,2307,.489,.392,.823,29.0,17.8,3.2,4.9,43.5,.154,2.2,14.4
34,34,ATL,Devonte' Graham,Kansas,6,336,8359,3733,758,1448,.371,.354,.812,24.9,11.1,2.3,4.3,12.7,.073,-0.5,3.2
35,35,ORL,Melvin Frazier,Tulane,3,32,290,87,28,5,.340,.209,.533,9.1,2.7,0.9,0.2,-0.4,-.062,-10.0,-0.6
36,36,NYK,Mitchell Robinson,,6,320,7832,2549,2538,199,.701,,.518,24.5,8.0,7.9,0.6,33.9,.207,2.1,8.1
37,37,SAC,Gary Trent Jr.,Duke,7,379,10747,5256,900,548,.424,.390,.823,28.4,13.9,2.4,1.4,17.5,.078,-1.1,2.4
38,38,PHI,Khyri Thomas,Creighton,3,39,409,160,39,36,.388,.316,.750,10.5,4.1,1.0,0.9,0.5,.058,-2.7,-0.1
39,39,PHI,Isaac Bonga,,4,143,1871,439,320,118,.432,.300,.759,13.1,3.1,2.2,0.8,1.7,.044,-3.6,-0.7
40,40,BRK,Rodions Kurucs,,3,131,2103,780,406,113,.444,.329,.739,16.1,6.0,3.1,0.9,2.3,.052,-2.8,-0.4
41,41,ORL,Jarred Vanderbilt,Kentucky,7,274,5606,1663,1748,397,.568,.288,.645,20.5,6.1,6.4,1.4,15.5,.133,0.2,3.1
42,42,DET,Bruce Brown,Miami (FL),7,428,10690,3811,1811,1052,.481,.336,.765,25.0,8.9,4.2,2.5,19.4,.087,-1.3,1.8
43,43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,
44,44,WAS,Issuf Sanon,,,,,,,,,,,,,,,,,,
45,45,BRK,Hamidou Diallo,Kentucky,6,265,4918,2272,1009,283,.495,.274,.623,18.6,8.6,3.8,1.1,6.2,.060,-2.1,-0.1
46,46,HOU,De'Anthony Melton,USC,7,356,8147,3231,1316,988,.410,.369,.779,22.9,9.1,3.7,2.8,14.2,.084,0.6,5.3
47,47,LAL,Svi Mykhailiuk,Kansas,7,310,4945,2010,536,415,.407,.363,.762,16.0,6.5,1.7,1.3,4.4,.042,-2.3,-0.3
48,48,MIN,Keita Bates-Diop,Ohio State,6,283,4566,1697,848,241,.474,.333,.751,16.1,6.0,3.0,0.9,7.4,.078,-1.6,0.5
49,49,SAS,Chimezie Metu,USC,6,260,3565,1522,908,197,.495,.298,.787,13.7,5.9,3.5,0.8,5.7,.076,-1.6,0.3
50,50,IND,Alize Johnson,Missouri State,5,76,568,189,228,32,.481,.227,.711,7.5,2.5,3.0,0.4,1.3,.108,-2.4,-0.1
51,51,NOP,Tony Carr,Penn State,,,,,,,,,,,,,,,,,
52,52,UTA,Vince Edwards,Purdue,1,2,16,3,2,0,.250,.250,,8.0,1.5,1.0,0.0,0.0,-.014,-6.4,0.0
53,53,OKC,Devon Hall,Virginia,1,11,81,20,7,13,.200,.235,.500,7.4,1.8,0.6,1.2,-0.2,-.116,-6.7,-0.1
54,54,DAL,Shake Milton,SMU,7,336,6414,2798,740,826,.451,.358,.823,19.1,8.3,2.2,2.5,11.2,.084,-2.0,0.0
55,55,CHO,Arnoldas Kulboka,,1,2,5,0,0,0,.000,.000,,2.5,0.0,0.0,0.0,0.0,-.217,-21.8,0.0
56,56,PHI,Ray Spalding,Louisville,2,16,167,58,52,5,.529,.000,.286,10.4,3.6,3.3,0.3,0.1,.024,-6.2,-0.2
57,57,OKC,Kevin Hervey,UT Arlington,1,10,52,17,12,5,.259,.150,,5.2,1.7,1.2,0.5,-0.1,-.085,-5.1,0.0
58,58,DEN,Thomas Welsh,UCLA,1,11,36,18,4,5,.538,.429,.500,3.3,1.6,0.4,0.5,0.1,.162,1.2,0.0
59,59,PHO,George King,Colorado,2,5,25,1,6,0,.000,.000,.500,5.0,0.2,1.2,0.0,-0.1,-.225,-17.2,-0.1
60,60,PHI,Kostas Antetokounmpo,Dayton,3,22,87,21,23,3,.375,,.474,4.0,1.0,1.0,0.1,-0.2,-.098,-9.9,-0.2
