Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHO,Deandre Ayton,Arizona,7,390,12025,6408,4087,632,.590,.233,.756,30.8,16.4,10.5,1.6,36.6,.146,0.8,8.4
2,2,SAC,Marvin Bagley III,Duke,7,277,6375,3436,1861,249,.519,.294,.690,23.0,12.4,6.7,0.9,12.3,.092,-1.6,0.6
3,3,ATL,Luka Dončić,,7,422,14728,12089,3655,3489,.470,.348,.748,34.9,28.6,8.7,8.3,54.2,.177,7.7,36.1
4,4,MEM,Jaren Jackson Jr.,Michigan State,7,377,10727,6883,2116,549,.466,.345,.793,28.5,18.3,5.6,1.5,27.1,.121,1.0,8.0
5,5,DAL,Trae Young,Oklahoma,7,449,15398,11335,1592,4350,.433,.354,.871,34.3,25.2,3.5,9.7,40.5,.126,2.7,18.4
6,6,ORL,Mo Bamba,Texas,7,359,6049,2451,1955,303,.478,.358,.681,16.8,6.8,5.4,0.8,15.6,.124,0.0,3.1
7,7,CHI,Wendell Carter Jr.,Duke,7,349,9556,4237,2930,707,.511,.319,.725,27.4,12.1,8.4,2.0,24.8,.124,-0.2,4.4
8,8,CLE,Collin Sexton,Alabama,7,385,11587,7251,1090,1409,.469,.386,.839,30.1,18.8,2.8,3.7,15.2,.063,-1.4,1.6
9,9,NYK,Kevin Knox,Kentucky,6,306,5522,2276,876,228,.392,.341,.723,18.0,7.4,2.9,0.7,0.7,.006,-4.5,-3.5
10,10,PHI,Mikal Bridges,Villanova,7,520,17249,7592,2091,1360,.482,.373,.841,33.2,14.6,4.0,2.6,39.4,.110,0.7,11.9
11,11,CHO,Shai Gilgeous-Alexander,Kentucky,7,430,14206,10221,2065,2140,.500,.349,.859,33.0,23.8,4.8,5.0,53.4,.180,5.1,25.5
12,12,LAC,Miles Bridges,Michigan State,6,388,11922,5864,2351,989,.467,.344,.819,30.7,15.1,6.1,2.5,20.0,.080,-0.3,5.1
13,13,LAC,Jerome Robinson,Boston College,4,135,1685,545,214,136,.361,.297,.711,12.5,4.0,1.6,1.0,-0.2,-.004,-4.8,-1.2
