Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS.1,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class
Shake Milton,396,DAL,2,54,2018,SMU,2017-18,SMU,22,22,36.4,5.6,12.5,3.0,6.6,2.5,5.9,4.3,5.0,0.6,4.0,4.7,4.4,1.4,0.6,2.3,1.7,18.0,0.449,0.462,0.434,0.847,0.606,0.551,G,JR
Troy Brown,396,WAS,1,15,2018,Oregon,2017-18,Oregon,35,35,31.2,4.1,9.2,3.2,6.1,0.9,3.1,2.2,3.0,1.5,4.7,6.2,3.2,1.6,0.2,2.5,2.2,11.3,0.444,0.524,0.291,0.743,0.532,0.494,F,FR
Mohamed Bamba,387,ORL,1,6,2018,Texas,2017-18,Texas,30,29,30.2,4.9,9.0,4.4,7.3,0.5,1.7,2.7,4.0,3.2,7.3,10.5,0.5,0.8,3.7,1.5,2.5,12.9,0.541,0.603,0.275,0.681,0.593,0.567,F,FR
Jaren Jackson Jr.,382,MEM,1,4,2018,Michigan State,2017-18,Michigan State,35,34,21.8,3.4,6.6,2.3,3.9,1.1,2.7,3.0,3.8,1.5,4.3,5.8,1.1,0.6,3.0,1.8,3.2,10.9,0.513,0.596,0.396,0.797,0.647,0.595,F,FR
Hamidou Diallo,371,NJN,2,45,2018,Kentucky,2017-18,Kentucky,37,37,24.8,3.6,8.5,2.9,6.4,0.7,2.1,2.1,3.4,0.9,2.8,3.6,1.2,0.8,0.4,1.4,2.6,10.0,0.428,0.458,0.338,0.616,0.498,0.47,G,FR
Lonnie Walker,368,SAS,1,18,2018,Miami (FL),2017-18,Miami (FL),32,18,27.8,4.1,9.9,2.4,4.9,1.8,5.1,1.5,2.0,0.4,2.2,2.6,1.9,0.9,0.5,1.2,1.6,11.5,0.415,0.487,0.346,0.738,0.527,0.503,G,FR
Robert Williams,311,BOS,1,27,2018,Texas A&M,2017-18,Texas A&M,30,23,25.6,4.6,7.3,4.6,6.9,0.0,0.4,1.1,2.3,2.4,6.9,9.2,1.4,0.8,2.6,1.7,2.2,10.4,0.632,0.668,0.0,0.471,0.614,0.632,F,SO
De'Anthony Melton,300,HOU,2,46,2018,Southern California,2016-17,Southern California,36,25,27.0,2.8,6.4,2.2,4.4,0.6,2.1,2.1,3.0,1.4,3.3,4.7,3.5,1.9,1.0,1.8,2.3,8.3,0.437,0.51,0.284,0.706,0.53,0.483,G,FR
Bruce Brown,216,DET,2,42,2018,Miami (FL),2017-18,Miami (FL),19,19,33.7,4.1,9.9,3.3,6.7,0.8,3.2,2.3,3.7,1.3,5.8,7.1,4.0,1.3,0.8,2.3,2.3,11.4,0.415,0.484,0.267,0.629,0.488,0.457,G,SO
Kostas Antetokounmpo,151,PHI,2,60,2018,Dayton,2017-18,Dayton,29,6,15.1,2.0,3.5,1.9,3.0,0.1,0.5,1.1,2.2,0.8,2.0,2.9,0.4,0.2,1.1,1.3,2.3,5.2,0.574,0.651,0.133,0.516,0.575,0.584,F,FR
Justin Jackson,108,DEN,2,43,2018,Maryland,2017-18,Maryland,11,10,29.2,3.4,9.2,2.5,5.5,0.9,3.6,2.2,2.6,2.5,5.6,8.1,1.9,0.8,0.8,2.9,1.4,9.8,0.366,0.443,0.25,0.828,0.47,0.416,F,SO
Jarred Vanderbilt,82,ORL,2,41,2018,Kentucky,2017-18,Kentucky,14,0,17.0,2.1,4.9,2.1,4.8,0.0,0.1,1.7,2.7,3.3,4.6,7.9,1.0,0.4,0.8,1.1,2.6,5.9,0.426,0.433,0.0,0.632,0.476,0.426,F,FR
Justin Wright-Foreman,948,UTA,2,53,2019,Hofstra,2018-19,Hofstra,35,35,37.7,9.4,18.5,6.3,11.1,3.1,7.4,5.1,5.9,0.3,3.7,4.0,2.9,0.9,0.2,2.6,1.9,27.1,0.511,0.568,0.425,0.864,0.637,0.596,G,SR
Carsen Edwards,874,PHI,2,33,2019,Purdue,2018-19,Purdue,36,36,35.4,7.7,19.5,3.9,9.0,3.8,10.6,5.1,6.1,0.4,3.2,3.6,2.9,1.3,0.3,3.1,2.0,24.3,0.394,0.44,0.355,0.837,0.541,0.49,G,JR
R.J. Barrett,860,NYK,1,3,2019,Duke,2018-19,Duke,38,38,35.3,8.4,18.5,6.5,12.2,1.9,6.2,3.9,5.9,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6,0.454,0.529,0.308,0.665,0.532,0.506,F,FR
Ja Morant,808,MEM,1,2,2019,Murray State,2018-19,Murray State,33,33,36.6,8.0,16.1,6.3,11.3,1.7,4.8,6.7,8.2,1.2,4.5,5.7,10.0,1.8,0.8,5.2,1.5,24.5,0.499,0.556,0.363,0.813,0.612,0.553,G,SO
Zion Williamson,746,NOH,1,1,2019,Duke,2018-19,Duke,33,33,30.0,9.0,13.2,8.2,11.0,0.7,2.2,3.9,6.2,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,0.68,0.747,0.338,0.64,0.702,0.708,F,FR
Rui Hachimura,729,WAS,1,9,2019,Gonzaga,2018-19,Gonzaga,37,37,30.2,7.4,12.6,7.0,11.6,0.4,1.0,4.4,6.0,1.4,5.1,6.5,1.5,0.9,0.7,1.8,2.0,19.7,0.591,0.606,0.417,0.739,0.639,0.608,F,JR
Justin James,706,SAC,2,40,2019,Wyoming,2018-19,Wyoming,32,32,38.2,7.1,17.4,5.6,12.1,1.6,5.3,6.3,8.4,1.0,7.5,8.5,4.4,1.5,0.6,4.2,2.1,22.1,0.409,0.459,0.296,0.741,0.515,0.454,G,SR
Jarrett Culver,704,PHO,1,6,2019,Texas Tech,2018-19,Texas Tech,38,38,32.5,6.7,14.5,5.4,10.3,1.3,4.2,3.9,5.5,1.4,5.0,6.4,3.7,1.5,0.6,2.7,1.9,18.5,0.461,0.526,0.304,0.707,0.542,0.505,G,SO
Dylan Windler,702,CLE,1,26,2019,Belmont,2018-19,Belmont,33,33,33.2,7.4,13.6,4.3,6.6,3.0,7.1,3.5,4.2,1.9,8.9,10.8,2.5,1.4,0.6,2.1,2.1,21.3,0.54,0.659,0.429,0.847,0.681,0.651,F,SR
Grant Williams,696,BOS,1,22,2019,Tennessee,2018-19,Tennessee,37,37,31.9,6.3,11.2,5.9,10.0,0.4,1.2,5.8,7.0,2.2,5.3,7.5,3.2,1.1,1.5,2.2,3.0,18.8,0.564,0.593,0.326,0.819,0.646,0.582,F,JR
Jarrell Brantley,640,IND,2,50,2019,College of Charleston,2018-19,College of Charleston,33,33,34.0,7.2,13.9,6.0,10.4,1.2,3.5,3.9,4.9,1.7,6.7,8.4,2.4,1.4,0.9,2.6,2.7,19.4,0.517,0.582,0.328,0.785,0.598,0.559,F,SR
Marial Shayok,637,PHI,2,54,2019,Iowa State,2018-19,Iowa State,34,34,32.9,6.7,13.6,4.6,8.2,2.1,5.4,3.2,3.6,1.4,3.5,4.9,2.0,0.9,0.2,2.7,2.1,18.7,0.496,0.568,0.386,0.878,0.612,0.573,G,SR
Quinndary Weatherspoon,629,SAS,2,49,2019,Mississippi State,2018-19,Mississippi State,34,34,34.0,6.3,12.3,4.6,8.2,1.6,4.1,4.4,5.4,1.3,3.4,4.7,2.8,1.7,0.3,2.9,2.1,18.5,0.508,0.564,0.396,0.809,0.622,0.574,G,SR
Brandon Clarke,627,OKC,1,21,2019,Gonzaga,2018-19,Gonzaga,37,36,28.1,6.9,10.1,6.8,9.7,0.1,0.4,2.9,4.2,3.1,5.5,8.6,1.9,1.2,3.2,1.5,2.1,16.9,0.687,0.705,0.267,0.694,0.699,0.693,F,JR
Admiral Schofield,610,PHI,2,42,2019,Tennessee,2018-19,Tennessee,37,37,31.8,6.4,13.6,4.4,8.8,2.0,4.8,1.6,2.3,1.2,5.0,6.1,2.0,0.9,0.5,1.9,2.5,16.5,0.474,0.505,0.418,0.698,0.562,0.548,G,SR
Cameron Johnson,608,MIN,1,11,2019,North Carolina,2018-19,North Carolina,36,36,29.9,5.9,11.6,3.2,5.8,2.7,5.8,2.5,3.1,1.8,3.9,5.8,2.4,1.2,0.3,1.5,1.5,16.9,0.506,0.556,0.457,0.818,0.648,0.621,G,SR
Eric Paschall,595,GSW,2,41,2019,Villanova,2018-19,Villanova,36,36,36.1,5.4,12.1,3.5,6.5,1.9,5.6,3.8,5.0,1.3,4.9,6.1,2.1,0.7,0.5,2.3,2.1,16.5,0.447,0.532,0.348,0.746,0.57,0.528,F,SR
Kyle Guy,586,NYK,2,55,2019,Virginia,2018-19,Virginia,38,38,35.4,5.2,11.6,2.1,4.2,3.2,7.4,1.8,2.2,0.7,3.8,4.5,2.1,0.7,0.1,1.4,1.0,15.4,0.449,0.491,0.426,0.833,0.609,0.585,G,JR
Jaylen Nowell,582,MIN,2,43,2019,Washington,2018-19,Washington,36,36,34.4,6.1,12.1,4.6,8.8,1.4,3.2,2.6,3.4,1.0,4.3,5.3,3.1,1.3,0.3,2.9,2.3,16.2,0.502,0.525,0.44,0.779,0.592,0.561,G,SO
De'Andre Hunter,579,LAL,1,4,2019,Virginia,2018-19,Virginia,38,38,32.5,5.4,10.4,4.2,7.6,1.2,2.8,3.2,4.1,1.4,3.7,5.1,2.0,0.6,0.6,1.4,2.0,15.2,0.52,0.55,0.438,0.783,0.618,0.579,G,SO
Coby White,562,CHI,1,7,2019,North Carolina,2018-19,North Carolina,35,35,28.5,5.4,12.7,3.0,6.1,2.3,6.6,3.0,3.7,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,0.423,0.5,0.353,0.8,0.556,0.516,G,FR
Nickeil Alexander-Walker,550,NJN,1,17,2019,Virginia Tech,2018-19,Virginia Tech,34,34,34.3,5.6,11.8,3.9,7.2,1.7,4.6,3.3,4.2,0.5,3.6,4.1,4.0,1.9,0.5,2.9,2.3,16.2,0.474,0.537,0.374,0.778,0.586,0.546,G,SO
Ignas Brazdeikis,548,SAC,2,47,2019,Michigan,2018-19,Michigan,37,37,29.6,5.1,11.0,3.6,7.1,1.5,3.9,3.1,4.1,1.2,4.3,5.4,0.8,0.7,0.5,1.2,2.1,14.8,0.462,0.5,0.392,0.773,0.573,0.531,F,FR
Daniel Gafford,542,CHI,2,38,2019,Arkansas,2018-19,Arkansas,32,32,28.7,6.7,10.1,6.7,10.1,0.0,0.0,3.6,6.0,2.8,5.8,8.7,0.7,0.9,2.0,2.4,2.8,16.9,0.66,0.66,,0.591,0.652,0.66,F,SO
Jalen McDaniels,541,CHA,2,52,2019,San Diego State,2018-19,San Diego State,34,34,31.0,6.2,13.4,5.5,11.2,0.7,2.2,2.7,3.7,2.0,6.3,8.3,2.1,1.1,0.5,2.4,2.9,15.9,0.466,0.495,0.32,0.732,0.525,0.492,F,SO
PJ Washington,531,CHA,1,12,2019,Kentucky,2018-19,Kentucky,35,33,29.3,5.4,10.4,4.5,8.2,0.9,2.2,3.4,5.1,2.3,5.2,7.5,1.8,0.8,1.2,2.0,2.5,15.2,0.522,0.549,0.423,0.663,0.592,0.567,F,SO
Romeo Langford,528,BOS,1,14,2019,Indiana,2018-19,Indiana,32,32,34.1,5.5,12.3,4.5,8.4,1.1,3.9,4.4,6.1,1.4,4.0,5.4,2.3,0.8,0.8,2.1,1.9,16.5,0.448,0.53,0.272,0.722,0.542,0.491,G,FR
Tyler Herro,519,MIA,1,13,2019,Kentucky,2018-19,Kentucky,37,37,32.6,5.0,10.9,3.4,6.3,1.6,4.6,2.4,2.5,0.4,4.1,4.5,2.5,1.1,0.3,1.6,1.3,14.0,0.462,0.538,0.355,0.935,0.58,0.536,G,FR
Tremont Waters,504,BOS,2,51,2019,Louisiana State,2018-19,Louisiana State,33,29,32.4,5.2,12.1,3.5,6.9,1.7,5.2,3.2,3.9,0.3,2.5,2.8,5.8,2.9,0.1,3.5,1.9,15.3,0.43,0.507,0.327,0.813,0.547,0.5,G,SO
Ty Jerome,502,PHI,1,24,2019,Virginia,2018-19,Virginia,37,37,33.9,4.8,11.1,2.7,5.7,2.1,5.4,1.8,2.5,0.5,3.8,4.2,5.5,1.5,0.0,1.6,1.7,13.6,0.435,0.469,0.399,0.736,0.555,0.532,G,JR
Jordan Bone,498,NOH,2,57,2019,Tennessee,2018-19,Tennessee,37,37,32.9,5.0,10.8,3.7,7.0,1.4,3.8,2.1,2.5,0.5,2.7,3.2,5.8,0.7,0.1,2.0,1.3,13.5,0.465,0.525,0.355,0.835,0.562,0.528,G,JR
Keldon Johnson,498,SAS,1,29,2019,Kentucky,2018-19,Kentucky,37,36,30.7,4.6,10.1,3.4,6.9,1.2,3.2,2.9,4.2,1.3,4.5,5.9,1.6,0.8,0.2,1.6,2.2,13.5,0.461,0.498,0.381,0.703,0.558,0.521,G,FR
Miye Oni,497,GSW,2,58,2019,Yale,2018-19,Yale,29,28,31.0,5.8,13.1,3.8,7.9,1.9,5.2,3.7,4.7,0.7,5.6,6.3,3.6,0.9,1.3,2.6,2.7,17.1,0.441,0.487,0.371,0.793,0.561,0.515,G,JR
Mfiondu Kabengele,489,NJN,1,27,2019,Florida State,2018-19,Florida State,37,0,21.6,4.4,8.8,3.8,7.1,0.6,1.8,3.7,4.9,2.1,3.8,5.9,0.3,0.6,1.5,1.3,2.6,13.2,0.502,0.534,0.369,0.761,0.593,0.538,F,SO
Kezie Okpala,488,PHO,2,32,2019,Stanford,2018-19,Stanford,29,29,32.7,5.9,12.7,4.8,9.7,1.1,3.0,4.0,6.0,1.2,4.5,5.7,2.0,1.0,0.5,2.9,2.5,16.8,0.463,0.493,0.368,0.671,0.543,0.507,F,SO
Cam Reddish,485,ATL,1,10,2019,Duke,2018-19,Duke,36,35,29.7,4.3,12.0,1.8,4.6,2.5,7.4,2.4,3.2,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,0.356,0.394,0.333,0.772,0.499,0.459,F,FR
Jordan Poole,472,GSW,1,28,2019,Michigan,2018-19,Michigan,37,37,33.1,4.4,10.0,2.3,4.5,2.0,5.5,2.0,2.4,0.2,2.8,3.0,2.2,1.1,0.2,1.5,2.0,12.8,0.436,0.518,0.369,0.833,0.573,0.538,G,SO
Jaylen Hands,467,LAC,2,56,2019,UCLA,2018-19,UCLA,33,33,31.2,4.8,11.6,2.8,6.2,2.0,5.4,2.6,3.3,0.4,3.3,3.7,6.1,1.3,0.2,3.2,1.2,14.2,0.413,0.447,0.373,0.78,0.537,0.499,G,SO
Bruno Fernando,462,PHI,2,34,2019,Maryland,2018-19,Maryland,34,33,30.0,5.1,8.4,5.0,8.1,0.1,0.3,3.3,4.3,2.9,7.7,10.6,2.0,0.6,1.9,2.8,2.7,13.6,0.607,0.618,0.3,0.779,0.653,0.612,F,SO
Chuma Okeke,456,ORL,1,16,2019,Auburn,2018-19,Auburn,38,38,29.1,4.4,8.9,3.0,5.2,1.4,3.7,1.7,2.4,2.8,4.1,6.8,1.9,1.8,1.2,1.7,1.9,12.0,0.496,0.574,0.387,0.722,0.597,0.577,F,SO
Terance Mann,422,LAC,2,48,2019,Florida State,2018-19,Florida State,37,36,31.7,4.0,7.9,3.2,5.8,0.8,2.1,2.6,3.4,2.5,4.0,6.5,2.5,0.7,0.3,1.8,2.2,11.4,0.505,0.547,0.39,0.79,0.603,0.557,G,SR
Nicolas Claxton,415,NJN,2,31,2019,Georgia,2018-19,Georgia,32,32,31.6,4.3,9.3,3.7,7.3,0.6,2.0,3.8,6.0,2.3,6.3,8.6,1.8,1.1,2.5,2.1,2.8,13.0,0.46,0.509,0.281,0.641,0.533,0.49,F,SO
Isaiah Roby,414,DET,2,45,2019,Nebraska,2018-19,Nebraska,35,35,31.2,4.2,9.3,3.4,6.9,0.8,2.4,2.6,3.8,1.9,5.0,6.9,1.9,1.3,1.9,2.0,3.2,11.8,0.454,0.496,0.333,0.677,0.532,0.497,F,JR
Talen Horton-Tucker,414,ORL,2,46,2019,Iowa State,2018-19,Iowa State,35,34,27.2,4.4,10.9,3.0,6.4,1.4,4.5,1.6,2.5,0.7,4.2,4.9,2.3,1.3,0.7,1.7,2.3,11.8,0.406,0.475,0.308,0.625,0.488,0.47,G,FR
Cody Martin,410,CHA,2,36,2019,Nevada,2018-19,Nevada,34,34,34.4,4.4,8.8,3.4,6.0,1.0,2.8,2.2,2.9,0.9,3.5,4.5,4.9,1.4,0.7,1.9,2.5,12.1,0.505,0.574,0.358,0.763,0.594,0.562,F,SR
Dewan Hernandez,365,TOR,2,59,2019,Miami (FL),2017-18,Miami (FL),32,32,825.0,147.0,255.0,147.0,252.0,0.0,3.0,71.0,103.0,65.0,148.0,213.0,14.0,16.0,31.0,44.0,60.0,365.0,0.576,0.583,0.0,0.689,0.6,0.576,F,SO
Nassir Little,353,POR,1,25,2019,North Carolina,2018-19,North Carolina,36,0,18.2,3.6,7.6,3.3,6.2,0.4,1.4,2.1,2.8,1.6,3.0,4.6,0.7,0.5,0.5,1.3,1.6,9.8,0.478,0.527,0.269,0.77,0.549,0.504,F,FR
Matisse Thybulle,327,BOS,1,20,2019,Washington,2018-19,Washington,36,36,31.1,3.1,7.5,1.8,3.3,1.3,4.2,1.6,1.9,0.8,2.3,3.1,2.1,3.5,2.3,1.8,2.8,9.1,0.415,0.555,0.305,0.851,0.542,0.5,G,SR
Jaxson Hayes,320,ATL,1,8,2019,Texas,2018-19,Texas,32,21,23.3,3.8,5.3,3.8,5.3,0.0,0.0,2.3,3.1,1.8,3.3,5.0,0.3,0.6,2.2,0.9,3.3,10.0,0.728,0.728,,0.74,0.739,0.728,F,FR
Kevin Porter Jr.,200,MIL,1,30,2019,Southern California,2018-19,Southern California,21,4,22.1,3.5,7.5,2.2,4.2,1.3,3.2,1.1,2.2,1.0,3.0,4.0,1.4,0.8,0.5,1.9,2.1,9.5,0.471,0.517,0.412,0.522,0.559,0.561,G,FR
Grant Riller,678,CHA,2,56,2020,College of Charleston,2019-20,College of Charleston,31,31,33.5,7.3,14.7,5.8,10.5,1.5,4.2,5.7,6.9,0.5,4.6,5.1,3.9,1.6,0.3,3.1,2.3,21.9,0.499,0.554,0.362,0.827,0.609,0.551,G,SR
Jalen Harris,650,TOR,2,59,2020,Nevada,2019-20,Nevada,30,30,33.0,7.5,16.7,5.2,10.6,2.2,6.2,4.5,5.5,0.8,5.7,6.5,3.9,1.1,0.1,2.4,2.3,21.7,0.446,0.495,0.362,0.823,0.56,0.513,G,JR
Payton Pritchard,635,BOS,1,26,2020,Oregon,2019-20,Oregon,31,31,36.6,7.0,14.9,4.1,8.1,2.8,6.8,3.7,4.5,0.7,3.6,4.3,5.5,1.5,0.0,2.7,2.0,20.5,0.468,0.512,0.415,0.821,0.601,0.563,G,SR
Sam Merrill,629,NOH,2,60,2020,Utah State,2019-20,Utah State,32,32,35.0,6.1,13.2,3.3,6.4,2.8,6.8,4.7,5.3,0.2,3.9,4.1,3.9,0.9,0.1,1.6,2.3,19.7,0.461,0.515,0.41,0.893,0.625,0.566,G,SR
Daniel Oturu,623,MIN,2,33,2020,Minnesota,2019-20,Minnesota,31,31,33.9,7.7,13.6,7.1,12.0,0.6,1.7,4.1,5.8,3.7,7.5,11.3,1.1,0.5,2.5,2.8,2.7,20.1,0.563,0.59,0.365,0.707,0.612,0.585,C,SO
Obi Toppin,621,NYK,1,8,2020,Dayton,2019-20,Dayton,31,31,31.6,7.9,12.5,6.9,9.8,1.0,2.6,3.2,4.5,1.2,6.4,7.5,2.2,1.0,1.2,2.2,1.6,20.0,0.633,0.698,0.39,0.702,0.684,0.674,F,SO
Anthony Edwards,610,MIN,1,1,2020,Georgia,2019-20,Georgia,32,32,33.0,6.3,15.8,4.1,8.1,2.3,7.7,4.1,5.3,0.8,4.5,5.2,2.8,1.3,0.6,2.7,2.2,19.1,0.402,0.504,0.294,0.772,0.52,0.473,G,FR
Elijah Hughes,609,NOH,2,39,2020,Syracuse,2019-20,Syracuse,32,32,36.7,6.2,14.5,3.8,7.4,2.4,7.1,4.2,5.2,0.4,4.5,4.9,3.4,1.2,0.8,2.3,1.8,19.0,0.427,0.508,0.342,0.813,0.561,0.511,F,JR
Saben Lee,594,UTA,2,38,2020,Vanderbilt,2019-20,Vanderbilt,32,17,32.9,6.3,12.9,5.0,9.2,1.2,3.8,4.8,6.4,0.6,3.0,3.5,4.2,1.5,0.3,3.1,1.8,18.6,0.483,0.549,0.322,0.752,0.58,0.53,G,JR
CJ Elleby,589,POR,2,46,2020,Washington State,2019-20,Washington State,32,32,33.4,6.2,15.6,3.8,8.8,2.3,6.8,3.8,4.6,1.2,6.6,7.8,1.9,1.8,0.8,2.2,2.9,18.4,0.396,0.439,0.339,0.823,0.519,0.47,F,SO
Kira Lewis Jr.,573,NOH,1,13,2020,Alabama,2019-20,Alabama,31,31,37.6,6.6,14.5,4.8,9.5,1.8,4.9,3.4,4.2,0.8,3.9,4.8,5.2,1.8,0.6,3.5,2.6,18.5,0.459,0.507,0.366,0.802,0.56,0.521,G,SO
Malachi Flynn,564,TOR,1,29,2020,San Diego State,2019-20,San Diego State,32,32,33.4,5.8,13.0,3.4,6.7,2.4,6.4,3.8,4.4,0.6,3.8,4.5,5.1,1.8,0.1,1.8,1.8,17.6,0.441,0.507,0.373,0.857,0.583,0.532,G,JR
Cassius Winston,558,OKC,2,53,2020,Michigan State,2019-20,Michigan State,30,30,32.7,6.2,13.8,3.7,8.1,2.4,5.6,3.8,4.5,0.2,2.3,2.5,5.9,1.2,0.0,3.2,2.0,18.6,0.448,0.459,0.432,0.852,0.585,0.536,G,SR
Jordan Nwora,558,MIL,2,45,2020,Louisville,2019-20,Louisville,31,30,33.1,6.1,13.9,3.6,7.8,2.5,6.1,3.4,4.1,1.7,6.0,7.7,1.3,0.7,0.3,2.1,2.2,18.0,0.44,0.469,0.402,0.813,0.568,0.528,F,JR
Vernon Carey Jr.,552,CHA,2,32,2020,Duke,2019-20,Duke,31,30,24.9,6.4,11.1,6.2,10.5,0.3,0.7,4.7,7.0,2.7,6.1,8.8,1.0,0.7,1.6,2.0,2.7,17.8,0.577,0.59,0.381,0.67,0.615,0.588,C,FR
Isaiah Stewart,543,POR,1,16,2020,Washington,2019-20,Washington,32,32,32.2,6.0,10.5,5.8,9.9,0.2,0.6,4.8,6.2,2.8,6.0,8.8,0.8,0.5,2.1,2.2,2.6,17.0,0.57,0.59,0.25,0.774,0.629,0.577,F,FR
Reggie Perry,538,LAC,2,57,2020,Mississippi State,2019-20,Mississippi State,31,31,31.1,5.9,11.8,5.2,9.5,0.7,2.3,4.8,6.3,3.1,6.9,10.1,2.3,0.8,1.2,2.9,3.1,17.4,0.5,0.542,0.324,0.768,0.587,0.531,F,SO
Desmond Bane,531,BOS,1,30,2020,TCU,2019-20,TCU,32,32,36.0,6.2,13.6,3.3,7.1,2.9,6.5,1.4,1.8,1.4,4.9,6.3,3.9,1.5,0.5,2.3,2.2,16.6,0.452,0.461,0.442,0.789,0.573,0.557,G,SR
Skylar Mays,517,ATL,2,50,2020,Louisiana State,2019-20,Louisiana State,31,31,34.4,5.5,11.1,3.8,7.0,1.6,4.1,4.2,4.9,0.5,4.5,5.0,3.2,1.8,0.2,2.3,1.7,16.7,0.491,0.548,0.394,0.854,0.622,0.564,G,SR
Zeke Nnaji,515,DEN,1,22,2020,Arizona,2019-20,Arizona,32,32,30.7,5.6,9.8,5.4,9.3,0.2,0.5,4.8,6.3,3.1,5.5,8.6,0.8,0.7,0.9,2.2,2.4,16.1,0.57,0.586,0.294,0.76,0.63,0.578,F,FR
Justinian Jessup,512,GSW,2,51,2020,Boise State,2019-20,Boise State,32,32,36.0,5.4,12.6,2.3,4.9,3.1,7.7,2.2,2.3,1.0,3.5,4.4,2.1,1.4,0.5,1.3,2.2,16.0,0.426,0.471,0.397,0.959,0.584,0.547,G,SR
Saddiq Bey,499,NJN,1,19,2020,Villanova,2019-20,Villanova,31,31,33.9,5.6,11.8,3.1,6.2,2.5,5.6,2.3,2.9,1.3,3.5,4.7,2.4,0.8,0.4,1.5,2.5,16.1,0.477,0.5,0.451,0.769,0.608,0.584,F,SO
Precious Achiuwa,489,MIA,1,20,2020,Memphis,2019-20,Memphis,31,31,30.4,5.9,11.9,5.5,10.6,0.4,1.3,3.6,6.0,3.0,7.8,10.8,1.0,1.1,1.9,2.8,2.4,15.8,0.493,0.514,0.325,0.599,0.534,0.511,F,FR
Immanuel Quickley,482,OKC,1,25,2020,Kentucky,2019-20,Kentucky,30,20,33.0,4.6,11.0,2.5,6.2,2.1,4.8,4.8,5.2,0.5,3.7,4.2,1.9,0.9,0.1,1.6,2.3,16.1,0.417,0.409,0.428,0.923,0.595,0.511,G,SO
Jalen Smith,479,PHO,1,10,2020,Maryland,2019-20,Maryland,31,31,31.3,5.4,10.1,4.4,7.3,1.0,2.8,3.6,4.8,3.2,7.3,10.5,0.8,0.7,2.4,1.7,2.4,15.5,0.538,0.604,0.368,0.75,0.626,0.59,F,SO
Tre Jones,471,SAS,2,41,2020,Duke,2019-20,Duke,29,29,35.4,5.6,13.2,4.2,9.5,1.3,3.7,3.7,4.8,0.7,3.6,4.2,6.4,1.8,0.3,2.7,1.8,16.2,0.423,0.447,0.361,0.771,0.524,0.474,G,SO
Onyeka Okongwu,454,ATL,1,6,2020,Southern California,2019-20,Southern California,28,28,30.6,6.3,10.1,6.2,10.0,0.0,0.1,3.7,5.1,3.3,5.4,8.6,1.1,1.2,2.7,2.0,2.7,16.2,0.616,0.621,0.25,0.72,0.645,0.618,F,FR
Tyrell Terry,454,DAL,2,31,2020,Stanford,2019-20,Stanford,31,31,32.6,4.7,10.7,2.7,5.8,2.0,4.9,3.2,3.5,0.4,4.1,4.5,3.2,1.4,0.1,2.6,2.1,14.6,0.441,0.47,0.408,0.891,0.589,0.535,G,FR
Nico Mannion,447,GSW,2,48,2020,Arizona,2019-20,Arizona,32,32,32.3,4.5,11.5,2.8,6.4,1.7,5.1,3.3,4.2,0.3,2.3,2.5,5.3,1.2,0.0,2.6,1.7,14.0,0.392,0.444,0.327,0.797,0.52,0.465,G,FR
Isaiah Joe,439,PHI,2,49,2020,Arkansas,2019-20,Arkansas,26,25,36.1,5.1,13.8,1.5,3.3,3.6,10.6,3.1,3.5,0.5,3.6,4.1,1.7,1.4,0.3,1.7,1.8,16.9,0.367,0.447,0.342,0.89,0.544,0.497,G,SO
Paul Reed,439,PHI,2,58,2020,DePaul,2019-20,DePaul,29,29,31.7,6.3,12.2,5.7,10.4,0.6,1.8,2.0,2.8,3.3,7.4,10.7,1.6,1.9,2.6,2.3,3.0,15.1,0.516,0.551,0.308,0.738,0.561,0.538,F,JR
Nick Richards,435,NOH,2,42,2020,Kentucky,2019-20,Kentucky,31,30,29.6,5.3,8.2,5.3,8.2,0.0,0.0,3.5,4.7,2.6,5.2,7.8,0.2,0.1,2.1,1.6,3.2,14.0,0.642,0.642,,0.752,0.674,0.642,F,JR
Tyrese Maxey,433,PHI,1,21,2020,Kentucky,2019-20,Kentucky,31,28,34.5,4.8,11.3,3.8,7.7,1.1,3.6,3.2,3.9,0.4,3.9,4.3,3.2,0.9,0.4,2.2,2.4,14.0,0.427,0.492,0.292,0.833,0.531,0.474,G,FR
Tyler Bey,429,PHI,2,36,2020,Colorado,2019-20,Colorado,31,30,29.0,4.5,8.5,4.1,7.5,0.4,1.0,4.4,5.9,2.0,7.0,9.0,1.5,1.5,1.2,2.4,1.9,13.8,0.53,0.545,0.419,0.743,0.611,0.555,G,JR
Udoka Azubuike,426,UTA,1,27,2020,Kansas,2019-20,Kansas,31,30,27.7,5.8,7.8,5.8,7.8,0.0,0.0,2.1,4.7,3.5,7.0,10.5,0.9,0.5,2.6,2.5,2.4,13.7,0.748,0.748,,0.441,0.685,0.748,C,SR
