Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS.1,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class
Tyler Dorsey,571,ATL,2,41,2017,Oregon,2016-17,Oregon,39,39,30.0,4.8,10.4,2.6,5.1,2.3,5.3,2.7,3.6,0.8,2.6,3.5,1.7,0.8,0.1,1.5,1.5,14.6,0.467,0.513,0.423,0.755,0.606,0.575,G,SO
TJ Leaf,569,IND,1,18,2017,UCLA,2016-17,UCLA,35,35,29.9,6.7,10.9,5.9,9.2,0.8,1.7,2.1,3.0,2.2,6.0,8.2,2.4,0.6,1.1,1.5,2.5,16.3,0.617,0.644,0.466,0.679,0.66,0.652,F,FR
Dillon Brooks,564,HOU,2,45,2017,Oregon,2016-17,Oregon,35,27,25.3,5.9,12.1,4.3,8.0,1.6,4.1,2.7,3.6,1.0,2.2,3.2,2.7,1.1,0.5,2.1,2.8,16.1,0.488,0.532,0.401,0.754,0.585,0.556,F,JR
Damyean Dotson,556,NYK,2,44,2017,Oregon,2016-17,Houston,32,32,34.3,6.3,13.4,2.9,5.8,3.4,7.6,1.4,1.7,1.5,5.4,6.9,1.1,0.9,0.2,1.0,1.7,17.4,0.47,0.505,0.443,0.83,0.611,0.595,G,SR
Donovan Mitchell,529,DEN,1,13,2017,Louisville,2016-17,Louisville,34,33,32.3,5.3,13.1,3.0,6.4,2.4,6.6,2.6,3.2,1.1,3.8,4.9,2.7,2.1,0.5,1.6,2.6,15.6,0.408,0.463,0.354,0.806,0.534,0.498,G,SO
Lonzo Ball,524,LAL,1,2,2017,UCLA,2016-17,UCLA,36,36,35.1,5.3,9.5,3.0,4.1,2.2,5.4,1.8,2.7,0.9,5.1,6.0,7.6,1.8,0.8,2.5,1.8,14.6,0.551,0.732,0.412,0.673,0.673,0.668,G,FR
Bam Adebayo,494,MIA,1,14,2017,Kentucky,2016-17,Kentucky,38,38,30.1,4.5,7.5,4.5,7.5,0.0,0.0,4.1,6.2,3.1,4.9,8.0,0.8,0.7,1.5,1.7,2.6,13.0,0.599,0.599,,0.653,0.624,0.599,F,FR
Davon Reed,491,PHO,2,32,2017,Miami (FL),2016-17,Miami (FL),33,33,35.3,4.9,11.3,2.5,5.2,2.4,6.0,2.7,3.3,0.8,3.9,4.8,2.4,1.3,0.5,2.0,1.6,14.9,0.433,0.474,0.397,0.833,0.58,0.539,G,SR
Jayson Tatum,488,BOS,1,3,2017,Duke,2016-17,Duke,29,27,33.3,5.7,12.6,4.3,8.6,1.4,4.0,4.1,4.8,1.3,6.0,7.3,2.1,1.3,1.1,2.6,3.0,16.8,0.452,0.504,0.342,0.849,0.566,0.507,F,FR
Kyle Kuzma,476,NJN,1,27,2017,Utah,2016-17,Utah,29,29,30.8,6.3,12.4,5.3,9.6,0.9,2.9,2.9,4.4,2.8,6.6,9.3,2.4,0.6,0.5,2.1,1.6,16.4,0.504,0.56,0.321,0.669,0.565,0.542,F,JR
Sterling Brown,470,PHI,2,46,2017,SMU,2016-17,SMU,35,34,32.7,4.6,10.0,2.9,6.1,1.7,3.9,2.5,3.1,1.6,4.9,6.5,3.0,1.4,0.5,2.0,2.6,13.4,0.459,0.465,0.449,0.791,0.583,0.546,G,SR
Wesley Iwundu,456,ORL,2,33,2017,Kansas State,2016-17,Kansas State,35,35,31.4,4.3,9.0,3.4,6.5,0.9,2.4,3.5,4.5,1.0,5.3,6.3,3.5,1.0,0.3,2.3,1.8,13.0,0.481,0.52,0.376,0.767,0.585,0.532,F,SR
Justin Patton,453,CHI,1,16,2017,Creighton,2016-17,Creighton,35,34,25.3,5.7,8.5,5.5,8.0,0.2,0.4,1.3,2.5,1.7,4.5,6.2,1.2,0.9,1.4,1.7,2.7,12.9,0.676,0.683,0.533,0.517,0.671,0.689,C,FR
Tyler Lydon,448,UTA,1,24,2017,Syracuse,2016-17,Syracuse,34,34,36.1,4.4,9.4,3.0,5.7,1.4,3.6,2.9,3.4,2.3,6.3,8.6,2.1,1.0,1.4,1.7,2.5,13.2,0.473,0.523,0.395,0.836,0.599,0.55,F,SO
Jarrett Allen,442,NJN,1,22,2017,Texas,2016-17,Texas,33,33,32.2,5.4,9.6,5.4,9.4,0.0,0.2,2.5,4.5,3.0,5.4,8.4,0.8,0.6,1.5,2.5,2.1,13.4,0.566,0.579,0.0,0.564,0.571,0.566,F,FR
Ivan Rabb,434,ORL,2,35,2017,California,2016-17,California,31,30,32.6,4.9,10.1,4.6,9.4,0.3,0.6,4.0,6.0,3.0,7.4,10.5,1.5,0.7,1.0,2.2,3.1,14.0,0.484,0.49,0.4,0.663,0.541,0.497,F,SO
Jordan Bell,427,CHI,2,38,2017,Oregon,2016-17,Oregon,39,38,28.8,4.4,6.9,4.3,6.5,0.1,0.4,2.1,3.0,2.9,5.9,8.8,1.8,1.3,2.3,1.9,1.7,10.9,0.636,0.659,0.214,0.701,0.658,0.641,F,JR
Thomas Bryant,427,UTA,2,42,2017,Indiana,2016-17,Indiana,34,34,28.1,4.4,8.4,3.7,6.6,0.7,1.8,3.2,4.4,2.2,4.4,6.6,1.5,0.8,1.5,2.3,3.1,12.6,0.519,0.556,0.383,0.73,0.601,0.56,C,SO
D.J. Wilson,419,MIL,1,17,2017,Michigan,2016-17,Michigan,38,36,30.4,4.3,8.0,3.2,5.1,1.1,2.9,1.3,1.6,1.5,3.8,5.3,1.3,0.5,1.5,1.1,1.9,11.0,0.538,0.631,0.373,0.833,0.628,0.605,F,JR
Frank Jackson,394,CHA,2,31,2017,Duke,2016-17,Duke,36,16,24.9,3.7,7.8,2.3,4.2,1.4,3.6,2.1,2.8,0.6,1.9,2.5,1.7,0.6,0.1,1.4,2.4,10.9,0.473,0.539,0.395,0.755,0.598,0.564,G,FR
Zach Collins,390,SAC,1,10,2017,Gonzaga,2016-17,Gonzaga,39,0,17.3,3.5,5.3,3.2,4.8,0.3,0.5,2.8,3.8,1.7,4.2,5.9,0.4,0.5,1.8,1.5,2.7,10.0,0.652,0.672,0.476,0.743,0.703,0.676,F,FR
Jabari Bird,387,BOS,2,56,2017,California,2016-17,California,27,25,32.0,5.2,11.8,2.8,5.2,2.4,6.6,1.6,2.0,1.0,3.7,4.7,1.0,0.7,0.2,1.9,1.9,14.3,0.44,0.536,0.365,0.764,0.562,0.542,G,SR
Jonathan Isaac,383,ORL,1,6,2017,Florida State,2016-17,Florida State,32,32,26.2,4.1,8.0,3.1,5.2,1.0,2.8,2.9,3.7,1.8,6.1,7.8,1.2,1.2,1.5,1.5,2.2,12.0,0.508,0.593,0.348,0.78,0.614,0.568,F,FR
Kadeem Allen,332,BOS,2,53,2017,Arizona,2016-17,Arizona,34,33,30.0,3.1,6.9,2.2,4.7,0.9,2.2,2.5,3.4,0.4,3.7,4.0,3.0,1.6,0.6,1.9,2.4,9.8,0.453,0.466,0.427,0.741,0.57,0.521,G,SR
Edmond Sumner,314,NOH,2,52,2017,Xavier,2016-17,Xavier,21,20,33.1,4.8,10.0,4.2,8.0,0.6,2.1,4.8,6.5,0.5,3.8,4.3,5.0,1.3,0.8,2.8,2.4,15.0,0.479,0.533,0.273,0.735,0.57,0.507,G,SO
