Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
Monte Morris,575,DEN,2,51,2017,Iowa State,2016-17,Iowa State,35,35,35.3,6.2,13.3,4.6,9.2,1.5,4.1,2.5,3.2,1.1,3.7,4.8,6.2,1.5,0.3,1.2,1.5,16.4,.465,.503,.378,.802,.555,.523,G,SR,monte-morris-1
Josh Jackson,572,PHO,1,4,2017,Kansas,2016-17,Kansas,35,35,30.8,6.3,12.3,5.3,9.7,1.0,2.6,2.8,4.9,2.3,5.1,7.4,3.0,1.7,1.1,2.8,3.0,16.3,.513,.549,.378,.566,.559,.552,G,FR,josh-jackson-2
Tyler Dorsey,571,ATL,2,41,2017,Oregon,2016-17,Oregon,39,39,30.0,4.8,10.4,2.6,5.1,2.3,5.3,2.7,3.6,0.8,2.6,3.5,1.7,0.8,0.1,1.5,1.5,14.6,.467,.513,.423,.755,.606,.575,G,SO,tyler-dorsey-1
TJ Leaf,569,IND,1,18,2017,UCLA,2016-17,UCLA,35,35,29.9,6.7,10.9,5.9,9.2,0.8,1.7,2.1,3.0,2.2,6.0,8.2,2.4,0.6,1.1,1.5,2.5,16.3,.617,.644,.466,.679,.660,.652,F,FR,tj-leaf-1
Dillon Brooks,564,HOU,2,45,2017,Oregon,2016-17,Oregon,35,27,25.3,5.9,12.1,4.3,8.0,1.6,4.1,2.7,3.6,1.0,2.2,3.2,2.7,1.1,0.5,2.1,2.8,16.1,.488,.532,.401,.754,.585,.556,F,JR,dillon-brooks-1
Damyean Dotson,556,NYK,2,44,2017,Oregon,2016-17,Houston,32,32,34.3,6.3,13.4,2.9,5.8,3.4,7.6,1.4,1.7,1.5,5.4,6.9,1.1,0.9,0.2,1.0,1.7,17.4,.470,.505,.443,.830,.611,.595,G,SR,damyean-dotson-1
Donovan Mitchell,529,DEN,1,13,2017,Louisville,2016-17,Louisville,34,33,32.3,5.3,13.1,3.0,6.4,2.4,6.6,2.6,3.2,1.1,3.8,4.9,2.7,2.1,0.5,1.6,2.6,15.6,.408,.463,.354,.806,.534,.498,G,SO,donovan-mitchell-1
Lonzo Ball,524,LAL,1,2,2017,UCLA,2016-17,UCLA,36,36,35.1,5.3,9.5,3.0,4.1,2.2,5.4,1.8,2.7,0.9,5.1,6.0,7.6,1.8,0.8,2.5,1.8,14.6,.551,.732,.412,.673,.673,.668,G,FR,lonzo-ball-1
Bam Adebayo,494,MIA,1,14,2017,Kentucky,2016-17,Kentucky,38,38,30.1,4.5,7.5,4.5,7.5,0.0,0.0,4.1,6.2,3.1,4.9,8.0,0.8,0.7,1.5,1.7,2.6,13.0,.599,.599,,.653,.624,.599,F,FR,edrice-adebayo-1
Davon Reed,491,PHO,2,32,2017,Miami (FL),2016-17,Miami (FL),33,33,35.3,4.9,11.3,2.5,5.2,2.4,6.0,2.7,3.3,0.8,3.9,4.8,2.4,1.3,0.5,2.0,1.6,14.9,.433,.474,.397,.833,.580,.539,G,SR,davon-reed-1
Jayson Tatum,488,BOS,1,3,2017,Duke,2016-17,Duke,29,27,33.3,5.7,12.6,4.3,8.6,1.4,4.0,4.1,4.8,1.3,6.0,7.3,2.1,1.3,1.1,2.6,3.0,16.8,.452,.504,.342,.849,.566,.507,F,FR,jayson-tatum-1
Kyle Kuzma,476,NJN,1,27,2017,Utah,2016-17,Utah,29,29,30.8,6.3,12.4,5.3,9.6,0.9,2.9,2.9,4.4,2.8,6.6,9.3,2.4,0.6,0.5,2.1,1.6,16.4,.504,.560,.321,.669,.565,.542,F,JR,kyle-kuzma-1
Sterling Brown,470,PHI,2,46,2017,SMU,2016-17,SMU,35,34,32.7,4.6,10.0,2.9,6.1,1.7,3.9,2.5,3.1,1.6,4.9,6.5,3.0,1.4,0.5,2.0,2.6,13.4,.459,.465,.449,.791,.583,.546,G,SR,sterling-brown-2
Wesley Iwundu,456,ORL,2,33,2017,Kansas State,2016-17,Kansas State,35,35,31.4,4.3,9.0,3.4,6.5,0.9,2.4,3.5,4.5,1.0,5.3,6.3,3.5,1.0,0.3,2.3,1.8,13.0,.481,.520,.376,.767,.585,.532,F,SR,wesley-iwundu-1
Justin Patton,453,CHI,1,16,2017,Creighton,2016-17,Creighton,35,34,25.3,5.7,8.5,5.5,8.0,0.2,0.4,1.3,2.5,1.7,4.5,6.2,1.2,0.9,1.4,1.7,2.7,12.9,.676,.683,.533,.517,.671,.689,C,FR,justin-patton-1
Tyler Lydon,448,UTA,1,24,2017,Syracuse,2016-17,Syracuse,34,34,36.1,4.4,9.4,3.0,5.7,1.4,3.6,2.9,3.4,2.3,6.3,8.6,2.1,1.0,1.4,1.7,2.5,13.2,.473,.523,.395,.836,.599,.550,F,SO,tyler-lydon-1
Jarrett Allen,442,NJN,1,22,2017,Texas,2016-17,Texas,33,33,32.2,5.4,9.6,5.4,9.4,0.0,0.2,2.5,4.5,3.0,5.4,8.4,0.8,0.6,1.5,2.5,2.1,13.4,.566,.579,.000,.564,.571,.566,F,FR,jarrett-allen-1
Ivan Rabb,434,ORL,2,35,2017,California,2016-17,California,31,30,32.6,4.9,10.1,4.6,9.4,0.3,0.6,4.0,6.0,3.0,7.4,10.5,1.5,0.7,1.0,2.2,3.1,14.0,.484,.490,.400,.663,.541,.497,F,SO,ivan-rabb-1
Jordan Bell,427,CHI,2,38,2017,Oregon,2016-17,Oregon,39,38,28.8,4.4,6.9,4.3,6.5,0.1,0.4,2.1,3.0,2.9,5.9,8.8,1.8,1.3,2.3,1.9,1.7,10.9,.636,.659,.214,.701,.658,.641,F,JR,jordan-bell-1
Thomas Bryant,427,UTA,2,42,2017,Indiana,2016-17,Indiana,34,34,28.1,4.4,8.4,3.7,6.6,0.7,1.8,3.2,4.4,2.2,4.4,6.6,1.5,0.8,1.5,2.3,3.1,12.6,.519,.556,.383,.730,.601,.560,C,SO,thomas-bryant-1
D.J. Wilson,419,MIL,1,17,2017,Michigan,2016-17,Michigan,38,36,30.4,4.3,8.0,3.2,5.1,1.1,2.9,1.3,1.6,1.5,3.8,5.3,1.3,0.5,1.5,1.1,1.9,11.0,.538,.631,.373,.833,.628,.605,F,JR,dj-wilson-1
Frank Jackson,394,CHA,2,31,2017,Duke,2016-17,Duke,36,16,24.9,3.7,7.8,2.3,4.2,1.4,3.6,2.1,2.8,0.6,1.9,2.5,1.7,0.6,0.1,1.4,2.4,10.9,.473,.539,.395,.755,.598,.564,G,FR,frank-jackson-2
Zach Collins,390,SAC,1,10,2017,Gonzaga,2016-17,Gonzaga,39,0,17.3,3.5,5.3,3.2,4.8,0.3,0.5,2.8,3.8,1.7,4.2,5.9,0.4,0.5,1.8,1.5,2.7,10.0,.652,.672,.476,.743,.703,.676,F,FR,zach-collins-1
Jabari Bird,387,BOS,2,56,2017,California,2016-17,California,27,25,32.0,5.2,11.8,2.8,5.2,2.4,6.6,1.6,2.0,1.0,3.7,4.7,1.0,0.7,0.2,1.9,1.9,14.3,.440,.536,.365,.764,.562,.542,G,SR,jabari-bird-1
Jonathan Isaac,383,ORL,1,6,2017,Florida State,2016-17,Florida State,32,32,26.2,4.1,8.0,3.1,5.2,1.0,2.8,2.9,3.7,1.8,6.1,7.8,1.2,1.2,1.5,1.5,2.2,12.0,.508,.593,.348,.780,.614,.568,F,FR,jonathan-isaac-1
Kadeem Allen,332,BOS,2,53,2017,Arizona,2016-17,Arizona,34,33,30.0,3.1,6.9,2.2,4.7,0.9,2.2,2.5,3.4,0.4,3.7,4.0,3.0,1.6,0.6,1.9,2.4,9.8,.453,.466,.427,.741,.570,.521,G,SR,kadeem-allen-1
Edmond Sumner,314,NOH,2,52,2017,Xavier,2016-17,Xavier,21,20,33.1,4.8,10.0,4.2,8.0,0.6,2.1,4.8,6.5,0.5,3.8,4.3,5.0,1.3,0.8,2.8,2.4,15.0,.479,.533,.273,.735,.570,.507,G,SO,edmond-sumner-1
Tony Bradley,269,LAL,1,28,2017,North Carolina,2016-17,North Carolina,38,0,14.6,2.7,4.7,2.7,4.7,0.0,0.0,1.7,2.8,2.6,2.6,5.1,0.6,0.3,0.6,0.7,1.8,7.1,.573,.573,,.619,.590,.573,F,FR,tony-bradley-1
OG Anunoby,177,TOR,1,23,2017,Indiana,2016-17,Indiana,16,10,25.1,4.3,7.6,3.4,4.8,0.9,2.8,1.7,3.0,1.8,3.7,5.4,1.4,1.3,1.3,1.6,2.1,11.1,.557,.701,.311,.563,.611,.615,F,SO,og-anunoby-1
Ike Anigbogu,137,IND,2,47,2017,UCLA,2016-17,UCLA,29,0,13.0,2.0,3.5,2.0,3.5,0.0,0.0,0.8,1.5,1.4,2.6,4.0,0.2,0.2,1.2,0.8,2.5,4.7,.564,.564,,.535,.564,.564,F,FR,ike-anigbogu-1
Harry Giles,102,POR,1,20,2017,Duke,2016-17,Duke,26,6,11.5,1.7,3.0,1.7,3.0,0.0,0.0,0.5,0.9,1.6,2.3,3.8,0.3,0.3,0.7,0.7,2.2,3.9,.577,.577,,.500,.570,.577,F,FR,harry-giles-1
