Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
Malik Monk,754,CHA,1,11,2017,Kentucky,2016-17,Kentucky,38,37,32.1,6.6,14.7,3.9,7.8,2.7,6.9,3.9,4.7,0.3,2.2,2.5,2.3,0.9,0.5,2.0,1.9,19.8,.450,.497,.397,.822,.586,.543,G,FR,malik-monk-1
Frank Mason,753,SAC,2,34,2017,Kansas,2016-17,Kansas,36,36,36.1,6.7,13.7,4.4,8.8,2.3,4.8,5.3,6.6,0.6,3.6,4.2,5.2,1.3,0.1,2.4,2.0,20.9,.490,.500,.471,.794,.622,.573,G,SR,frank-mason-1
Justin Jackson,731,POR,1,15,2017,North Carolina,2016-17,North Carolina,40,39,32.0,6.6,14.9,4.0,7.8,2.6,7.1,2.5,3.3,1.5,3.2,4.7,2.8,0.8,0.2,1.7,1.4,18.3,.443,.510,.370,.748,.555,.531,F,JR,justin-jackson-4
Luke Kennard,722,DET,1,12,2017,Duke,2016-17,Duke,37,36,35.5,6.4,13.1,4.0,7.7,2.4,5.4,4.3,5.1,1.2,3.9,5.1,2.5,0.8,0.4,1.6,2.2,19.5,.489,.525,.438,.856,.629,.579,G,SO,luke-kennard-1
Josh Hart,673,UTA,1,30,2017,Villanova,2016-17,Villanova,36,35,33.1,6.6,12.9,4.5,7.8,2.1,5.1,3.5,4.7,1.4,5.0,6.4,2.9,1.6,0.3,2.0,2.3,18.7,.510,.579,.404,.747,.619,.590,G,SR,josh-hart-1
Alec Peters,666,PHO,2,54,2017,Valparaiso,2016-17,Valparaiso,29,29,35.1,7.5,16.1,5.5,10.6,2.0,5.5,5.9,6.7,2.6,7.6,10.1,2.2,0.8,0.4,2.4,2.2,23.0,.466,.519,.363,.887,.594,.528,F,SR,alec-peters-1
Semi Ojeleye,665,BOS,2,37,2017,SMU,2016-17,SMU,35,35,34.1,6.0,12.3,3.9,7.4,2.1,4.9,4.9,6.3,2.3,4.6,6.9,1.5,0.4,0.4,1.4,1.8,19.0,.487,.529,.424,.785,.621,.572,F,JR,semi-ojeleye-1
Sindarius Thornwell,663,MIL,2,48,2017,South Carolina,2016-17,South Carolina,31,31,33.9,6.3,14.2,4.4,9.4,1.9,4.8,6.9,8.4,2.5,4.6,7.1,2.8,2.1,1.0,2.5,2.3,21.4,.444,.471,.392,.830,.590,.510,G,SR,sindarius-thornwell-1
Caleb Swanigan,646,POR,1,26,2017,Purdue,2016-17,Purdue,35,35,32.5,6.3,12.0,5.3,9.6,1.1,2.4,4.7,6.0,2.7,9.7,12.5,3.1,0.4,0.8,3.4,2.8,18.5,.527,.548,.447,.781,.620,.572,F,SO,caleb-swanigan-1
Nigel Williams-Goss,640,UTA,2,55,2017,Gonzaga,2016-17,Gonzaga,38,38,32.8,5.8,11.9,4.7,8.8,1.1,3.1,4.1,4.8,0.6,5.4,6.0,4.7,1.7,0.1,2.1,1.6,16.8,.486,.527,.368,.867,.594,.533,G,JR,nigel-williams-goss-1
John Collins,632,ATL,1,19,2017,Wake Forest,2016-17,Wake Forest,33,33,26.6,7.1,11.4,7.1,11.4,0.0,0.0,5.0,6.7,3.8,6.1,9.8,0.5,0.6,1.6,1.8,3.0,19.2,.622,.624,.000,.745,.658,.622,F,SO,john-collins-1
Derrick White,615,SAS,1,29,2017,Colorado,2016-17,Colorado,34,32,32.8,6.0,11.9,4.4,7.6,1.7,4.2,4.4,5.4,1.0,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,.507,.569,.396,.813,.627,.578,G,SR,derrick-white-1
Jawun Evans,613,PHI,2,39,2017,Oklahoma State,2016-17,Oklahoma State,32,32,29.3,6.6,15.1,5.5,12.1,1.1,3.0,4.8,6.0,0.8,2.7,3.4,6.4,1.8,0.1,2.8,2.3,19.2,.438,.452,.379,.812,.535,.475,G,SO,jawun-evans-1
Dwayne Bacon,603,NOH,2,40,2017,Florida State,2016-17,Florida State,35,35,28.8,6.3,14.0,4.7,9.1,1.6,4.9,3.0,3.9,1.0,3.2,4.2,1.7,1.0,0.1,2.0,1.6,17.2,.452,.516,.333,.754,.544,.510,G,SO,dwayne-bacon-1
De'Aaron Fox,601,SAC,1,5,2017,Kentucky,2016-17,Kentucky,36,34,29.6,5.9,12.4,5.5,10.5,0.5,1.9,4.3,5.9,0.6,3.4,4.0,4.6,1.5,0.2,2.4,2.5,16.7,.479,.521,.246,.736,.549,.498,G,FR,deaaron-fox-1
Jaron Blossomgame,584,SAS,2,59,2017,Clemson,2016-17,Clemson,33,33,34.3,6.7,13.4,5.9,10.5,0.7,2.8,3.6,5.1,1.8,4.5,6.3,1.5,0.8,0.9,1.7,1.6,17.7,.499,.565,.255,.714,.561,.526,F,SR,jaron-blossomgame-1
Dennis Smith Jr.,580,DAL,1,9,2017,NC State,2016-17,NC State,32,32,34.8,6.0,13.1,4.3,8.3,1.7,4.8,4.5,6.3,0.8,3.8,4.6,6.2,1.9,0.4,3.4,2.1,18.1,.455,.509,.359,.715,.563,.520,G,FR,dennis-smithjr-1
Markelle Fultz,579,PHI,1,1,2017,Washington,2016-17,Washington,25,25,35.7,8.4,17.6,6.3,12.5,2.1,5.0,4.4,6.7,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2,.476,.502,.413,.649,.558,.535,G,FR,markelle-fultz-1
Lauri Markkanen,576,MIN,1,7,2017,Arizona,2016-17,Arizona,37,37,30.8,5.0,10.2,3.1,5.8,1.9,4.4,3.7,4.4,2.4,4.8,7.2,0.9,0.4,0.5,1.1,2.0,15.6,.492,.545,.423,.835,.635,.584,F,FR,lauri-markkanen-1
