Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DET,Cade Cunningham,Oklahoma State,4,179,6023,3777,962,1278,.438,.340,.847,33.6,21.1,5.4,7.1,4.0,.032,0.2,3.4
2,2,HOU,Jalen Green,,4,269,8787,5391,1122,869,.423,.342,.807,32.7,20.0,4.2,3.2,8.9,.049,-1.3,1.6
3,3,CLE,Evan Mobley,USC,4,237,7754,3810,2092,669,.548,.309,.695,32.7,16.1,8.8,2.8,24.0,.149,1.9,7.6
4,4,TOR,Scottie Barnes,Florida State,4,243,8502,4148,1823,1199,.472,.305,.761,35.0,17.1,7.5,4.9,17.6,.099,1.6,7.8
5,5,ORL,Jalen Suggs,Gonzaga,4,211,5580,2598,702,698,.419,.329,.779,26.4,12.3,3.3,3.3,5.7,.049,-1.1,1.3
6,6,OKC,Josh Giddey,,4,252,7280,3401,1848,1478,.460,.313,.752,28.9,13.5,7.3,5.9,10.4,.068,0.6,4.8
7,7,GSW,Jonathan Kuminga,,4,243,5360,3042,979,422,.512,.342,.692,22.1,12.5,4.0,1.7,11.5,.103,-0.9,1.5
8,8,ORL,Franz Wagner,Michigan,4,258,8259,4765,1214,932,.477,.330,.855,32.0,18.5,4.7,3.6,18.9,.110,0.7,5.7
9,9,SAC,Davion Mitchell,Baylor,4,267,5612,1933,445,815,.432,.328,.696,21.0,7.2,1.7,3.1,3.3,.028,-3.6,-2.2
10,10,NOP,Ziaire Williams,Stanford,4,182,3669,1429,538,221,.421,.305,.804,20.2,7.9,3.0,1.2,3.4,.044,-3.8,-1.7
11,11,CHO,James Bouknight,UConn,3,79,900,383,133,73,.363,.335,.762,11.4,4.8,1.7,0.9,-0.3,-.017,-5.9,-0.9
12,12,SAS,Joshua Primo,Alabama,3,56,1068,318,127,99,.371,.300,.750,19.1,5.7,2.3,1.8,-0.3,-.011,-5.3,-0.9
13,13,IND,Chris Duarte,Oregon,4,176,3230,1348,467,230,.406,.349,.813,18.4,7.7,2.7,1.3,1.9,.028,-3.0,-0.8
14,14,GSW,Moses Moody,Arkansas,4,219,3253,1385,456,173,.455,.371,.753,14.9,6.3,2.1,0.8,6.2,.091,-1.4,0.5
15,15,WAS,Corey Kispert,Gonzaga,4,270,7003,2958,758,393,.475,.382,.799,25.9,11.0,2.8,1.5,8.6,.059,-2.3,-0.5
16,16,OKC,Alperen Şengün,,4,254,7084,3983,2118,1008,.520,.275,.705,27.9,15.7,8.3,4.0,19.5,.132,2.7,8.3
17,17,MEM,Trey Murphy III,Virginia,4,228,6052,2966,858,364,.452,.384,.873,26.5,13.0,3.8,1.6,17.3,.137,1.4,5.2
18,18,OKC,Tre Mann,Florida,4,181,3856,1707,513,415,.411,.350,.788,21.3,9.4,2.8,2.3,2.1,.026,-3.3,-1.2
19,19,NYK,Kai Jones,Texas,3,94,818,238,179,29,.598,.217,.674,8.7,2.5,1.9,0.3,1.4,.083,-3.1,-0.2
20,20,ATL,Jalen Johnson,Duke,4,184,4335,2023,1155,470,.504,.323,.712,23.6,11.0,6.3,2.6,8.5,.094,0.9,3.2
21,21,NYK,Keon Johnson,Tennessee,4,126,2155,890,273,215,.367,.323,.767,17.1,7.1,2.2,1.7,-1.3,-.028,-5.3,-1.8
22,22,LAL,Isaiah Jackson,Kentucky,4,163,2438,1170,697,116,.595,.206,.671,15.0,7.2,4.3,0.7,7.7,.151,-0.1,1.1
23,23,HOU,Usman Garuba,,3,105,1228,276,397,82,.467,.363,.625,11.7,2.6,3.8,0.8,2.3,.090,-1.4,0.2
24,24,HOU,Josh Christopher,Arizona State,3,145,2146,965,260,227,.454,.276,.734,14.8,6.7,1.8,1.6,0.2,.004,-3.9,-1.1
25,25,LAC,Quentin Grimes,Houston,4,211,4923,1876,594,352,.436,.376,.771,23.3,8.9,2.8,1.7,9.5,.093,-0.5,1.8
26,26,DEN,Bones Hyland,VCU,4,181,3150,1745,402,484,.397,.363,.847,17.4,9.6,2.2,2.7,4.2,.064,-0.9,0.9
27,27,BRK,Cam Thomas,LSU,4,209,4813,3125,538,412,.441,.349,.858,23.0,15.0,2.6,2.0,5.3,.053,-1.8,0.3
28,28,PHI,Jaden Springer,Tennessee,4,89,709,245,112,60,.414,.246,.797,8.0,2.8,1.3,0.7,1.2,.081,-2.2,0.0
29,29,PHO,Day'Ron Sharpe,UNC,4,165,2281,1023,897,173,.548,.267,.633,13.8,6.2,5.4,1.0,6.6,.138,-1.4,0.4
30,30,UTA,Santi Aldama,Loyola (MD),4,208,4604,1966,1073,357,.457,.341,.695,22.1,9.5,5.2,1.7,10.5,.109,0.4,2.7
31,31,MIL,Isaiah Todd,,2,18,135,29,24,8,.222,.192,.500,7.5,1.6,1.3,0.4,-0.3,-.124,-10.2,-0.3
32,32,NYK,Jeremiah Robinson-Earl,Villanova,4,170,2950,999,719,164,.436,.333,.794,17.4,5.9,4.2,1.0,5.1,.082,-2.1,0.0
33,33,ORL,Jason Preston,Ohio University,2,21,195,53,39,43,.400,.238,.000,9.3,2.5,1.9,2.0,0.1,.023,-2.6,0.0
