Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
34,34,OKC,Rokas Jokubaitis,,,,,,,,,,,,,,,,,,
35,35,NOP,Herbert Jones,Alabama,4,240,7255,2433,915,593,.477,.366,.824,30.2,10.1,3.8,2.5,15.7,.104,-0.4,3.0
36,36,OKC,Miles McBride,West Virginia,4,208,3300,1199,280,328,.407,.359,.778,15.9,5.8,1.3,1.6,6.4,.093,-1.2,0.7
37,37,DET,JT Thor,Auburn,4,173,2051,556,347,85,.424,.326,.663,11.9,3.2,2.0,0.5,1.2,.027,-4.3,-1.2
38,38,CHI,Ayo Dosunmu,Illinois,4,268,7480,2718,781,863,.502,.363,.774,27.9,10.1,2.9,3.2,12.1,.078,-1.7,0.5
39,39,SAC,Neemias Queta,Utah State University,4,85,1032,407,305,51,.629,.000,.685,12.1,4.8,3.6,0.6,4.1,.190,-0.5,0.4
40,40,NOP,Jared Butler,Baylor,4,119,1348,661,148,276,.464,.336,.793,11.3,5.6,1.2,2.3,1.8,.063,-1.1,0.3
41,41,SAS,Joe Wieskamp,Iowa,2,38,255,70,18,12,.329,.309,.538,6.7,1.8,0.5,0.3,0.1,.013,-5.3,-0.2
42,42,DET,Isaiah Livers,Michigan,3,94,2051,581,248,87,.407,.358,.789,21.8,6.2,2.6,0.9,1.6,.037,-3.2,-0.6
43,43,NOP,Greg Brown III,Texas,3,70,773,268,163,42,.424,.296,.616,11.0,3.8,2.3,0.6,0.2,.015,-5.1,-0.6
44,44,BRK,Kessler Edwards,Pepperdine,4,154,1733,488,288,73,.403,.343,.756,11.3,3.2,1.9,0.5,1.5,.042,-3.5,-0.7
45,45,BOS,Juhann Begarin,,,,,,,,,,,,,,,,,,
46,46,TOR,Dalano Banton,Nebraska,4,186,2603,1226,419,345,.408,.307,.721,14.0,6.6,2.3,1.9,1.7,.031,-1.3,0.5
47,47,TOR,David Johnson,Louisville,1,2,2,0,0,0,.000,.000,,1.0,0.0,0.0,0.0,0.0,-.495,-27.7,0.0
48,48,ATL,Sharife Cooper,Auburn,1,13,39,7,5,5,.214,.167,,3.0,0.5,0.4,0.4,-0.2,-.297,-16.3,-0.1
49,49,BRK,Marcus Zegarowski,Creighton,,,,,,,,,,,,,,,,,
50,50,PHI,Filip Petrušev,Gonzaga,1,3,10,3,1,0,.500,,.500,3.3,1.0,0.3,0.0,0.0,.029,-8.0,0.0
51,51,MEM,Brandon Boston Jr.,Kentucky,4,144,2280,1068,319,174,.411,.326,.788,15.8,7.4,2.2,1.2,1.1,.024,-3.7,-1.0
52,52,DET,Luka Garza,Iowa,4,99,814,507,210,43,.495,.320,.699,8.2,5.1,2.1,0.4,2.3,.138,-2.0,0.0
53,53,PHI,Charles Bassey,Western Kentucky,4,107,1193,465,460,88,.636,.231,.643,11.1,4.3,4.3,0.8,3.7,.148,0.4,0.7
54,54,IND,Sandro Mamukelashvili,Seton Hall,4,157,1754,727,484,148,.465,.344,.723,11.2,4.6,3.1,0.9,3.9,.106,-0.7,0.6
55,55,OKC,Aaron Wiggins,Maryland,4,243,4678,1863,727,303,.508,.386,.786,19.3,7.7,3.0,1.2,10.3,.105,-1.4,0.7
56,56,CHO,Scottie Lewis,Florida,1,2,7,1,0,1,,,.500,3.5,0.5,0.0,0.5,0.0,.164,6.0,0.0
57,57,CHO,Balša Koprivica,Florida State,,,,,,,,,,,,,,,,,
58,58,NYK,Jericho Sims,Texas,4,173,2367,422,685,93,.716,.000,.585,13.7,2.4,4.0,0.5,6.4,.131,-1.6,0.2
59,59,BRK,RaiQuan Gray,Florida State,2,4,74,39,16,13,.552,.417,1.000,18.5,9.8,4.0,3.3,0.2,.149,2.9,0.1
60,60,IND,Georgios Kalaitzakis,,1,13,213,86,21,12,.463,.385,.467,16.4,6.6,1.6,0.9,-0.1,-.024,-7.0,-0.3
