Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
Trae Young,876,DAL,1,5,2018,Oklahoma,2017-18,Oklahoma,32,32,35.4,8.2,19.3,4.5,9.1,3.7,10.3,7.4,8.6,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,.422,.493,.360,.861,.585,.518,G,FR,trae-young-1
Jalen Brunson,756,DAL,2,33,2018,Villanova,2017-18,Villanova,40,40,31.8,6.8,13.0,4.6,7.7,2.2,5.3,3.3,4.1,0.3,2.8,3.1,4.6,0.9,0.0,1.8,2.0,18.9,.521,.599,.408,.802,.635,.604,G,JR,jalen-brunson-1
Jerome Robinson,725,LAC,1,13,2018,Boston College,2017-18,Boston College,35,35,36.0,7.1,14.7,4.8,9.0,2.3,5.7,4.2,5.0,0.5,3.1,3.6,3.3,0.9,0.1,2.7,2.5,20.7,.485,.533,.409,.830,.608,.564,F,JR,jerome-robinson-2
Tony Carr,725,NOH,2,51,2018,Penn State,2017-18,Penn State,37,37,35.4,6.6,16.2,4.2,10.7,2.4,5.5,4.0,5.0,0.9,4.1,4.9,5.0,0.8,0.3,2.3,1.8,19.6,.408,.395,.433,.799,.527,.482,G,SO,tony-carr-1
Mikal Bridges,706,PHI,1,10,2018,Villanova,2017-18,Villanova,40,40,32.1,6.1,11.9,3.5,5.9,2.6,6.0,2.9,3.4,1.4,4.0,5.3,1.9,1.5,1.1,1.4,2.2,17.7,.514,.593,.435,.851,.655,.623,F,JR,mikal-bridges-1
Deandre Ayton,704,PHO,1,1,2018,Arizona,2017-18,Arizona,35,35,33.5,7.9,12.9,7.5,11.9,0.3,1.0,4.0,5.5,3.4,8.2,11.6,1.6,0.6,1.9,2.0,2.3,20.1,.612,.635,.343,.733,.650,.625,F,FR,deandre-ayton-1
Marvin Bagley III,694,SAC,1,2,2018,Duke,2017-18,Duke,33,32,33.9,8.2,13.3,7.5,11.6,0.7,1.8,4.0,6.3,4.0,7.1,11.1,1.5,0.8,0.9,2.3,1.8,21.0,.614,.647,.397,.627,.643,.640,F,FR,marvin-bagleyiii-1
Kevin Hervey,676,OKC,2,57,2018,UT Arlington,2017-18,UT Arlington,33,25,32.2,7.4,16.5,5.0,9.6,2.3,6.9,3.4,4.2,2.3,6.2,8.5,2.2,1.2,0.6,2.7,1.8,20.5,.446,.522,.339,.807,.553,.517,F,SR,kevin-hervey-1
Devonte' Graham,675,ATL,2,34,2018,Kansas,2017-18,Kansas,39,39,37.8,5.1,12.8,2.3,5.8,2.8,6.9,4.3,5.2,0.6,3.4,4.0,7.2,1.6,0.1,2.8,1.4,17.3,.400,.392,.406,.827,.568,.510,G,SR,devonte-graham-1
Keita Bates-Diop,672,MIN,2,48,2018,Ohio State,2017-18,Ohio State,34,34,33.1,7.3,15.1,5.3,9.7,1.9,5.4,3.3,4.1,1.5,7.2,8.7,1.6,0.9,1.6,1.8,1.7,19.8,.480,.547,.359,.794,.577,.544,F,JR,keita-bates-diop-1
Aaron Holiday,671,IND,1,23,2018,UCLA,2017-18,UCLA,33,33,37.7,6.4,13.9,3.8,7.7,2.7,6.2,4.8,5.8,0.5,3.2,3.7,5.8,1.3,0.2,3.8,2.6,20.3,.461,.486,.429,.828,.609,.557,G,JR,aaron-holiday-1
Jevon Carter,640,MEM,2,32,2018,West Virginia,2017-18,West Virginia,37,37,35.5,5.8,13.8,3.7,8.5,2.1,5.3,3.6,4.2,0.8,3.9,4.6,6.6,3.0,0.4,2.6,3.0,17.3,.422,.441,.393,.858,.549,.498,G,SR,jevon-carter-1
Collin Sexton,632,CLE,1,8,2018,Alabama,2017-18,Alabama,33,32,29.9,5.9,13.3,4.6,9.3,1.3,4.0,5.9,7.6,1.0,2.7,3.8,3.6,0.8,0.1,2.8,2.5,19.2,.447,.495,.336,.778,.567,.498,G,FR,collin-sexton-1
Chandler Hutchison,619,CHI,1,22,2018,Boise State,2017-18,Boise State,31,31,31.0,6.6,13.9,5.1,9.8,1.5,4.1,5.3,7.2,0.9,6.8,7.7,3.5,1.5,0.3,3.4,2.4,20.0,.475,.523,.359,.728,.575,.528,G,SR,chandler-hutchison-1
Miles Bridges,582,LAC,1,12,2018,Michigan State,2017-18,Michigan State,34,33,31.4,6.1,13.4,4.1,7.7,2.1,5.7,2.7,3.2,1.3,5.7,7.0,2.7,0.6,0.8,2.0,1.6,17.1,.457,.527,.364,.853,.572,.535,F,SO,miles-bridges-1
Kevin Knox,576,NYK,1,9,2018,Kentucky,2017-18,Kentucky,37,37,32.4,5.3,11.9,3.8,7.4,1.5,4.5,3.4,4.4,0.9,4.5,5.4,1.4,0.8,0.3,2.3,2.2,15.6,.445,.509,.341,.774,.556,.510,F,FR,kevin-knox-1
Grayson Allen,572,UTA,1,21,2018,Duke,2017-18,Duke,37,37,35.6,4.9,11.7,2.1,4.2,2.8,7.5,2.9,3.4,0.5,2.8,3.3,4.6,1.7,0.1,2.1,2.1,15.5,.418,.503,.370,.850,.580,.536,G,SR,grayson-allen-1
Moritz Wagner,570,LAL,1,25,2018,Michigan,2017-18,Michigan,39,39,27.6,5.5,10.5,3.9,6.4,1.6,4.1,1.9,2.8,1.5,5.7,7.1,0.8,1.0,0.5,1.4,3.1,14.6,.528,.614,.394,.694,.619,.605,F,JR,moritz-wagner-1
Sviatoslav Mykhailiuk,570,LAL,2,47,2018,Kansas,2017-18,Kansas,39,39,34.5,5.3,12.1,2.3,5.5,2.9,6.6,1.2,1.4,1.1,2.8,3.9,2.7,1.2,0.3,1.7,2.5,14.6,.434,.423,.444,.804,.572,.556,G,SR,sviatoslav-mykhailiuk-1
Donte DiVincenzo,537,MIL,1,17,2018,Villanova,2017-18,Villanova,40,10,29.3,4.7,9.8,2.6,4.5,2.1,5.3,1.9,2.7,1.2,3.6,4.8,3.5,1.1,0.2,2.0,2.1,13.4,.481,.575,.401,.710,.608,.590,G,SO,donte-divincenzo-1
Gary Trent Jr.,536,SAC,2,37,2018,Duke,2017-18,Duke,37,37,33.9,4.8,11.5,2.2,5.0,2.6,6.5,2.3,2.6,0.8,3.4,4.2,1.4,1.2,0.1,1.0,1.7,14.5,.415,.430,.402,.876,.567,.528,G,FR,gary-trentjr-1
Chimezie Metu,533,SAS,2,49,2018,Southern California,2017-18,Southern California,34,33,31.0,6.0,11.5,5.7,10.4,0.4,1.2,3.3,4.5,1.9,5.6,7.4,1.6,0.8,1.7,2.0,2.6,15.7,.523,.548,.300,.730,.574,.538,F,JR,chimezie-metu-1
Shai Gilgeous-Alexander,532,CHA,1,11,2018,Kentucky,2017-18,Kentucky,37,24,33.7,4.9,10.2,4.3,8.6,0.6,1.5,3.9,4.7,0.9,3.2,4.1,5.1,1.6,0.5,2.7,1.7,14.4,.485,.500,.404,.817,.578,.516,G,FR,shai-gilgeous-alexander-1
Vince Edwards,511,UTA,2,52,2018,Purdue,2017-18,Purdue,35,35,31.6,5.1,10.8,3.7,7.1,1.5,3.7,2.9,3.4,2.0,5.4,7.4,2.9,0.5,0.6,2.0,1.8,14.6,.476,.516,.398,.833,.587,.544,F,SR,vince-edwards-2
