Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
Wendell Carter Jr.,501,CHI,1,7,2018,Duke,2017-18,Duke,37,37,26.9,4.8,8.6,4.3,7.4,0.5,1.2,3.4,4.5,2.9,6.1,9.1,2.0,0.8,2.1,2.0,2.8,13.5,.561,.586,.413,.738,.628,.591,F,FR,wendell-carterjr-1
Khyri Thomas,497,PHI,2,38,2018,Creighton,2017-18,Creighton,33,33,31.7,5.6,10.4,3.7,5.8,1.9,4.6,2.0,2.6,1.1,3.3,4.4,2.8,1.7,0.2,1.8,1.9,15.1,.538,.639,.411,.788,.650,.629,G,JR,khyri-thomas-1
Alize Johnson,495,IND,2,50,2018,Missouri State,2017-18,Missouri State,33,33,31.2,5.2,12.1,4.0,7.7,1.2,4.4,3.3,4.4,3.2,8.5,11.6,2.8,0.5,0.4,2.2,2.1,15.0,.430,.516,.281,.759,.528,.481,F,SR,alize-johnson-1
Landry Shamet,477,PHI,1,26,2018,Wichita State,2017-18,Wichita State,32,32,31.7,4.8,9.8,2.2,3.9,2.6,5.9,2.7,3.2,0.4,2.8,3.2,5.2,0.7,0.2,2.1,1.9,14.9,.489,.560,.442,.825,.655,.622,G,SO,landry-shamet-1
Melvin Frazier,477,ORL,2,35,2018,Tulane,2017-18,Tulane,30,30,34.4,6.0,10.7,4.8,7.7,1.2,3.0,2.8,3.9,1.2,4.4,5.6,2.9,2.2,0.7,2.6,2.0,15.9,.556,.623,.385,.712,.631,.610,G,JR,melvin-frazier-1
Kevin Huerter,472,ATL,1,19,2018,Maryland,2017-18,Maryland,32,32,34.4,5.1,10.1,2.8,4.6,2.3,5.5,2.3,3.1,1.0,4.1,5.0,3.4,0.6,0.7,2.5,2.4,14.8,.503,.605,.417,.758,.640,.616,G,SO,kevin-huerter-1
Jacob Evans,468,GSW,1,28,2018,Cincinnati,2017-18,Cincinnati,36,36,30.8,4.5,10.5,2.8,6.0,1.7,4.5,2.4,3.2,1.4,3.3,4.7,3.1,1.3,1.0,1.8,2.0,13.0,.427,.470,.370,.754,.543,.507,G,JR,jacob-evans-1
Raymond Spalding,444,PHI,2,56,2018,Louisville,2017-18,Louisville,36,34,27.6,5.1,9.4,4.9,8.8,0.1,0.5,2.0,3.2,3.1,5.5,8.7,1.3,1.5,1.7,1.7,3.0,12.3,.543,.560,.263,.640,.568,.550,F,JR,raymond-spalding-1
Josh Okogie,437,MIN,1,20,2018,Georgia Tech,2017-18,Georgia Tech,24,24,36.4,5.5,13.3,4.0,9.2,1.6,4.2,5.5,6.8,2.3,4.0,6.3,2.5,1.8,1.0,2.5,2.9,18.2,.416,.432,.380,.821,.550,.475,G,SO,josh-okogie-1
Omari Spellman,434,ATL,1,30,2018,Villanova,2017-18,Villanova,40,39,28.1,4.0,8.4,2.4,4.7,1.6,3.8,1.2,1.8,2.3,5.8,8.0,0.8,0.7,1.5,1.0,2.3,10.9,.476,.511,.433,.700,.588,.573,F,FR,omari-spellman-1
Thomas Welsh,417,DEN,2,58,2018,UCLA,2017-18,UCLA,33,33,33.2,4.9,10.1,3.5,6.7,1.4,3.4,1.5,1.8,2.6,8.2,10.8,1.4,0.7,0.9,1.0,2.4,12.6,.485,.527,.402,.828,.577,.552,C,SR,thomas-welsh-1
Zhaire Smith,417,PHO,1,16,2018,Texas Tech,2017-18,Texas Tech,37,21,28.4,4.2,7.5,3.7,6.4,0.5,1.1,2.5,3.4,2.2,2.8,5.0,1.8,1.1,1.1,1.1,1.8,11.3,.556,.574,.450,.717,.618,.588,G,FR,zhaire-smith-1
George King,414,PHO,2,59,2018,Colorado,2017-18,Colorado,32,31,28.5,4.4,10.0,2.5,5.1,1.9,4.9,2.1,2.7,1.8,6.1,7.8,1.1,0.5,0.7,2.0,2.4,12.9,.445,.494,.395,.782,.574,.542,G,SR,george-king-1
Devon Hall,397,OKC,2,53,2018,Virginia,2017-18,Virginia,34,34,32.1,3.9,8.6,2.2,4.7,1.7,3.9,2.2,2.5,0.4,3.9,4.2,3.1,0.9,0.1,1.0,1.4,11.7,.454,.472,.432,.894,.599,.552,G,SR,devon-hall-1
Shake Milton,396,DAL,2,54,2018,SMU,2017-18,SMU,22,22,36.4,5.6,12.5,3.0,6.6,2.5,5.9,4.3,5.0,0.6,4.0,4.7,4.4,1.4,0.6,2.3,1.7,18.0,.449,.462,.434,.847,.606,.551,G,JR,malik-milton-1
Troy Brown,396,WAS,1,15,2018,Oregon,2017-18,Oregon,35,35,31.2,4.1,9.2,3.2,6.1,0.9,3.1,2.2,3.0,1.5,4.7,6.2,3.2,1.6,0.2,2.5,2.2,11.3,.444,.524,.291,.743,.532,.494,F,FR,troy-brown-5
Mohamed Bamba,387,ORL,1,6,2018,Texas,2017-18,Texas,30,29,30.2,4.9,9.0,4.4,7.3,0.5,1.7,2.7,4.0,3.2,7.3,10.5,0.5,0.8,3.7,1.5,2.5,12.9,.541,.603,.275,.681,.593,.567,F,FR,mohamed-bamba-1
Jaren Jackson Jr.,382,MEM,1,4,2018,Michigan State,2017-18,Michigan State,35,34,21.8,3.4,6.6,2.3,3.9,1.1,2.7,3.0,3.8,1.5,4.3,5.8,1.1,0.6,3.0,1.8,3.2,10.9,.513,.596,.396,.797,.647,.595,F,FR,jaren-jacksonjr-1
Hamidou Diallo,371,NJN,2,45,2018,Kentucky,2017-18,Kentucky,37,37,24.8,3.6,8.5,2.9,6.4,0.7,2.1,2.1,3.4,0.9,2.8,3.6,1.2,0.8,0.4,1.4,2.6,10.0,.428,.458,.338,.616,.498,.470,G,FR,hamidou-diallo-1
Lonnie Walker,368,SAS,1,18,2018,Miami (FL),2017-18,Miami (FL),32,18,27.8,4.1,9.9,2.4,4.9,1.8,5.1,1.5,2.0,0.4,2.2,2.6,1.9,0.9,0.5,1.2,1.6,11.5,.415,.487,.346,.738,.527,.503,G,FR,lonnie-walker-2
Robert Williams,311,BOS,1,27,2018,Texas A&M,2017-18,Texas A&M,30,23,25.6,4.6,7.3,4.6,6.9,0.0,0.4,1.1,2.3,2.4,6.9,9.2,1.4,0.8,2.6,1.7,2.2,10.4,.632,.668,.000,.471,.614,.632,F,SO,robert-williams-3
De'Anthony Melton,300,HOU,2,46,2018,Southern California,2016-17,Southern California,36,25,27.0,2.8,6.4,2.2,4.4,0.6,2.1,2.1,3.0,1.4,3.3,4.7,3.5,1.9,1.0,1.8,2.3,8.3,.437,.510,.284,.706,.530,.483,G,FR,deanthony-melton-1
Bruce Brown,216,DET,2,42,2018,Miami (FL),2017-18,Miami (FL),19,19,33.7,4.1,9.9,3.3,6.7,0.8,3.2,2.3,3.7,1.3,5.8,7.1,4.0,1.3,0.8,2.3,2.3,11.4,.415,.484,.267,.629,.488,.457,G,SO,bruce-brown-2
Kostas Antetokounmpo,151,PHI,2,60,2018,Dayton,2017-18,Dayton,29,6,15.1,2.0,3.5,1.9,3.0,0.1,0.5,1.1,2.2,0.8,2.0,2.9,0.4,0.2,1.1,1.3,2.3,5.2,.574,.651,.133,.516,.575,.584,F,FR,kostas-antetokounmpo-1
Justin Jackson,108,DEN,2,43,2018,Maryland,2017-18,Maryland,11,10,29.2,3.4,9.2,2.5,5.5,0.9,3.6,2.2,2.6,2.5,5.6,8.1,1.9,0.8,0.8,2.9,1.4,9.8,.366,.443,.250,.828,.470,.416,F,SO,justin-jackson-5
Jarred Vanderbilt,82,ORL,2,41,2018,Kentucky,2017-18,Kentucky,14,0,17.0,2.1,4.9,2.1,4.8,0.0,0.1,1.7,2.7,3.3,4.6,7.9,1.0,0.4,0.8,1.1,2.6,5.9,.426,.433,.000,.632,.476,.426,F,FR,jarred-vanderbilt-1
