Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
Grant Riller,678,CHA,2,56,2020,College of Charleston,2019-20,College of Charleston,31,31,33.5,7.3,14.7,5.8,10.5,1.5,4.2,5.7,6.9,0.5,4.6,5.1,3.9,1.6,0.3,3.1,2.3,21.9,.499,.554,.362,.827,.609,.551,G,SR,grant-riller-1
Jalen Harris,650,TOR,2,59,2020,Nevada,2019-20,Nevada,30,30,33.0,7.5,16.7,5.2,10.6,2.2,6.2,4.5,5.5,0.8,5.7,6.5,3.9,1.1,0.1,2.4,2.3,21.7,.446,.495,.362,.823,.560,.513,G,JR,jalen-harris-2
Payton Pritchard,635,BOS,1,26,2020,Oregon,2019-20,Oregon,31,31,36.6,7.0,14.9,4.1,8.1,2.8,6.8,3.7,4.5,0.7,3.6,4.3,5.5,1.5,0.0,2.7,2.0,20.5,.468,.512,.415,.821,.601,.563,G,SR,payton-pritchard-1
Sam Merrill,629,NOH,2,60,2020,Utah State,2019-20,Utah State,32,32,35.0,6.1,13.2,3.3,6.4,2.8,6.8,4.7,5.3,0.2,3.9,4.1,3.9,0.9,0.1,1.6,2.3,19.7,.461,.515,.410,.893,.625,.566,G,SR,sam-merrill-1
Daniel Oturu,623,MIN,2,33,2020,Minnesota,2019-20,Minnesota,31,31,33.9,7.7,13.6,7.1,12.0,0.6,1.7,4.1,5.8,3.7,7.5,11.3,1.1,0.5,2.5,2.8,2.7,20.1,.563,.590,.365,.707,.612,.585,C,SO,daniel-oturu-1
Obi Toppin,621,NYK,1,8,2020,Dayton,2019-20,Dayton,31,31,31.6,7.9,12.5,6.9,9.8,1.0,2.6,3.2,4.5,1.2,6.4,7.5,2.2,1.0,1.2,2.2,1.6,20.0,.633,.698,.390,.702,.684,.674,F,SO,obadiah-toppin-1
Anthony Edwards,610,MIN,1,1,2020,Georgia,2019-20,Georgia,32,32,33.0,6.3,15.8,4.1,8.1,2.3,7.7,4.1,5.3,0.8,4.5,5.2,2.8,1.3,0.6,2.7,2.2,19.1,.402,.504,.294,.772,.520,.473,G,FR,anthony-edwards-2
Elijah Hughes,609,NOH,2,39,2020,Syracuse,2019-20,Syracuse,32,32,36.7,6.2,14.5,3.8,7.4,2.4,7.1,4.2,5.2,0.4,4.5,4.9,3.4,1.2,0.8,2.3,1.8,19.0,.427,.508,.342,.813,.561,.511,F,JR,elijah-hughes-1
Saben Lee,594,UTA,2,38,2020,Vanderbilt,2019-20,Vanderbilt,32,17,32.9,6.3,12.9,5.0,9.2,1.2,3.8,4.8,6.4,0.6,3.0,3.5,4.2,1.5,0.3,3.1,1.8,18.6,.483,.549,.322,.752,.580,.530,G,JR,saben-lee-1
CJ Elleby,589,POR,2,46,2020,Washington State,2019-20,Washington State,32,32,33.4,6.2,15.6,3.8,8.8,2.3,6.8,3.8,4.6,1.2,6.6,7.8,1.9,1.8,0.8,2.2,2.9,18.4,.396,.439,.339,.823,.519,.470,F,SO,cj-elleby-1
Kira Lewis Jr.,573,NOH,1,13,2020,Alabama,2019-20,Alabama,31,31,37.6,6.6,14.5,4.8,9.5,1.8,4.9,3.4,4.2,0.8,3.9,4.8,5.2,1.8,0.6,3.5,2.6,18.5,.459,.507,.366,.802,.560,.521,G,SO,kira-lewisjr-1
Malachi Flynn,564,TOR,1,29,2020,San Diego State,2019-20,San Diego State,32,32,33.4,5.8,13.0,3.4,6.7,2.4,6.4,3.8,4.4,0.6,3.8,4.5,5.1,1.8,0.1,1.8,1.8,17.6,.441,.507,.373,.857,.583,.532,G,JR,malachi-flynn-1
Cassius Winston,558,OKC,2,53,2020,Michigan State,2019-20,Michigan State,30,30,32.7,6.2,13.8,3.7,8.1,2.4,5.6,3.8,4.5,0.2,2.3,2.5,5.9,1.2,0.0,3.2,2.0,18.6,.448,.459,.432,.852,.585,.536,G,SR,cassius-winston-1
Jordan Nwora,558,MIL,2,45,2020,Louisville,2019-20,Louisville,31,30,33.1,6.1,13.9,3.6,7.8,2.5,6.1,3.4,4.1,1.7,6.0,7.7,1.3,0.7,0.3,2.1,2.2,18.0,.440,.469,.402,.813,.568,.528,F,JR,jordan-nwora-1
Vernon Carey Jr.,552,CHA,2,32,2020,Duke,2019-20,Duke,31,30,24.9,6.4,11.1,6.2,10.5,0.3,0.7,4.7,7.0,2.7,6.1,8.8,1.0,0.7,1.6,2.0,2.7,17.8,.577,.590,.381,.670,.615,.588,C,FR,vernon-careyjr-1
Isaiah Stewart,543,POR,1,16,2020,Washington,2019-20,Washington,32,32,32.2,6.0,10.5,5.8,9.9,0.2,0.6,4.8,6.2,2.8,6.0,8.8,0.8,0.5,2.1,2.2,2.6,17.0,.570,.590,.250,.774,.629,.577,F,FR,isaiah-stewart-2
Reggie Perry,538,LAC,2,57,2020,Mississippi State,2019-20,Mississippi State,31,31,31.1,5.9,11.8,5.2,9.5,0.7,2.3,4.8,6.3,3.1,6.9,10.1,2.3,0.8,1.2,2.9,3.1,17.4,.500,.542,.324,.768,.587,.531,F,SO,reggie-perry-2
Desmond Bane,531,BOS,1,30,2020,TCU,2019-20,TCU,32,32,36.0,6.2,13.6,3.3,7.1,2.9,6.5,1.4,1.8,1.4,4.9,6.3,3.9,1.5,0.5,2.3,2.2,16.6,.452,.461,.442,.789,.573,.557,G,SR,desmond-bane-1
Skylar Mays,517,ATL,2,50,2020,Louisiana State,2019-20,Louisiana State,31,31,34.4,5.5,11.1,3.8,7.0,1.6,4.1,4.2,4.9,0.5,4.5,5.0,3.2,1.8,0.2,2.3,1.7,16.7,.491,.548,.394,.854,.622,.564,G,SR,skylar-mays-1
Zeke Nnaji,515,DEN,1,22,2020,Arizona,2019-20,Arizona,32,32,30.7,5.6,9.8,5.4,9.3,0.2,0.5,4.8,6.3,3.1,5.5,8.6,0.8,0.7,0.9,2.2,2.4,16.1,.570,.586,.294,.760,.630,.578,F,FR,zeke-nnaji-1
Justinian Jessup,512,GSW,2,51,2020,Boise State,2019-20,Boise State,32,32,36.0,5.4,12.6,2.3,4.9,3.1,7.7,2.2,2.3,1.0,3.5,4.4,2.1,1.4,0.5,1.3,2.2,16.0,.426,.471,.397,.959,.584,.547,G,SR,justinian-jessup-1
Saddiq Bey,499,NJN,1,19,2020,Villanova,2019-20,Villanova,31,31,33.9,5.6,11.8,3.1,6.2,2.5,5.6,2.3,2.9,1.3,3.5,4.7,2.4,0.8,0.4,1.5,2.5,16.1,.477,.500,.451,.769,.608,.584,F,SO,saddiq-bey-1
Precious Achiuwa,489,MIA,1,20,2020,Memphis,2019-20,Memphis,31,31,30.4,5.9,11.9,5.5,10.6,0.4,1.3,3.6,6.0,3.0,7.8,10.8,1.0,1.1,1.9,2.8,2.4,15.8,.493,.514,.325,.599,.534,.511,F,FR,precious-achiuwa-1
Immanuel Quickley,482,OKC,1,25,2020,Kentucky,2019-20,Kentucky,30,20,33.0,4.6,11.0,2.5,6.2,2.1,4.8,4.8,5.2,0.5,3.7,4.2,1.9,0.9,0.1,1.6,2.3,16.1,.417,.409,.428,.923,.595,.511,G,SO,immanuel-quickley-1
Jalen Smith,479,PHO,1,10,2020,Maryland,2019-20,Maryland,31,31,31.3,5.4,10.1,4.4,7.3,1.0,2.8,3.6,4.8,3.2,7.3,10.5,0.8,0.7,2.4,1.7,2.4,15.5,.538,.604,.368,.750,.626,.590,F,SO,jalen-smith-1
Tre Jones,471,SAS,2,41,2020,Duke,2019-20,Duke,29,29,35.4,5.6,13.2,4.2,9.5,1.3,3.7,3.7,4.8,0.7,3.6,4.2,6.4,1.8,0.3,2.7,1.8,16.2,.423,.447,.361,.771,.524,.474,G,SO,tre-jones-1
Onyeka Okongwu,454,ATL,1,6,2020,Southern California,2019-20,Southern California,28,28,30.6,6.3,10.1,6.2,10.0,0.0,0.1,3.7,5.1,3.3,5.4,8.6,1.1,1.2,2.7,2.0,2.7,16.2,.616,.621,.250,.720,.645,.618,F,FR,onyeka-okongwu-1
Tyrell Terry,454,DAL,2,31,2020,Stanford,2019-20,Stanford,31,31,32.6,4.7,10.7,2.7,5.8,2.0,4.9,3.2,3.5,0.4,4.1,4.5,3.2,1.4,0.1,2.6,2.1,14.6,.441,.470,.408,.891,.589,.535,G,FR,tyrell-terry-1
Nico Mannion,447,GSW,2,48,2020,Arizona,2019-20,Arizona,32,32,32.3,4.5,11.5,2.8,6.4,1.7,5.1,3.3,4.2,0.3,2.3,2.5,5.3,1.2,0.0,2.6,1.7,14.0,.392,.444,.327,.797,.520,.465,G,FR,nico-mannion-1
Isaiah Joe,439,PHI,2,49,2020,Arkansas,2019-20,Arkansas,26,25,36.1,5.1,13.8,1.5,3.3,3.6,10.6,3.1,3.5,0.5,3.6,4.1,1.7,1.4,0.3,1.7,1.8,16.9,.367,.447,.342,.890,.544,.497,G,SO,isaiah-joe-1
Paul Reed,439,PHI,2,58,2020,DePaul,2019-20,DePaul,29,29,31.7,6.3,12.2,5.7,10.4,0.6,1.8,2.0,2.8,3.3,7.4,10.7,1.6,1.9,2.6,2.3,3.0,15.1,.516,.551,.308,.738,.561,.538,F,JR,paul-reed-5
Nick Richards,435,NOH,2,42,2020,Kentucky,2019-20,Kentucky,31,30,29.6,5.3,8.2,5.3,8.2,0.0,0.0,3.5,4.7,2.6,5.2,7.8,0.2,0.1,2.1,1.6,3.2,14.0,.642,.642,,.752,.674,.642,F,JR,nick-richards-2
Tyrese Maxey,433,PHI,1,21,2020,Kentucky,2019-20,Kentucky,31,28,34.5,4.8,11.3,3.8,7.7,1.1,3.6,3.2,3.9,0.4,3.9,4.3,3.2,0.9,0.4,2.2,2.4,14.0,.427,.492,.292,.833,.531,.474,G,FR,tyrese-maxey-1
Tyler Bey,429,PHI,2,36,2020,Colorado,2019-20,Colorado,31,30,29.0,4.5,8.5,4.1,7.5,0.4,1.0,4.4,5.9,2.0,7.0,9.0,1.5,1.5,1.2,2.4,1.9,13.8,.530,.545,.419,.743,.611,.555,G,JR,tyler-bey-1
Udoka Azubuike,426,UTA,1,27,2020,Kansas,2019-20,Kansas,31,30,27.7,5.8,7.8,5.8,7.8,0.0,0.0,2.1,4.7,3.5,7.0,10.5,0.9,0.5,2.6,2.5,2.4,13.7,.748,.748,,.441,.685,.748,C,SR,udoka-azubuike-1
Xavier Tillman,425,SAC,2,35,2020,Michigan State,2019-20,Michigan State,31,31,32.1,5.3,9.7,4.9,8.1,0.4,1.6,2.6,4.0,2.7,7.6,10.3,3.0,1.2,2.1,2.0,2.6,13.7,.550,.608,.260,.667,.593,.572,F,JR,xavier-tillman-1
Cole Anthony,407,ORL,1,15,2020,North Carolina,2019-20,North Carolina,22,20,34.9,6.0,15.7,3.7,9.3,2.2,6.4,4.4,5.8,0.5,5.2,5.7,4.0,1.3,0.3,3.5,2.9,18.5,.380,.402,.348,.750,.501,.451,G,FR,cole-anthony-1
Jahmi'us Ramsey,406,SAC,2,43,2020,Texas Tech,2019-20,Texas Tech,27,27,31.2,5.5,12.4,3.3,7.2,2.2,5.2,1.9,2.9,0.7,3.3,4.0,2.2,1.3,0.7,2.0,2.2,15.0,.442,.454,.426,.641,.546,.531,G,FR,jahmius-ramsey-1
Jaden McDaniels,402,LAL,1,28,2020,Washington,2019-20,Washington,31,21,31.1,4.4,10.8,3.0,6.7,1.4,4.1,2.8,3.7,1.1,4.7,5.8,2.1,0.8,1.4,3.2,3.3,13.0,.405,.445,.339,.763,.515,.469,F,FR,jaden-mcdaniels-1
Devin Vassell,380,SAS,1,11,2020,Florida State,2019-20,Florida State,30,30,28.8,4.8,9.8,3.3,6.3,1.5,3.5,1.6,2.2,1.3,3.8,5.1,1.6,1.4,1.0,0.8,1.9,12.7,.490,.532,.415,.738,.585,.565,G,SO,devin-vassell-1
Cassius Stanley,364,IND,2,54,2020,Duke,2019-20,Duke,29,29,27.4,4.4,9.3,3.3,6.3,1.1,3.0,2.7,3.6,1.9,3.0,4.9,1.0,0.7,0.7,1.9,2.2,12.6,.474,.527,.360,.733,.569,.531,G,FR,cassius-stanley-1
Isaac Okoro,360,CLE,1,5,2020,Auburn,2019-20,Auburn,28,28,31.5,4.5,8.7,3.8,6.2,0.7,2.5,3.2,4.8,1.9,2.5,4.4,2.0,0.9,0.9,2.0,2.7,12.9,.514,.607,.286,.672,.587,.556,F,FR,isaac-okoro-1
Josh Green,359,DAL,1,18,2020,Arizona,2019-20,Arizona,30,30,30.9,4.1,9.6,3.1,6.8,1.0,2.8,2.8,3.6,1.3,3.3,4.6,2.6,1.5,0.4,1.6,2.4,12.0,.424,.449,.361,.780,.528,.476,G,FR,josh-green-2
Robert Woodard,352,MEM,2,40,2020,Mississippi State,2019-20,Mississippi State,31,31,33.1,4.4,8.9,3.4,6.6,1.0,2.3,1.6,2.5,2.2,4.4,6.5,1.3,1.1,1.0,1.9,1.9,11.4,.495,.517,.429,.641,.564,.549,G,SO,robert-woodard-2
Tyrese Haliburton,335,SAC,1,12,2020,Iowa State,2019-20,Iowa State,22,22,36.7,5.6,11.1,3.2,5.5,2.4,5.6,1.7,2.0,1.5,4.4,5.9,6.5,2.5,0.7,2.8,1.3,15.2,.504,.592,.419,.822,.631,.611,G,SO,tyrese-haliburton-1
Aaron Nesmith,322,BOS,1,14,2020,Vanderbilt,2019-20,Vanderbilt,14,14,35.7,7.5,14.6,3.2,6.4,4.3,8.2,3.7,4.5,0.8,4.1,4.9,0.9,1.4,0.9,1.7,2.8,23.0,.512,.500,.522,.825,.685,.659,F,SO,aaron-nesmith-1
Patrick Williams,268,CHI,1,4,2020,Florida State,2019-20,Florida State,29,0,22.5,3.3,7.1,2.7,5.4,0.6,1.7,2.1,2.6,1.3,2.7,4.0,1.0,1.0,1.0,1.7,1.6,9.2,.459,.503,.320,.838,.553,.498,F,FR,patrick-williams-2
James Wiseman,59,GSW,1,2,2020,Memphis,2019-20,Memphis,3,3,23.0,6.7,8.7,6.7,8.3,0.0,0.3,6.3,9.0,4.3,6.3,10.7,0.3,0.3,3.0,1.0,1.7,19.7,.769,.800,.000,.704,.760,.769,C,FR,james-wiseman-1
