Player,yr1.2P,yr1.2P%,yr1.2PA,yr1.3P,yr1.3P%,yr1.3PA,yr1.AST,yr1.BLK,yr1.DRB,yr1.FG,yr1.FG%,yr1.FGA,yr1.FT,yr1.FT%,yr1.FTA,yr1.G,yr1.GS,yr1.MP,yr1.ORB,yr1.PF,yr1.PTS,yr1.Pos,yr1.STL,yr1.TOV,yr1.TRB,yr1.Team,yr1.eFG%,yr2.2P,yr2.2P%,yr2.2PA,yr2.3P,yr2.3P%,yr2.3PA,yr2.AST,yr2.BLK,yr2.DRB,yr2.FG,yr2.FG%,yr2.FGA,yr2.FT,yr2.FT%,yr2.FTA,yr2.G,yr2.GS,yr2.MP,yr2.ORB,yr2.PF,yr2.PTS,yr2.Pos,yr2.STL,yr2.TOV,yr2.TRB,yr2.Team,yr2.eFG%,yr3.2P,yr3.2P%,yr3.2PA,yr3.3P,yr3.3P%,yr3.3PA,yr3.AST,yr3.BLK,yr3.DRB,yr3.FG,yr3.FG%,yr3.FGA,yr3.FT,yr3.FT%,yr3.FTA,yr3.G,yr3.GS,yr3.MP,yr3.ORB,yr3.PF,yr3.PTS,yr3.Pos,yr3.STL,yr3.TOV,yr3.TRB,yr3.Team,yr3.eFG%
Al Horford,0.5,0.6,0.8,0.0,0.0,0.2,0.0,0.0,0.7,0.5,0.5,1.0,0.5,0.5,1.0,6.0,0.0,6.3,1.0,0.5,1.5,PF,0.3,0.3,1.7,MIL,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Burks,3.0,0.504,6.0,2.8,0.42,6.6,3.0,0.1,2.4,5.8,0.46,12.6,2.8,0.904,3.1,70.0,70.0,30.2,0.1,1.8,17.1,SG,0.5,1.5,2.5,PHI,0.569,2.8,0.502,5.6,3.2,0.397,8.0,2.7,0.2,2.2,5.9,0.44,13.5,3.0,0.894,3.4,76.0,63.0,31.3,0.3,1.7,18.1,SG,0.4,1.3,2.4,PHI,0.557,1.8,0.453,3.9,3.0,0.453,6.6,2.0,0.2,2.4,4.8,0.453,10.5,2.8,0.892,3.1,60.0,36.0,26.4,0.2,1.6,15.3,SG,0.3,1.3,2.5,NOP,0.596
Aleksej Pokusevski,2.3,0.536,4.3,2.0,0.445,4.5,1.5,0.2,2.0,4.3,0.489,8.8,0.6,0.796,0.8,62.0,52.0,27.9,0.4,1.1,11.3,SF,0.8,0.8,2.5,DET,0.603,1.5,0.483,3.2,2.3,0.377,6.2,2.0,0.2,2.4,3.9,0.412,9.4,1.2,0.859,1.3,63.0,60.0,29.8,0.3,1.7,11.3,SG,0.6,1.0,2.7,2TM,0.537,1.8,0.469,3.9,1.3,0.333,3.8,1.4,0.1,1.9,3.1,0.402,7.7,0.6,0.81,0.7,29.0,19.0,23.6,0.4,1.9,8.1,SG,0.9,0.7,2.3,NYK,0.484
Alex Caruso,3.9,0.502,7.7,2.0,0.378,5.4,3.4,0.3,2.7,5.9,0.451,13.1,2.8,0.905,3.1,81.0,80.0,31.7,1.0,2.1,16.7,PG,1.0,2.1,3.7,DEN,0.529,4.8,0.476,10.1,2.0,0.367,5.5,4.8,0.4,3.4,6.8,0.437,15.6,2.5,0.848,3.0,75.0,74.0,32.6,0.9,2.0,18.2,PG,0.9,2.1,4.2,DEN,0.502,5.0,0.519,9.7,1.9,0.346,5.5,4.8,0.3,3.2,6.9,0.456,15.2,2.8,0.881,3.1,59.0,59.0,32.3,0.8,1.7,18.5,PG,1.1,2.2,4.0,DEN,0.519
Alex Fudge,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,6.0,0.0,1.0,2.0,PG,0.0,0.0,3.0,DET,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Len,4.7,0.503,9.3,2.3,0.327,7.1,6.0,0.3,6.6,7.0,0.427,16.5,4.8,0.713,6.7,72.0,72.0,32.2,1.2,1.9,21.2,SG,1.1,3.4,7.8,DAL,0.497,6.7,0.574,11.7,2.8,0.316,8.9,8.8,0.2,8.1,9.5,0.463,20.6,7.0,0.758,9.2,61.0,61.0,33.6,1.3,2.5,28.8,PG,1.0,4.3,9.4,DAL,0.531,6.9,0.567,12.2,2.9,0.35,8.3,8.6,0.5,7.2,9.8,0.479,20.5,5.2,0.73,7.1,66.0,66.0,34.3,0.8,2.3,27.7,PG,1.0,4.3,8.0,DAL,0.55
Alondes Williams,2.4,0.597,3.9,0.8,0.591,1.3,0.9,0.1,2.8,3.1,0.596,5.2,2.1,0.795,2.6,17.0,1.0,17.7,0.6,1.6,9.1,SF,0.8,0.8,3.4,SAS,0.669,4.0,0.531,7.6,0.9,0.331,2.6,1.8,0.3,4.6,4.9,0.479,10.2,2.1,0.74,2.8,69.0,67.0,28.5,1.3,2.1,12.8,SF,0.6,1.1,6.0,SAS,0.522,4.2,0.51,8.2,2.1,0.398,5.3,2.1,0.2,5.0,6.3,0.466,13.5,2.4,0.756,3.1,75.0,74.0,31.9,1.1,2.0,17.0,SF,0.8,1.2,6.1,SAS,0.545
Alperen Şengün,2.0,0.534,3.8,0.0,,0.0,0.6,0.3,2.5,2.0,0.534,3.8,2.0,0.794,2.5,39.0,1.0,8.6,1.2,1.3,6.0,C,0.3,0.9,3.7,2TM,0.534,2.7,0.624,4.3,0.1,0.4,0.2,0.9,0.5,3.1,2.8,0.615,4.5,1.7,0.748,2.3,58.0,12.0,11.7,1.5,1.6,7.3,C,0.3,1.0,4.6,2TM,0.623,2.7,0.603,4.4,0.1,0.235,0.4,0.5,0.2,3.0,2.8,0.573,4.8,1.0,0.754,1.3,44.0,5.0,9.6,1.5,1.3,6.6,C,0.2,0.7,4.5,DAL,0.583
Amari Bailey,1.1,0.706,1.6,0.0,,0.0,0.2,1.3,1.7,1.1,0.706,1.6,0.3,0.6,0.5,32.0,2.0,8.8,0.8,1.1,2.5,C,0.3,0.3,2.5,BOS,0.706,2.2,0.727,3.0,0.0,,0.0,0.9,1.2,3.0,2.2,0.727,3.0,0.8,0.647,1.2,29.0,1.0,13.4,1.4,1.8,5.2,C,0.8,0.7,4.4,BOS,0.727,3.6,0.727,4.9,0.0,0.0,0.0,1.8,1.8,4.3,3.6,0.721,5.0,0.9,0.616,1.4,52.0,13.0,18.9,2.6,2.0,8.0,C,0.8,1.0,6.9,BOS,0.721
Amen Thompson,1.5,0.372,4.1,0.3,0.278,1.1,2.1,0.1,1.6,1.9,0.352,5.3,0.8,0.776,1.0,48.0,4.0,16.2,0.2,2.0,4.8,PG,0.8,0.9,1.8,LAC,0.381,0.4,0.273,1.4,0.0,0.0,0.4,1.3,0.0,1.4,0.4,0.214,1.8,0.0,,0.0,8.0,0.0,8.1,0.1,1.0,0.8,PG,0.4,0.8,1.5,2TM,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Coffey,1.2,0.391,3.0,0.9,0.371,2.3,3.0,0.1,1.7,2.0,0.382,5.3,1.4,0.804,1.7,54.0,3.0,18.8,0.2,1.5,6.3,PG,0.6,1.2,1.9,ATL,0.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Drummond,5.3,0.436,12.2,1.5,0.371,4.1,9.6,1.1,3.1,6.8,0.42,16.3,4.3,0.726,5.9,41.0,41.0,34.4,0.5,2.0,19.4,PG,1.4,3.9,3.7,WAS,0.466,6.1,0.507,12.0,1.6,0.302,5.3,8.7,0.9,3.2,7.7,0.444,17.3,3.8,0.697,5.5,32.0,32.0,34.5,0.5,2.2,20.7,PG,1.5,3.8,3.6,WAS,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Jackson Jr.,0.7,0.481,1.5,0.7,0.261,2.6,1.2,0.0,1.8,1.4,0.342,4.1,1.1,0.864,1.2,18.0,0.0,11.7,0.2,0.8,4.5,SG,0.3,1.0,2.0,BRK,0.425,0.9,0.4,2.3,0.5,0.188,2.4,1.7,0.1,1.3,1.4,0.29,4.7,0.5,0.938,0.5,33.0,0.0,11.1,0.3,1.1,3.6,SG,0.5,1.0,1.6,BRK,0.339,0.1,1.0,0.1,0.0,0.0,0.5,0.1,0.0,0.3,0.1,0.111,0.5,0.0,,0.0,17.0,0.0,2.0,0.0,0.2,0.1,SG,0.0,0.1,0.3,NYK,0.111
Andrew Funk,0.7,0.25,2.7,1.0,0.375,2.7,2.0,0.7,3.0,1.7,0.313,5.3,1.0,0.75,1.3,3.0,1.0,16.0,0.3,2.0,5.3,PF,0.0,0.7,3.3,SAS,0.406,1.1,0.565,1.9,0.4,0.279,1.3,0.5,0.2,1.6,1.4,0.448,3.2,0.5,0.552,0.9,33.0,4.0,9.3,0.5,1.3,3.7,PF,0.2,0.6,2.1,SAS,0.505,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Nembhard,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,5.0,1.0,1.0,2.0,SF,0.0,1.0,1.0,ATL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,5.2,0.502,10.3,2.4,0.34,7.0,3.7,0.3,3.1,7.5,0.437,17.2,3.0,0.805,3.8,79.0,71.0,33.4,0.7,2.7,20.5,SG,1.5,2.7,3.7,UTA,0.506,6.1,0.468,13.1,2.4,0.362,6.7,4.2,0.4,3.3,8.6,0.432,19.9,4.1,0.806,5.1,77.0,77.0,33.7,0.8,2.7,23.8,SG,1.4,2.8,4.1,UTA,0.493,6.2,0.494,12.6,2.5,0.366,6.9,4.3,0.2,3.6,8.7,0.449,19.4,4.0,0.863,4.7,69.0,69.0,34.3,0.8,2.5,24.0,SG,1.0,2.7,4.4,UTA,0.513
Anfernee Simons,0.3,0.294,1.0,0.2,0.75,0.2,0.1,0.3,0.6,0.5,0.381,1.2,0.2,0.667,0.4,17.0,0.0,7.2,0.2,1.4,1.4,SG,0.4,0.4,0.8,2TM,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.364,1.0,0.0,0.0,0.3,0.1,0.3,0.5,0.4,0.286,1.3,0.3,0.6,0.5,11.0,0.0,4.2,0.2,0.7,1.0,SG,0.1,0.2,0.6,DAL,0.286
