Player,yr1.2P,yr1.2P%,yr1.2PA,yr1.3P,yr1.3P%,yr1.3PA,yr1.AST,yr1.BLK,yr1.DRB,yr1.FG,yr1.FG%,yr1.FGA,yr1.FT,yr1.FT%,yr1.FTA,yr1.G,yr1.GS,yr1.MP,yr1.ORB,yr1.PF,yr1.PTS,yr1.Pos,yr1.STL,yr1.TOV,yr1.TRB,yr1.Team,yr1.eFG%,yr2.2P,yr2.2P%,yr2.2PA,yr2.3P,yr2.3P%,yr2.3PA,yr2.AST,yr2.BLK,yr2.DRB,yr2.FG,yr2.FG%,yr2.FGA,yr2.FT,yr2.FT%,yr2.FTA,yr2.G,yr2.GS,yr2.MP,yr2.ORB,yr2.PF,yr2.PTS,yr2.Pos,yr2.STL,yr2.TOV,yr2.TRB,yr2.Team,yr2.eFG%,yr3.2P,yr3.2P%,yr3.2PA,yr3.3P,yr3.3P%,yr3.3PA,yr3.AST,yr3.BLK,yr3.DRB,yr3.FG,yr3.FG%,yr3.FGA,yr3.FT,yr3.FT%,yr3.FTA,yr3.G,yr3.GS,yr3.MP,yr3.ORB,yr3.PF,yr3.PTS,yr3.Pos,yr3.STL,yr3.TOV,yr3.TRB,yr3.Team,yr3.eFG%
James Johnson,0.8,0.429,1.8,0.0,0.0,0.5,0.8,0.0,0.5,0.8,0.333,2.3,0.5,1.0,0.5,4.0,0.0,7.0,0.3,1.3,2.0,SF,0.0,0.0,0.8,DAL,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Wiseman,5.5,0.517,10.5,1.8,0.359,5.0,4.0,0.3,4.7,7.2,0.466,15.5,3.9,0.884,4.4,82.0,82.0,36.4,0.5,3.3,20.1,SF,1.5,2.3,5.2,MIL,0.524,4.2,0.485,8.8,2.3,0.378,6.2,4.3,0.1,5.3,6.6,0.441,14.9,2.8,0.837,3.4,77.0,77.0,31.1,0.6,2.2,18.3,SF,1.0,2.3,6.0,MIL,0.519,5.2,0.546,9.6,2.4,0.415,5.7,4.3,0.1,5.5,7.6,0.497,15.3,3.4,0.916,3.7,62.0,59.0,29.9,0.7,2.3,20.9,SF,0.9,2.2,6.2,MIL,0.575
Jarace Walker,0.9,0.515,1.8,0.4,0.41,1.1,1.6,0.1,1.1,1.4,0.476,2.9,0.7,0.857,0.8,36.0,0.0,9.5,0.1,0.9,3.9,PG,0.3,0.5,1.1,BOS,0.552,1.8,0.481,3.7,0.5,0.363,1.4,2.5,0.2,1.7,2.3,0.448,5.1,1.8,0.926,1.9,71.0,1.0,19.3,0.3,1.9,6.9,PG,0.9,1.1,2.0,BOS,0.499,1.6,0.463,3.5,0.3,0.188,1.4,2.9,0.2,1.4,1.9,0.385,4.9,1.5,0.891,1.7,61.0,0.0,17.3,0.3,1.5,5.5,PG,0.7,1.2,1.7,2TM,0.411
Jared Butler,1.0,0.25,4.0,0.3,0.25,1.3,4.3,0.0,1.7,1.3,0.25,5.3,0.7,0.4,1.7,3.0,0.0,24.7,0.3,1.7,3.7,PG,1.3,1.0,2.0,MEM,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Rhoden,1.9,0.45,4.2,1.1,0.376,2.9,2.0,0.2,1.9,3.0,0.42,7.2,1.6,0.841,1.9,74.0,9.0,20.7,0.4,1.1,8.7,PG,1.1,1.2,2.3,POR,0.497,1.7,0.449,3.7,1.4,0.333,4.1,2.6,0.3,1.5,3.0,0.389,7.8,2.1,0.833,2.5,56.0,2.0,17.6,0.3,1.2,9.4,PG,0.7,1.2,1.8,BRK,0.476,2.0,0.519,3.9,1.4,0.317,4.3,4.7,0.2,2.4,3.4,0.412,8.1,2.3,0.824,2.7,56.0,32.0,24.0,0.5,1.8,10.3,PG,1.2,2.3,2.8,2TM,0.496
Jaren Jackson Jr.,2.6,0.487,5.2,0.0,0.143,0.3,1.1,0.6,3.8,2.6,0.471,5.5,0.7,0.756,1.0,81.0,67.0,18.3,1.6,2.5,6.0,C,0.3,1.0,5.4,BOS,0.474,1.6,0.519,3.2,0.4,0.344,1.2,1.1,0.7,3.0,2.1,0.471,4.4,1.0,0.855,1.2,51.0,18.0,16.1,1.7,2.5,5.6,C,0.2,0.8,4.7,BOS,0.518,3.0,0.582,5.1,1.4,0.351,4.0,1.6,0.5,4.0,4.4,0.48,9.1,1.3,0.747,1.8,42.0,28.0,22.2,1.7,3.4,11.5,C,0.2,1.2,5.6,PHO,0.558
Jarred Vanderbilt,3.2,0.451,7.2,1.2,0.352,3.5,5.3,0.1,4.0,4.5,0.418,10.7,2.9,0.866,3.3,77.0,77.0,29.3,0.6,2.7,13.1,PG,1.6,2.7,4.6,UTA,0.476,3.2,0.454,7.0,1.2,0.311,3.7,6.1,0.1,3.1,4.3,0.404,10.7,2.9,0.855,3.4,68.0,67.0,27.9,0.5,2.6,12.7,PG,1.3,2.6,3.6,UTA,0.458,3.2,0.439,7.3,1.2,0.361,3.3,8.8,0.2,4.0,4.4,0.415,10.6,3.0,0.863,3.5,65.0,65.0,31.0,0.7,2.6,13.0,PG,1.4,2.7,4.7,PHO,0.471
Jarrett Allen,5.4,0.501,10.8,3.1,0.361,8.6,6.6,0.4,3.6,8.5,0.439,19.4,6.8,0.916,7.4,73.0,73.0,36.6,0.8,1.6,26.9,PG,1.1,2.8,4.5,POR,0.519,5.6,0.499,11.1,3.0,0.369,8.0,6.9,0.4,3.8,8.5,0.444,19.2,5.9,0.912,6.4,80.0,80.0,35.5,0.9,1.9,25.8,PG,1.1,2.7,4.6,POR,0.522,5.4,0.524,10.2,4.1,0.401,10.2,8.0,0.3,3.8,9.5,0.463,20.4,7.0,0.888,7.8,66.0,66.0,37.5,0.5,1.7,30.0,PG,1.1,2.9,4.3,POR,0.563
Jason Preston,2.8,0.43,6.4,2.0,0.354,5.8,2.7,0.1,3.1,4.8,0.394,12.2,1.6,0.791,2.0,65.0,1.0,25.8,0.4,1.8,13.2,PG,0.8,1.7,3.5,CHI,0.478,3.1,0.473,6.5,2.4,0.359,6.6,4.8,0.2,3.7,5.4,0.416,13.1,1.9,0.901,2.1,69.0,54.0,31.2,0.4,2.6,15.1,PG,0.6,2.3,4.1,CHI,0.506,2.3,0.491,4.8,2.2,0.385,5.8,2.9,0.2,2.7,4.6,0.433,10.6,1.3,0.857,1.5,61.0,17.0,27.5,0.3,2.2,12.7,PG,0.5,1.1,3.0,CHI,0.539
Javon Freeman-Liberty,2.1,0.474,4.5,3.1,0.399,7.6,6.9,0.2,4.7,5.2,0.427,12.1,2.9,0.854,3.3,78.0,78.0,32.2,0.8,2.5,16.2,PG,1.1,2.3,5.6,TOR,0.553,2.3,0.514,4.4,2.4,0.347,7.0,8.7,0.5,4.2,4.7,0.411,11.4,2.5,0.83,3.0,65.0,65.0,34.0,0.6,2.6,14.2,PG,1.4,2.8,4.8,TOR,0.518,2.9,0.504,5.8,2.8,0.352,8.0,7.5,0.4,4.5,5.8,0.416,13.8,5.1,0.857,5.9,58.0,58.0,36.2,0.6,3.3,19.4,PG,1.4,3.1,5.0,TOR,0.518
Javonte Green,1.8,0.505,3.7,0.0,,0.0,0.3,1.0,2.8,1.8,0.505,3.7,0.7,0.818,0.8,26.0,19.0,13.6,1.8,1.2,4.4,C,0.3,0.5,4.6,NOP,0.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javonte Smart,0.3,0.5,0.5,0.0,0.0,0.5,0.3,0.3,0.8,0.3,0.25,1.0,0.0,,0.0,4.0,0.0,4.8,0.0,0.3,0.5,SG,0.5,0.0,0.8,CLE,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,SG,1.0,1.0,0.0,NYK,0.0
Jaxson Hayes,1.5,0.519,2.8,2.5,0.368,6.9,1.6,0.2,3.9,4.0,0.412,9.7,1.1,0.854,1.3,67.0,67.0,33.9,0.5,2.0,11.7,SF,1.5,0.8,4.4,HOU,0.542,2.2,0.493,4.4,2.1,0.334,6.3,3.7,0.3,4.7,4.3,0.399,10.7,1.9,0.793,2.4,69.0,69.0,34.0,0.7,1.9,12.5,SF,1.3,1.5,5.4,2TM,0.498,1.2,0.556,2.2,1.5,0.372,3.9,1.7,0.3,4.0,2.7,0.438,6.1,1.2,0.838,1.4,53.0,21.0,28.2,0.6,2.1,8.0,SF,1.3,1.1,4.6,2TM,0.557
Jay Huff,0.3,0.5,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.25,1.3,0.0,,0.0,3.0,0.0,2.7,0.0,0.0,0.7,PG,0.0,0.0,0.0,PHO,0.25,0.0,0.0,0.4,0.0,0.0,0.1,0.1,0.0,0.3,0.0,0.0,0.5,0.4,0.75,0.5,8.0,0.0,2.0,0.0,0.1,0.4,PG,0.0,0.4,0.3,NYK,0.0,1.8,0.643,2.8,1.0,0.417,2.4,2.8,0.2,0.0,2.8,0.538,5.2,0.8,1.0,0.8,5.0,0.0,8.6,0.4,1.0,7.4,PG,0.8,0.4,0.4,NOP,0.635
Jaylen Brown,1.5,0.731,2.1,0.0,,0.0,0.2,0.4,1.1,1.5,0.731,2.1,0.7,0.724,0.9,32.0,2.0,6.7,0.8,0.9,3.7,C,0.1,0.3,1.9,CLE,0.731,3.1,0.553,5.6,0.0,,0.0,0.9,0.4,3.6,3.1,0.553,5.6,1.6,0.705,2.2,59.0,25.0,18.3,1.8,1.9,7.8,C,0.2,1.0,5.4,CLE,0.553,1.9,0.569,3.3,0.0,,0.0,0.3,0.2,2.2,1.9,0.569,3.3,0.6,0.737,0.9,22.0,0.0,10.0,0.8,1.2,4.4,C,0.3,0.5,3.0,CLE,0.569
Jaylen Nowell,0.5,0.5,1.0,0.0,,0.0,0.5,0.5,2.0,0.5,0.5,1.0,0.0,,0.0,4.0,0.0,8.0,0.3,1.8,1.0,C,0.5,0.3,2.3,SAS,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylin Williams,0.2,0.25,0.7,0.0,0.0,0.3,0.7,0.0,0.0,0.2,0.167,1.0,0.2,0.5,0.3,6.0,0.0,3.5,0.2,0.7,0.5,SG,0.2,0.3,0.2,MIL,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayson Tatum,3.1,0.541,5.7,0.0,0.0,0.1,0.8,0.6,3.1,3.1,0.534,5.8,0.8,0.833,1.0,36.0,1.0,13.4,0.8,1.8,7.0,C,0.4,0.6,4.0,IND,0.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeenathan Williams,0.6,0.265,2.1,0.9,0.333,2.6,1.8,0.3,1.3,1.4,0.303,4.7,0.7,0.813,0.8,39.0,3.0,14.8,0.4,1.4,4.4,PG,0.7,0.8,1.7,MEM,0.395,0.7,0.402,1.7,1.1,0.425,2.5,1.4,0.3,1.5,1.7,0.416,4.2,0.4,0.852,0.5,58.0,2.0,16.3,0.5,1.5,4.9,PG,0.8,0.6,2.0,PHO,0.543,0.6,0.528,1.2,0.9,0.371,2.5,1.2,0.2,1.3,1.6,0.422,3.7,0.1,0.571,0.1,60.0,1.0,12.0,0.3,0.9,4.1,PG,0.5,0.3,1.5,PHO,0.547
Jeff Dowtin,0.9,0.452,2.0,0.6,0.412,1.5,0.9,0.0,1.3,1.5,0.434,3.5,0.7,0.695,0.9,63.0,2.0,16.7,0.7,1.7,4.3,SG,0.5,0.4,1.9,CHO,0.525,0.7,0.413,1.8,1.1,0.297,3.7,1.0,0.2,2.4,1.8,0.335,5.5,0.5,0.818,0.6,35.0,21.0,20.4,0.7,1.9,5.3,SG,0.4,0.5,3.1,BRK,0.435,1.0,0.443,2.2,0.6,0.275,2.2,0.8,0.1,1.8,1.6,0.36,4.4,0.7,0.643,1.0,55.0,20.0,16.9,0.9,1.9,4.4,SF,0.4,0.5,2.7,2TM,0.428
Jeff Green,2.1,0.429,4.9,1.4,0.301,4.6,4.8,0.4,2.7,3.5,0.367,9.5,1.8,0.729,2.5,54.0,11.0,29.9,0.8,2.5,10.2,SG,1.3,2.4,3.5,BOS,0.44,1.4,0.511,2.8,1.6,0.364,4.3,4.0,0.4,2.2,3.0,0.422,7.1,1.3,0.806,1.6,80.0,60.0,27.5,0.7,2.5,8.9,SG,1.8,1.5,2.9,BOS,0.533,2.0,0.415,4.8,2.3,0.347,6.6,4.9,0.5,3.1,4.3,0.375,11.4,2.1,0.836,2.5,60.0,40.0,32.0,0.7,2.7,12.9,SG,1.7,1.7,3.8,BOS,0.476
Jerami Grant,4.1,0.514,8.1,1.1,0.359,3.1,1.7,0.3,4.6,5.2,0.471,11.1,1.6,0.769,2.1,73.0,4.0,22.5,2.2,1.8,13.2,PF,0.7,1.4,6.8,CHI,0.52,4.1,0.467,8.7,1.5,0.393,3.8,1.4,0.4,5.9,5.6,0.444,12.6,1.5,0.794,1.9,50.0,28.0,26.0,2.2,2.9,14.2,PF,0.7,1.5,8.1,2TM,0.504,3.0,0.493,6.1,1.0,0.358,2.8,1.5,0.3,3.9,4.0,0.45,8.9,1.1,0.763,1.4,66.0,5.0,21.1,1.2,1.7,10.1,PF,0.5,1.1,5.1,NYK,0.507
Jeremiah Robinson-Earl,0.8,0.491,1.6,0.5,0.316,1.7,0.6,0.1,1.2,1.3,0.4,3.3,0.2,0.667,0.3,33.0,0.0,9.7,0.1,1.4,3.4,SG,0.3,0.4,1.2,LAC,0.482,1.0,0.42,2.5,0.8,0.32,2.4,1.4,0.3,1.8,1.8,0.371,4.9,0.6,0.702,0.9,63.0,6.0,15.5,0.2,1.8,5.1,SG,0.4,0.8,2.0,2TM,0.45,1.0,0.321,3.1,0.6,0.262,2.5,1.5,0.4,2.0,1.6,0.295,5.6,0.9,0.8,1.2,17.0,6.0,17.9,0.2,1.8,4.9,SG,0.7,1.1,2.2,WAS,0.353
Jeremy Sochan,1.7,0.442,3.8,1.4,0.392,3.5,1.9,0.4,2.0,3.1,0.418,7.3,0.9,0.769,1.2,65.0,35.0,24.8,0.3,2.1,8.4,SG,0.9,1.2,2.3,SAC,0.512,1.6,0.515,3.1,1.2,0.341,3.5,1.4,0.4,2.5,2.8,0.422,6.6,1.1,0.748,1.4,75.0,55.0,27.2,0.4,2.7,7.8,SG,1.0,0.9,2.9,2TM,0.513,1.5,0.473,3.2,2.0,0.329,6.2,2.5,0.5,3.0,3.6,0.378,9.5,1.1,0.805,1.4,62.0,35.0,27.9,0.5,1.7,10.3,SG,0.8,1.0,3.5,BRK,0.486
Jericho Sims,1.2,0.63,1.9,0.2,0.231,0.9,0.9,0.3,1.2,1.4,0.5,2.9,1.1,0.842,1.4,14.0,0.0,9.9,0.7,1.0,4.2,C,0.2,0.8,1.9,GSW,0.538,0.5,0.412,1.1,0.3,0.4,0.7,0.3,0.3,0.7,0.7,0.407,1.8,0.1,0.333,0.4,15.0,1.0,5.6,0.4,0.7,1.9,PF,0.2,0.3,1.1,GSW,0.481,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jermaine Samuels,0.9,0.548,1.7,0.3,0.25,1.4,1.0,0.5,1.7,1.3,0.412,3.1,0.6,0.722,0.8,69.0,5.0,15.1,0.9,2.4,3.4,PF,0.4,0.7,2.6,BOS,0.469,1.0,0.508,1.9,0.8,0.372,2.0,1.0,0.4,2.1,1.7,0.437,3.9,0.5,0.588,0.8,63.0,9.0,18.1,0.8,2.6,4.7,PF,0.5,0.9,2.8,BOS,0.534,1.3,0.569,2.3,1.4,0.411,3.4,1.0,0.7,2.7,2.7,0.475,5.6,1.1,0.905,1.2,77.0,21.0,24.4,0.8,2.4,7.8,PF,0.5,0.8,3.6,BOS,0.597
Jerome Robinson,1.1,0.574,2.0,0.1,0.19,0.8,0.4,0.7,1.5,1.3,0.467,2.8,0.4,0.727,0.6,54.0,2.0,8.7,0.5,1.2,3.2,C,0.2,0.5,2.0,IND,0.493,1.4,0.548,2.6,0.4,0.253,1.8,0.8,1.3,2.0,1.8,0.428,4.3,1.0,0.738,1.4,45.0,3.0,12.5,1.3,2.1,5.1,C,0.2,0.4,3.3,IND,0.479,2.2,0.628,3.4,0.5,0.288,1.6,1.1,0.8,2.0,2.6,0.52,5.0,1.3,0.681,1.9,50.0,16.0,14.6,1.6,2.1,7.0,C,0.4,0.9,3.5,IND,0.565
Jett Howard,2.2,0.701,3.1,0.0,,0.0,0.5,1.3,1.3,2.2,0.701,3.1,0.7,0.533,1.4,43.0,7.0,14.2,1.2,2.3,5.1,C,0.3,0.7,2.5,CHI,0.701,2.9,0.684,4.2,0.0,,0.0,0.5,1.4,2.5,2.9,0.684,4.2,1.3,0.667,2.0,54.0,11.0,14.6,1.7,1.8,7.0,C,0.5,0.8,4.3,2TM,0.684,4.0,0.695,5.7,0.0,0.0,0.0,0.9,1.4,3.5,4.0,0.693,5.7,1.5,0.699,2.1,72.0,53.0,20.1,2.2,2.4,9.4,C,0.4,0.9,5.7,WAS,0.693
Jevon Carter,0.3,0.8,0.4,0.4,0.29,1.3,1.5,0.0,1.0,0.7,0.415,1.7,0.2,0.833,0.3,24.0,0.0,12.7,0.0,0.8,2.0,PG,0.5,0.5,1.0,CHI,0.524,1.3,0.527,2.5,1.0,0.373,2.7,3.3,0.0,2.4,2.3,0.447,5.2,1.1,0.873,1.3,81.0,32.0,24.2,0.3,2.1,6.7,PG,0.8,0.8,2.7,CHI,0.544,0.6,0.439,1.4,0.9,0.391,2.4,1.7,0.1,1.6,1.6,0.409,3.8,0.5,0.711,0.7,58.0,4.0,16.0,0.3,1.7,4.5,PG,0.5,0.6,1.9,CHI,0.532
Jimmy Butler,2.8,0.485,5.7,1.7,0.392,4.2,3.3,0.2,2.5,4.4,0.446,9.9,1.3,0.84,1.5,78.0,52.0,27.9,0.4,2.2,11.8,SG,0.9,1.6,2.9,SAC,0.529,3.2,0.462,7.0,1.9,0.36,5.3,3.8,0.2,2.9,5.2,0.418,12.3,1.9,0.827,2.3,70.0,17.0,27.8,0.6,2.0,14.1,SG,1.0,1.7,3.5,SAC,0.496,2.8,0.532,5.3,2.7,0.372,7.2,3.4,0.2,3.0,5.5,0.44,12.6,1.4,0.741,1.9,61.0,28.0,29.0,0.4,2.2,15.1,SG,1.0,1.7,3.4,SAC,0.547
Jock Landale,3.6,0.559,6.4,1.4,0.36,3.9,0.8,1.3,5.3,5.0,0.483,10.3,1.2,0.797,1.6,76.0,76.0,27.5,1.0,2.8,12.6,PF,0.4,1.2,6.3,TOR,0.552,5.6,0.586,9.6,0.7,0.29,2.3,1.3,1.4,6.0,6.3,0.529,11.9,1.8,0.763,2.4,74.0,51.0,27.2,2.1,2.9,15.0,C,0.4,1.5,8.1,TOR,0.557,5.0,0.559,8.9,1.3,0.385,3.3,1.4,0.8,6.1,6.2,0.512,12.2,1.6,0.718,2.3,55.0,27.0,27.0,2.1,2.8,15.4,C,0.5,2.0,8.2,TOR,0.564
Joe Harris,3.1,0.694,4.4,0.0,,0.0,0.6,2.4,3.7,3.1,0.694,4.4,1.2,0.6,2.0,66.0,19.0,20.6,2.7,3.3,7.3,C,0.8,0.5,6.4,NYK,0.694,4.1,0.742,5.6,0.0,,0.0,0.6,2.0,4.0,4.1,0.742,5.6,1.4,0.568,2.4,61.0,7.0,23.1,3.0,3.2,9.7,C,0.9,0.6,7.0,NYK,0.742,3.7,0.653,5.7,0.0,,0.0,0.5,1.5,4.5,3.7,0.653,5.7,0.8,0.491,1.7,31.0,29.0,27.5,3.6,2.8,8.3,C,1.1,0.8,8.1,NYK,0.653
Joe Ingles,1.8,0.506,3.6,0.2,0.333,0.5,0.4,0.1,1.2,2.0,0.484,4.1,0.5,0.524,1.0,22.0,0.0,12.4,0.9,2.2,4.7,SF,0.5,0.9,2.1,NOP,0.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Embiid,0.5,0.447,1.2,0.3,0.355,1.0,0.6,0.0,0.3,0.9,0.406,2.2,0.3,0.727,0.3,32.0,1.0,5.9,0.2,0.9,2.3,PG,0.2,0.3,0.5,MIN,0.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Collins,0.5,0.289,1.8,0.5,0.289,1.8,0.6,0.1,1.8,1.0,0.289,3.6,0.4,0.667,0.6,21.0,1.0,11.5,0.1,0.8,3.0,SG,0.5,0.5,1.9,PHO,0.362,0.3,0.375,0.8,0.2,0.5,0.4,0.3,0.0,0.4,0.5,0.417,1.2,0.0,,0.0,10.0,0.0,4.7,0.2,0.3,1.2,SG,0.1,0.1,0.6,IND,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Konchar,4.3,0.556,7.8,1.1,0.362,2.9,4.7,0.1,1.6,5.4,0.503,10.7,1.0,0.649,1.6,36.0,9.0,21.8,0.4,1.2,12.8,PG,0.7,1.2,2.0,NYK,0.552,3.1,0.463,6.7,1.0,0.352,2.7,2.7,0.1,1.2,4.1,0.431,9.4,1.8,0.831,2.1,58.0,8.0,19.4,0.5,1.0,10.9,PG,0.6,0.8,1.7,2TM,0.482,1.9,0.463,4.1,1.0,0.427,2.3,2.5,0.1,1.0,2.8,0.45,6.3,0.7,0.793,0.9,33.0,1.0,15.8,0.5,1.0,7.4,PG,0.5,0.6,1.5,2TM,0.526
Johnny Davis,1.4,0.552,2.5,0.4,0.256,1.4,0.5,0.3,2.7,1.7,0.443,3.9,0.4,0.769,0.5,27.0,4.0,16.3,1.0,0.7,4.2,SF,0.3,0.4,3.6,CLE,0.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Juzang,2.7,0.438,6.2,1.7,0.394,4.2,3.5,0.7,3.4,4.4,0.42,10.4,2.5,0.796,3.1,65.0,65.0,27.5,0.4,2.3,12.9,SG,1.5,2.4,3.8,ATL,0.5,2.7,0.465,5.8,1.4,0.32,4.5,2.3,0.6,3.3,4.1,0.402,10.3,1.9,0.726,2.6,67.0,35.0,24.5,0.6,2.5,11.6,SG,1.3,1.8,3.9,ATL,0.472,1.7,0.4,4.3,1.2,0.344,3.6,1.4,0.6,3.9,2.9,0.375,7.9,1.7,0.769,2.2,68.0,21.0,24.8,0.4,2.9,8.8,SF,1.1,1.3,4.3,2TM,0.453
Jonas Valančiūnas,4.6,0.545,8.5,1.7,0.347,4.9,5.0,0.6,3.1,6.3,0.473,13.4,3.4,0.795,4.3,74.0,74.0,31.4,0.7,2.5,17.7,PG,2.0,2.9,3.8,2TM,0.536,4.4,0.582,7.6,1.6,0.329,4.8,5.5,0.4,3.6,6.0,0.484,12.4,2.3,0.75,3.0,78.0,78.0,29.1,1.1,2.0,15.9,PG,1.5,2.1,4.6,MIL,0.548,4.3,0.533,8.0,1.2,0.344,3.5,5.4,0.4,3.9,5.5,0.475,11.5,2.8,0.79,3.5,61.0,61.0,27.0,0.7,2.1,14.9,PG,0.9,2.4,4.6,MIL,0.528
Jonathan Isaac,5.0,0.484,10.4,2.4,0.359,6.6,5.3,0.2,2.0,7.4,0.435,16.9,5.5,0.88,6.2,79.0,19.0,32.8,0.5,1.3,22.6,SG,1.1,3.0,2.5,LAC,0.505,5.1,0.447,11.3,1.4,0.361,3.9,5.4,0.1,2.4,6.5,0.425,15.2,5.7,0.876,6.5,75.0,1.0,26.6,0.5,1.1,20.0,SG,0.8,2.4,3.0,LAC,0.471,4.3,0.451,9.6,1.7,0.352,4.8,5.6,0.2,2.6,6.0,0.418,14.4,4.5,0.861,5.2,65.0,8.0,28.7,0.5,1.2,18.2,PG,0.7,2.8,3.1,LAC,0.477
Jonathan Kuminga,3.1,0.511,6.1,1.0,0.25,4.0,1.9,0.1,4.0,4.1,0.408,10.1,1.5,0.759,1.9,15.0,11.0,26.9,0.7,1.7,10.7,SG,1.3,0.9,4.7,ATL,0.457,0.9,0.492,1.8,0.8,0.397,2.1,0.4,0.0,1.8,1.8,0.441,4.0,0.6,0.864,0.7,32.0,0.0,11.7,0.3,0.9,4.9,SG,0.4,0.3,2.0,GSW,0.547,2.6,0.471,5.6,1.7,0.356,4.9,2.7,0.1,4.2,4.3,0.417,10.4,2.2,0.873,2.6,49.0,36.0,29.0,0.7,2.4,12.7,SG,1.0,1.4,4.9,GSW,0.5
Jontay Porter,3.1,0.479,6.4,0.2,0.27,0.7,3.5,0.0,1.6,3.2,0.459,7.1,1.0,0.705,1.4,55.0,21.0,19.5,0.1,0.9,7.7,PG,0.5,1.2,1.7,SAS,0.472,3.6,0.485,7.4,0.2,0.255,0.9,3.7,0.1,1.2,3.8,0.46,8.3,1.6,0.734,2.2,56.0,0.0,17.9,0.3,0.9,9.5,PG,0.4,1.3,1.5,CHO,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Clarkson,1.5,0.539,2.9,0.4,0.282,1.5,0.9,0.2,1.5,2.0,0.449,4.4,0.9,0.722,1.3,72.0,18.0,16.8,0.6,1.9,5.3,SF,1.1,0.7,2.1,2TM,0.498,1.3,0.494,2.5,0.5,0.318,1.4,1.3,0.2,1.6,1.7,0.431,4.0,1.0,0.721,1.4,31.0,3.0,15.9,0.8,2.0,4.9,SF,1.0,0.6,2.5,2TM,0.488,0.4,0.667,0.6,0.0,0.0,0.2,0.4,0.0,1.2,0.4,0.5,0.8,0.2,0.333,0.6,5.0,0.0,6.6,0.4,1.4,1.0,PF,0.8,0.4,1.6,SAC,0.5
Jordan Ford,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,4.0,0.0,0.0,0.0,SG,1.0,1.0,0.0,DET,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Goodwin,4.6,0.457,10.0,2.7,0.594,4.6,3.6,0.4,1.9,7.3,0.5,14.6,2.9,0.87,3.3,7.0,1.0,27.6,1.1,0.9,20.1,SG,1.6,2.3,3.0,MEM,0.593,2.1,0.53,4.0,0.5,0.278,1.9,0.9,0.1,1.1,2.6,0.45,5.8,0.8,0.697,1.1,29.0,0.0,13.3,0.4,1.1,6.6,SG,0.3,0.7,1.6,MEM,0.494,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Hawkins,3.4,0.495,6.8,1.6,0.378,4.1,2.9,0.9,2.7,4.9,0.451,10.9,1.5,0.845,1.8,81.0,81.0,33.2,0.9,2.5,12.9,SF,1.5,1.7,3.5,MIA,0.523,3.5,0.458,7.8,2.2,0.357,6.3,4.1,0.5,2.9,5.8,0.412,14.1,2.7,0.861,3.2,73.0,73.0,34.8,0.7,2.7,16.6,SG,1.1,1.5,3.6,MIA,0.492,3.5,0.486,7.2,1.5,0.341,4.5,2.9,0.7,2.4,5.1,0.43,11.7,2.1,0.809,2.6,55.0,53.0,30.8,0.7,2.5,13.7,SG,0.9,1.9,3.2,PHI,0.496
