Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
Day'Ron Sharpe,275,PHO,1,29,2021,North Carolina,2020-21,North Carolina,29,4,19.2,3.9,7.4,3.9,7.4,0.0,0.1,1.8,3.5,3.3,4.2,7.6,1.4,0.8,0.9,2.0,2.0,9.5,.519,.523,.000,.505,.521,.519,F,FR,dayron-sharpe-1
Dalano Banton,258,TOR,2,46,2021,Nebraska,2020-21,Nebraska,27,22,27.3,3.3,8.1,2.6,5.1,0.7,3.0,2.1,3.3,1.0,4.9,5.9,3.9,1.0,0.9,2.5,2.1,9.6,.411,.507,.247,.659,.495,.457,G,SO,dalano-banton-1
JT Thor,253,DET,2,37,2021,Auburn,2020-21,Auburn,27,27,23.0,3.1,7.1,2.3,4.3,0.8,2.7,2.3,3.1,1.6,3.4,5.0,0.9,0.8,1.4,1.6,2.0,9.4,.440,.530,.297,.741,.547,.497,F,FR,jt-thor-1
Scottie Barnes,248,TOR,1,4,2021,Florida State,2020-21,Florida State,24,7,24.8,4.1,8.1,3.6,6.5,0.5,1.7,1.7,2.8,1.5,2.5,4.0,4.1,1.5,0.5,2.5,2.2,10.3,.503,.561,.275,.621,.548,.531,G,FR,scottie-barnes-1
Joshua Primo,244,SAS,1,12,2021,Alabama,2020-21,Alabama,30,19,22.5,2.8,6.5,1.4,2.7,1.4,3.8,1.1,1.5,1.0,2.3,3.4,0.8,0.6,0.3,1.4,1.7,8.1,.431,.500,.381,.750,.565,.541,G,FR,joshua-primo-1
Greg Brown,243,NOH,2,43,2021,Texas,2020-21,Texas,26,24,20.6,3.1,7.4,2.0,3.9,1.2,3.5,2.0,2.8,1.2,5.0,6.2,0.4,0.6,1.0,2.3,3.0,9.3,.420,.500,.330,.708,.535,.497,F,FR,greg-brown-9
Sharife Cooper,242,ATL,2,48,2021,Auburn,2020-21,Auburn,12,12,33.1,6.0,15.3,4.9,10.6,1.1,4.8,7.1,8.6,0.7,3.6,4.3,8.1,1.0,0.3,4.2,2.7,20.2,.391,.465,.228,.825,.519,.427,G,FR,sharife-cooper-1
David Johnson,240,TOR,2,47,2021,Louisville,2020-21,Louisville,19,19,35.1,4.7,11.5,3.1,7.2,1.7,4.4,1.5,2.1,0.9,4.9,5.8,3.2,1.1,0.3,3.2,2.7,12.6,.411,.426,.386,.700,.504,.484,G,SO,david-johnson-13
Jericho Sims,240,NYK,2,58,2021,Texas,2020-21,Texas,26,26,24.5,3.6,5.2,3.6,5.2,0.0,0.0,2.0,3.8,2.2,5.1,7.2,0.7,0.7,1.1,1.6,2.5,9.2,.696,.696,,.520,.658,.696,F,SR,jericho-sims-1
Kai Jones,230,NYK,1,19,2021,Texas,2020-21,Texas,26,4,22.8,3.2,5.5,2.7,4.2,0.5,1.3,2.0,2.8,2.0,2.9,4.8,0.6,0.8,0.9,1.4,2.7,8.8,.580,.642,.382,.689,.646,.626,F,SO,kai-jones-1
Balsa Koprivica,219,CHA,2,57,2021,Florida State,2020-21,Florida State,24,20,19.5,3.7,6.1,3.6,6.1,0.0,0.0,1.8,2.5,2.1,3.5,5.6,0.8,0.3,1.4,1.3,2.6,9.1,.599,.596,1.000,.689,.622,.602,C,SO,balsa-koprivica-1
Josh Christopher,214,HOU,1,24,2021,Arizona State,2020-21,Arizona State,15,15,29.7,5.1,11.7,3.9,7.8,1.2,3.9,2.9,3.7,0.7,4.1,4.7,1.4,1.5,0.5,1.7,3.2,14.3,.432,.496,.305,.800,.529,.483,G,FR,josh-christopher-1
Ziaire Williams,214,NOH,1,10,2021,Stanford,2020-21,Stanford,20,14,27.9,3.8,10.2,2.7,6.2,1.2,4.0,2.0,2.5,0.5,4.1,4.6,2.2,0.9,0.6,2.9,2.4,10.7,.374,.427,.291,.796,.473,.431,F,FR,ziaire-williams-1
Isaiah Jackson,211,LAL,1,22,2021,Kentucky,2020-21,Kentucky,25,18,20.8,3.0,5.5,3.0,5.4,0.0,0.1,2.5,3.6,2.1,4.5,6.6,0.7,0.8,2.6,1.5,3.0,8.4,.540,.548,.000,.700,.587,.540,F,FR,isaiah-jackson-3
Scottie Lewis,165,CHA,2,56,2021,Florida,2020-21,Florida,21,9,25.6,2.7,6.1,2.0,4.0,0.7,2.1,1.8,2.6,0.8,2.3,3.1,1.5,1.6,1.0,1.9,2.5,7.9,.445,.512,.318,.673,.535,.500,G,SO,scottie-lewis-1
Jalen Johnson,146,ATL,1,20,2021,Duke,2020-21,Duke,13,8,21.4,4.4,8.4,3.8,7.0,0.6,1.4,1.8,2.9,1.5,4.5,6.1,2.2,1.2,1.2,2.5,2.2,11.2,.523,.538,.444,.632,.575,.560,F,FR,jalen-johnson-24
