Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
Luka Garza,747,DET,2,52,2021,Iowa,2020-21,Iowa,31,31,31.5,9.1,16.4,7.6,13.2,1.4,3.2,4.5,6.4,3.0,5.7,8.7,1.7,0.7,1.6,1.5,2.3,24.1,.553,.581,.440,.709,.620,.596,F,SR,luka-garza-1
Cameron Thomas,668,NJN,1,27,2021,Louisiana State,2020-21,Louisiana State,29,29,34.0,7.0,17.2,4.7,10.0,2.3,7.2,6.7,7.6,0.6,2.8,3.4,1.4,0.9,0.2,1.7,1.4,23.0,.406,.464,.325,.882,.553,.474,G,FR,cameron-thomas-1
Corey Kispert,595,WAS,1,15,2021,Gonzaga,2020-21,Gonzaga,32,32,31.8,6.5,12.3,3.7,5.9,2.8,6.5,2.7,3.1,0.9,4.0,5.0,1.8,0.9,0.4,1.3,1.7,18.6,.529,.628,.440,.878,.674,.644,F,SR,corey-kispert-1
Ayo Dosunmu,564,CHI,2,38,2021,Illinois,2020-21,Illinois,28,28,35.1,7.5,15.4,6.4,12.4,1.1,2.9,4.0,5.1,1.1,5.2,6.3,5.3,1.1,0.2,3.3,2.1,20.1,.488,.511,.390,.783,.566,.526,G,JR,ayo-dosunmu-1
Cade Cunningham,544,DET,1,1,2021,Oklahoma State,2020-21,Oklahoma State,27,26,35.4,6.5,14.8,4.2,9.1,2.3,5.7,4.9,5.8,0.7,5.5,6.2,3.5,1.6,0.8,4.0,2.5,20.1,.438,.461,.400,.846,.574,.515,G,FR,cade-cunningham-1
Evan Mobley,540,CLE,1,3,2021,Southern California,2020-21,Southern California,33,33,33.9,6.0,10.3,5.6,9.1,0.4,1.2,4.1,5.8,2.7,5.9,8.7,2.4,0.8,2.9,2.2,1.8,16.4,.578,.615,.300,.694,.624,.595,F,FR,evan-mobley-1
Moses Moody,539,GSW,1,14,2021,Arkansas,2020-21,Arkansas,32,32,33.8,5.2,12.1,3.3,7.0,1.8,5.1,4.7,5.8,2.0,3.8,5.8,1.6,1.0,0.7,1.6,2.3,16.8,.427,.478,.358,.812,.568,.503,G,FR,moses-moody-1
Quentin Grimes,535,LAC,1,25,2021,Houston,2020-21,Houston,30,30,32.8,5.8,14.2,2.4,5.9,3.3,8.3,3.0,3.8,1.6,4.1,5.7,2.0,1.4,0.3,1.8,2.2,17.8,.406,.410,.403,.788,.558,.523,G,JR,quentin-grimes-1
Jared Butler,502,NOH,2,40,2021,Baylor,2020-21,Baylor,30,30,30.3,5.9,12.5,3.3,6.4,2.6,6.2,2.4,3.0,0.4,2.9,3.3,4.8,2.0,0.4,2.8,2.4,16.7,.471,.524,.416,.780,.599,.573,G,JR,jared-butler-1
Charles Bassey,494,PHI,2,53,2021,Western Kentucky,2020-21,Western Kentucky,28,28,30.4,6.9,11.8,6.3,9.6,0.6,2.1,3.1,4.1,3.3,8.3,11.6,0.7,0.4,3.1,2.2,2.4,17.6,.590,.652,.305,.759,.643,.617,C,JR,charles-bassey-1
Sandro Mamukelashvili,473,IND,2,54,2021,Seton Hall,2020-21,Seton Hall,27,27,35.6,6.2,14.3,4.7,9.7,1.6,4.6,3.5,4.9,1.9,5.7,7.6,3.2,1.1,0.6,3.3,1.7,17.5,.434,.481,.336,.714,.525,.488,F,SR,sandro-mamukelashvili-1
Nah'Shon Hyland,467,DEN,1,26,2021,VCU,2020-21,VCU,24,24,31.9,6.3,14.2,3.5,6.4,2.9,7.8,3.9,4.5,0.2,4.5,4.7,2.1,1.9,0.2,3.1,2.2,19.5,.447,.539,.371,.862,.596,.549,G,SO,nahshon-hyland-1
Kessler Edwards,465,NJN,2,44,2021,Pepperdine,2020-21,Pepperdine,27,26,33.9,6.1,12.4,4.4,8.0,1.7,4.4,3.4,3.9,1.2,5.6,6.8,1.2,1.0,1.2,1.8,2.1,17.2,.491,.553,.378,.876,.606,.558,F,JR,kessler-edwards-1
Joe Wieskamp,460,SAS,2,41,2021,Iowa,2020-21,Iowa,31,31,29.3,5.2,10.6,2.8,5.5,2.4,5.1,2.1,3.1,1.2,5.5,6.6,1.7,0.9,0.3,1.4,1.5,14.8,.491,.518,.462,.677,.616,.602,G,JR,joe-wieskamp-1
Miles McBride,460,OKC,2,36,2021,West Virginia,2020-21,West Virginia,29,28,34.2,5.4,12.6,3.8,8.7,1.6,3.8,3.4,4.2,1.2,2.7,3.9,4.8,1.9,0.3,1.8,1.7,15.9,.431,.439,.414,.813,.544,.495,G,SO,miles-mcbride-1
Marcus Zegarowski,459,NJN,2,49,2021,Creighton,2020-21,Creighton,29,29,33.6,5.6,12.0,2.8,5.5,2.8,6.6,1.9,2.4,0.3,3.3,3.6,4.3,1.3,0.1,2.1,1.9,15.8,.464,.516,.421,.786,.600,.579,G,JR,marcus-zegarowski-1
Aaron Wiggins,448,OKC,2,55,2021,Maryland,2020-21,Maryland,31,30,33.0,5.3,11.9,3.5,6.8,1.8,5.2,2.0,2.5,1.1,4.7,5.8,2.5,1.1,0.5,2.0,2.0,14.5,.446,.514,.356,.772,.550,.523,G,JR,aaron-wiggins-1
Chris Duarte,445,IND,1,13,2021,Oregon,2020-21,Oregon,26,26,34.1,6.2,11.6,3.8,6.0,2.3,5.5,2.5,3.0,0.7,3.9,4.6,2.7,1.9,0.8,2.3,1.4,17.1,.532,.631,.424,.810,.657,.633,G,SR,chris-duarte-1
Neemias Queta,433,SAC,2,39,2021,Utah State,2020-21,Utah State,29,29,30.0,5.8,10.3,5.8,10.2,0.0,0.1,3.4,4.8,2.9,7.3,10.1,2.7,1.1,3.3,2.4,2.4,14.9,.559,.562,.000,.707,.592,.559,C,JR,neemias-queta-1
Jalen Suggs,431,ORL,1,5,2021,Gonzaga,2020-21,Gonzaga,30,30,28.9,5.2,10.3,4.0,6.8,1.2,3.5,2.9,3.8,0.6,4.7,5.3,4.5,1.9,0.3,2.9,2.6,14.4,.503,.588,.337,.754,.595,.560,G,FR,jalen-suggs-1
Davion Mitchell,420,SAC,1,9,2021,Baylor,2020-21,Baylor,30,30,33.0,5.3,10.3,3.2,5.6,2.1,4.7,1.4,2.1,0.5,2.2,2.7,5.5,1.9,0.4,2.4,2.4,14.0,.511,.565,.447,.641,.619,.613,G,JR,davion-mitchell-1
Jeremiah Robinson-Earl,393,NYK,2,32,2021,Villanova,2020-21,Villanova,25,25,34.5,6.2,12.5,5.3,9.2,0.9,3.3,2.4,3.4,2.5,6.0,8.5,2.2,1.0,0.6,1.6,2.3,15.7,.497,.574,.280,.714,.558,.534,F,SO,jeremiah-robinson-earl-1
Tre Mann,385,OKC,1,18,2021,Florida,2020-21,Florida,24,24,32.4,5.5,12.1,3.7,7.4,1.9,4.7,3.1,3.7,0.7,5.0,5.6,3.5,1.4,0.1,2.8,2.4,16.0,.459,.494,.402,.831,.579,.536,G,SO,tre-mann-1
Herb Jones,370,NOH,2,35,2021,Alabama,2020-21,Alabama,33,33,27.3,3.9,8.8,3.3,7.0,0.6,1.7,2.8,3.9,2.5,4.1,6.6,3.3,1.7,1.1,2.8,2.8,11.2,.446,.470,.351,.713,.528,.481,F,SR,herb-jones-3
Santi Aldama,361,UTA,1,30,2021,Loyola (MD),2020-21,Loyola (MD),17,17,35.0,7.9,15.5,6.1,10.4,1.9,5.1,3.5,5.1,1.8,8.3,10.1,2.3,1.0,1.7,3.2,1.9,21.2,.513,.585,.368,.686,.594,.574,F,SO,santi-aldama-1
Franz Wagner,349,ORL,1,8,2021,Michigan,2020-21,Michigan,28,28,31.7,4.4,9.3,3.2,5.6,1.3,3.6,2.4,2.8,0.7,5.8,6.5,3.0,1.3,1.0,1.3,2.2,12.5,.477,.563,.343,.835,.587,.544,G,SO,franz-wagner-1
Jason Preston,314,ORL,2,33,2021,Ohio,2020-21,Ohio,20,20,34.6,6.4,12.4,4.8,8.3,1.6,4.1,1.4,2.4,1.1,6.2,7.3,7.3,1.5,0.3,3.0,1.4,15.7,.514,.576,.390,.596,.583,.579,G,JR,jason-preston-1
Jaden Springer,313,PHI,1,28,2021,Tennessee,2020-21,Tennessee,25,15,25.9,4.2,9.1,3.4,7.2,0.8,1.8,3.2,4.0,1.0,2.5,3.5,2.9,1.2,0.4,2.4,2.0,12.5,.467,.475,.435,.810,.570,.511,G,FR,jaden-springer-1
Keon Johnson,306,NYK,1,21,2021,Tennessee,2020-21,Tennessee,27,17,25.5,4.1,9.1,3.6,7.4,0.5,1.8,2.6,3.7,1.1,2.4,3.5,2.5,1.1,0.4,2.6,2.4,11.3,.449,.492,.271,.703,.519,.476,G,FR,keon-johnson-2
Isaiah Livers,301,DET,2,42,2021,Michigan,2020-21,Michigan,23,23,31.6,4.4,9.7,2.3,4.7,2.2,5.0,2.0,2.3,1.1,4.9,6.0,2.0,0.6,0.7,1.1,1.6,13.1,.457,.486,.431,.870,.605,.570,F,SR,isaiah-livers-1
Raiquan Gray,297,NJN,2,59,2021,Florida State,2020-21,Florida State,25,24,26.3,4.4,8.4,4.0,7.2,0.3,1.2,2.8,3.7,1.5,4.9,6.4,2.2,1.2,0.7,2.2,2.6,11.9,.517,.558,.267,.763,.582,.536,F,JR,raiquan-gray-1
Brandon Boston Jr.,287,MEM,2,51,2021,Kentucky,2020-21,Kentucky,25,24,30.4,4.1,11.6,2.9,7.6,1.2,4.0,2.0,2.6,1.3,3.2,4.5,1.6,1.3,0.2,1.4,2.0,11.5,.355,.384,.300,.785,.447,.407,G,FR,brandon-bostonjr-1
Trey Murphy III,282,MEM,1,17,2021,Virginia,2020-21,Virginia,25,20,29.6,3.8,7.6,1.8,2.8,2.1,4.8,1.5,1.6,0.6,2.8,3.4,1.2,0.8,0.4,0.8,2.0,11.3,.503,.620,.433,.927,.670,.639,G,JR,trey-murphyiii-1
James Bouknight,281,CHA,1,11,2021,Connecticut,2020-21,Connecticut,15,14,31.7,6.5,14.6,5.1,9.6,1.5,5.0,4.2,5.4,1.5,4.1,5.7,1.8,1.1,0.3,2.8,1.9,18.7,.447,.528,.293,.778,.546,.498,G,SO,james-bouknight-1
